model,params,fold,mse,rmse,mae,r2,n_features,time_sec,config_id
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",1,0.010918764201517238,0.10449289067452024,0.08167922007610776,0.7225886625047,493,6.834784099999524,1
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",2,0.008092058185380765,0.0899558679874791,0.07160552301877725,0.819260427997634,499,6.389950600001612,1
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",3,0.010647424451783728,0.10318635787633813,0.08214034637274015,0.7604681306282892,499,6.327718399999867,1
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",4,0.010954958351737279,0.10466593692189106,0.08150673394994942,0.7386487786566613,499,6.414477900001657,1
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",5,0.021404778508149886,0.1463037200762506,0.09180019021740243,0.5491993121276946,499,6.432566100000258,1
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",1,0.01058034177329573,0.10286078831749118,0.08045523441769915,0.7311869083060234,493,6.849822399999539,2
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",2,0.007816160564150076,0.08840905250114423,0.0701319960401742,0.8254227190780162,499,6.977063999998791,2
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",3,0.010024639481534713,0.1001231216130156,0.07957893314646507,0.7744787346777371,499,6.890404699999635,2
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",4,0.010679071186059763,0.10333959157099357,0.08016462282155103,0.7452305880426675,499,7.090591000000131,2
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",5,0.020876761917396715,0.14448793000592372,0.08953769371893815,0.560319737514432,499,6.924780199999077,2
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",1,0.011102583519230304,0.1053687976548575,0.0818516292380502,0.7179183937963447,493,6.903371099997457,3
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",2,0.008129476661852453,0.09016361051916928,0.07241673368594634,0.8184246703612528,499,6.501974300001166,3
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",3,0.010906815166376083,0.10443569871636846,0.08290288867000521,0.7546326966183713,499,6.4293164999980945,3
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",4,0.011011118107085523,0.10493387492647702,0.08310678824559656,0.737308981627832,499,6.361878700001398,3
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",5,0.02165534151487538,0.14715753978262677,0.09240127831149916,0.5439222672965978,499,6.3535655999985465,3
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",1,0.010683914832544722,0.10336302449398779,0.08011905164460494,0.7285554437588954,493,6.972325000002456,4
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",2,0.007868744306867704,0.08870594290614188,0.07062633703715307,0.8242482387498549,499,6.823760800001764,4
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",3,0.010138830704651375,0.10069176085783471,0.08005910935082239,0.7719098094636782,499,6.7601022999988345,4
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",4,0.010713967891829749,0.103508298661652,0.08100387695229214,0.7443980612195602,499,6.890211300000374,4
XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",5,0.021098203026874904,0.14525220489505453,0.08998672358192986,0.5556560216792988,499,6.950378500001534,4
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",1,0.01078744074282888,0.10386260512248323,0.08022687653154668,0.7259251771181563,493,6.588571899999806,5
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",2,0.007744797962603085,0.08800453376163687,0.06848356104797387,0.8270166332300277,499,6.580622699999367,5
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",3,0.010345820206883174,0.10171440511000973,0.07984829767455334,0.7672532295898855,499,6.635714899999584,5
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",4,0.011173383110271069,0.10570422465668564,0.08240229410908892,0.7334378435182931,499,6.567807100000209,5
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",5,0.02140193008957245,0.14629398514488712,0.0897299056506173,0.5492593019591039,499,6.5914559999982885,5
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",1,0.010582683588706865,0.10287217110913362,0.07910508380869741,0.731127410167463,493,7.509267200002796,6
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",2,0.0076515416432226075,0.08747309096643725,0.06789382958210848,0.8290995529106837,499,7.1079570000001695,6
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",3,0.010004960089588021,0.10002479737339147,0.07826637823864094,0.774921455972679,499,7.0242605000021285,6
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",4,0.011136974163159662,0.10553186326015315,0.08195619060358343,0.7343064477146642,499,6.8354203999988385,6
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",5,0.02110430315993987,0.14527320179558195,0.08822778459219996,0.5555275483021624,499,7.222689999998693,6
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",1,0.010763716406564403,0.10374833206642121,0.07981011830343418,0.7265279376259253,493,6.678662700000132,7
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",2,0.0077716881300690975,0.08815717855097846,0.06913064398339588,0.826416029867133,499,6.097118199999386,7
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",3,0.010254376185541106,0.10126389379014174,0.07833491199167145,0.7693104179244092,499,6.767707500002871,7
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",4,0.010959643426555234,0.10468831561619106,0.08221027389851814,0.7385370073485064,499,6.565435700002126,7
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",5,0.021622266868163754,0.14704511847784596,0.09010730074196911,0.5446188441606403,499,6.460312800001702,7
XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",1,0.010576705387998587,0.10284311055194016,0.07866853150657303,0.731279297379577,493,7.003346299999976,8
