strategy,fold,mse,rmse,mae,r2,train_na,valid_na,n_features,elapsed_sec
native,1,0.012149203745137973,0.11022342648066233,0.08032334030916223,0.6913270771088451,14441,4252,2690,21.269590899999457
native,2,0.010885352075448867,0.10433289066947617,0.08045022219381263,0.756871017219568,14690,3943,2691,20.492901199999324
native,3,0.012356358021477557,0.11115915626468904,0.08563863468206181,0.722022771900033,14180,4453,2691,20.9460282
native,4,0.012048219565850117,0.10976438204558944,0.08311093575424369,0.7125669676281073,15508,3185,2690,21.339574999999968
native,5,0.0209357412390064,0.1446918838048852,0.08763016720113427,0.559077588769853,15862,2832,2686,22.31111670000064
mean,1,0.011887342112440167,0.10902908837755255,0.08023118239153938,0.6979801547305147,0,0,2690,13.486840200000188
mean,2,0.01062090349292622,0.10305776774666828,0.07970724126553017,0.7627775891357369,0,0,2692,13.671215800000027
mean,3,0.012245531662903878,0.1106595303753991,0.08480345767590819,0.7245159987799255,0,0,2691,13.249764299999697
mean,4,0.012302734546848805,0.11091769266825201,0.08504621962049456,0.7064950320717631,0,0,2690,13.582727300000442
mean,5,0.021466744658898106,0.14651533932970331,0.08883341730539099,0.5478942585214888,0,0,2686,13.354075199999897
median,1,0.011984343491285748,0.10947302631829335,0.07969244789050486,0.6955156558414644,0,0,2690,13.673968000000059
median,2,0.011047023003636667,0.10510481912660649,0.08051088650931074,0.7532600280624857,0,0,2691,14.747506300000168
median,3,0.012384980867867618,0.11128782892961664,0.08488617156932816,0.7213788524307192,0,0,2691,14.493978900000002
median,4,0.012575846270288907,0.11214208072926464,0.08595777935090147,0.6999794361021139,0,0,2690,14.692583000000013
median,5,0.02149096414068804,0.14659796772359446,0.08728053306688388,0.5473841780716184,0,0,2686,13.496581299999889
sentinel,1,0.011428374897871869,0.10690357757283836,0.07920171065117765,0.7096410630998145,0,0,2691,13.576595599999564
sentinel,2,0.011040280139931616,0.10507273737716942,0.08115723880632662,0.7534106328001435,0,0,2692,14.262752600000567
sentinel,3,0.01232708161228309,0.1110273912702766,0.08585380299462808,0.7226813943729697,0,0,2692,13.969097800000782
sentinel,4,0.012231694168605818,0.1105969898713605,0.0853953072519776,0.708189834463737,0,0,2691,14.792935299999954
sentinel,5,0.021277128435564174,0.14586681745881816,0.08824800550384983,0.5518877183873846,0,0,2686,14.324626100000387
median_indicator,1,0.011667268101087674,0.10801512903796243,0.08019936020463315,0.7035715407802992,0,0,3639,19.642668199999207
median_indicator,2,0.011056500513874749,0.10514989545346562,0.08155175533404206,0.7530483438277908,0,0,3637,20.47091240000009
median_indicator,3,0.01281238200601369,0.11319179301527868,0.0867660724149735,0.7117637390241549,0,0,3369,20.000380599999517
median_indicator,4,0.012371242875575231,0.11122608900602067,0.08684673607039659,0.7048606365031116,0,0,3637,20.672076699999707
median_indicator,5,0.021564340682415778,0.14684801899384198,0.08945943332379167,0.5458388130741736,0,0,3634,20.740434399999685
tool_mean,1,0.011596964954284398,0.10768920537493253,0.0791159421062689,0.7053577218558202,0,0,2690,13.204542499999661
tool_mean,2,0.010631317337779125,0.1031082796761692,0.07988606718103212,0.762544991467938,0,0,2692,12.750659400000586
tool_mean,3,0.012003883262228806,0.10956223465331841,0.08409459853117444,0.7299522893501476,0,0,2691,13.237253299999793
tool_mean,4,0.012138126827576905,0.11017316745731197,0.08512258727928841,0.710422060098066,0,0,2690,13.010379899999862
tool_mean,5,0.021324688245650838,0.14602975123464,0.0880602224397004,0.5508860731195309,0,0,2686,14.129527200000666
operation_tool_mean,1,0.011596964954284398,0.10768920537493253,0.0791159421062689,0.7053577218558202,0,0,2690,14.506787999999688
operation_tool_mean,2,0.010631317337779125,0.1031082796761692,0.07988606718103212,0.762544991467938,0,0,2692,13.95849029999954
operation_tool_mean,3,0.012003883262228806,0.10956223465331841,0.08409459853117444,0.7299522893501476,0,0,2691,13.551309499999661
operation_tool_mean,4,0.012138126827576905,0.11017316745731197,0.08512258727928841,0.710422060098066,0,0,2690,12.857268300000214
operation_tool_mean,5,0.021324688245650838,0.14602975123464,0.0880602224397004,0.5508860731195309,0,0,2686,12.778640200000154
operation_tool_median,1,0.012204279339613707,0.11047298013366756,0.08176799015495076,0.689927780078075,0,0,2690,13.283895500000654
operation_tool_median,2,0.011081216794603246,0.10526735863791419,0.0804647448591919,0.7524962951526553,0,0,2691,13.371968299999935
operation_tool_median,3,0.01273228789550247,0.1128374401318218,0.08677311425376036,0.7135655918669054,0,0,2691,13.434512599999834
operation_tool_median,4,0.012738973123351783,0.1128670595140663,0.08735656591836242,0.6960877369360357,0,0,2690,13.732373599999846
operation_tool_median,5,0.020894186615364737,0.14454821553850028,0.08709460959064194,0.5599527603075918,0,0,2686,13.807326600000124
