ID,Tool,missing_rate,zero_rate,row_index,fold,y_true,y_pred,residual,absolute_residual,squared_error,relative_error
NH0995,O,0.0003714710252600297,0.044947994056463596,0,3,2.814025348484583,2.7011919021606445,0.11283344632393844,0.11283344632393844,0.012731386609337095,0.040096812342028734
NH0996,O,0.0,0.03714710252600297,1,5,2.78295470454625,2.78692364692688,-0.003968942380629947,0.003968942380629947,1.5752503620760513e-05,0.0014261613292321413
NH0997,O,0.0018573551263001485,0.04569093610698365,2,1,2.7259733598475004,2.689643383026123,0.0363299768213774,0.0363299768213774,0.001319867215841819,0.013327341109230973
NH0998,O,0.0014858841010401188,0.03714710252600297,3,3,2.7947683712120837,2.784297227859497,0.010471143352586587,0.010471143352586587,0.00010964484311041827,0.003746694524112398
NH0999,N,0.0018573551263001485,0.036404160475482915,4,5,2.787539200757083,2.7747421264648438,0.012797074292239419,0.012797074292239419,0.00016376511044109503,0.004590814109003095
NH1000,L,0.0007429420505200594,0.05163447251114413,5,4,2.5691751628791666,2.6035196781158447,-0.03434451523667814,0.03434451523667814,0.001179545726842417,0.013367915015251945
NH1001,N,0.029346210995542348,0.03677563150074294,6,2,2.9658237234845823,2.944114923477173,0.02170880000740949,0.02170880000740949,0.00047127199776170225,0.0073196528288256586
NH1001,O,0.029346210995542348,0.03714710252600297,7,1,2.9658237234845823,2.997779130935669,-0.031955407451086604,0.031955407451086604,0.0010211480653649612,0.010774547117564705
NH1002,L,0.029717682020802376,0.04271916790490342,8,4,2.7739209507579163,2.741633653640747,0.03228729711716927,0.03228729711716927,0.0010424695551323668,0.01163958803812913
NH1002,O,0.029717682020802376,0.041976225854383355,9,3,2.7739209507579163,2.807332992553711,-0.0334120417957946,0.0334120417957946,0.0011163645369639253,0.012045059101865685
NH1003,N,0.03194650817236255,0.03863298662704309,10,1,3.1972194621212506,3.1702933311462402,0.0269261309750104,0.0269261309750104,0.0007250165292834144,0.008421733726447845
NH1003,O,0.03194650817236255,0.03863298662704309,11,2,3.1972194621212506,3.184466600418091,0.012752861703159812,0.012752861703159812,0.0001626354816199202,0.0039887351663669395
NH1004,N,0.030089153046062408,0.0412332838038633,12,3,3.112323340909583,3.0666282176971436,0.045695123212439626,0.045695123212439626,0.0020880442854000385,0.014681997404251206
NH1004,O,0.030089153046062408,0.041604754829123326,13,5,3.112323340909583,3.1372601985931396,-0.024936857683556468,0.024936857683556468,0.0006218468711299492,0.008012296587494217
NH1005,L,0.0274888558692422,0.03863298662704309,14,5,2.756221803030417,2.706467390060425,0.04975441296999206,0.04975441296999206,0.002475501609988514,0.01805167237094994
NH1006,M,0.02674591381872214,0.04049034175334324,15,3,3.122650814393333,3.069779634475708,0.05287117991762491,0.05287117991762491,0.0027953616658818637,0.016931505653436235
NH1007,L,0.02711738484398217,0.03714710252600297,16,4,2.9521636515150003,2.941699743270874,0.010463908244126241,0.010463908244126241,0.00010949337574149311,0.0035444878669760723
NH1008,M,0.02711738484398217,0.041976225854383355,17,4,3.0680799873733338,2.981471538543701,0.08660844882963259,0.08660844882963259,0.007501023408675087,0.028228875774439048
NH1009,L,0.02786032689450223,0.03603268945022288,18,2,2.652616911615555,2.70428204536438,-0.051665133748824754,0.051665133748824754,0.0026692860452839505,0.019477043037224338
NH1010,M,0.02711738484398217,0.041604754829123326,19,3,2.954648253787917,2.900005578994751,0.05464267479316609,0.05464267479316609,0.0029858219085517087,0.018493800310441223
NH1011,L,0.02711738484398217,0.03417533432392273,20,5,2.739788863636666,2.7684741020202637,-0.0286852383835976,0.0286852383835976,0.000822842901123821,0.010469871881117037
NH1012,M,0.02823179791976226,0.043462109955423475,21,5,2.908289215909583,2.8837215900421143,0.024567625867468745,0.024567625867468745,0.0006035682407639194,0.008447449357190785
NH1013,M,0.0274888558692422,0.0412332838038633,22,3,2.911308340909167,2.8608202934265137,0.05048804748265345,0.05048804748265345,0.0025490429386106697,0.01734204748194734
NH1014,O,0.0007429420505200594,0.04606240713224369,23,1,2.777979219696667,2.780362844467163,-0.002383624770496251,0.002383624770496251,5.681667046523305e-06,0.0008580426929023845
NH1015,O,0.0007429420505200594,0.04086181277860327,24,2,2.5617208522729173,2.7194416522979736,-0.15772080002505628,0.15772080002505628,0.024875850760543796,0.061568300810392766
NH1016,O,0.0007429420505200594,0.04457652303120357,25,3,2.7517345643929176,2.6792752742767334,0.07245929011618424,0.07245929011618424,0.005250348724141355,0.026332223701287023
NH1017,O,0.0003714710252600297,0.04234769687964339,26,4,3.0183430984837494,3.0687100887298584,-0.05036699024610902,0.05036699024610902,0.0025368337064516416,0.016686966525241598
NH1018,O,0.001114413075780089,0.045319465081723624,27,5,2.6919653901504166,2.679304599761963,0.012660790388453691,0.012660790388453691,0.00016029561326036135,0.004703177252862657
NH1019,O,0.001114413075780089,0.045319465081723624,28,2,2.7220047992416667,2.722959041595459,-0.0009542423537922673,0.0009542423537922673,9.105784697710066e-07,0.0003505660071054109
NH1020,O,0.0003714710252600297,0.043462109955423475,29,1,2.7690984053041667,2.815866231918335,-0.04676782661416823,0.04676782661416823,0.002187229606212902,0.0168891891037777
NH1021,M,0.002228826151560178,0.05163447251114413,30,1,2.6494786287883336,2.750149965286255,-0.10067133649792126,0.10067133649792126,0.010134717992277694,0.03799665919325514
NH1022,L,0.0007429420505200594,0.03528974739970282,31,1,2.9623063106049994,2.9068374633789062,0.05546884722609313,0.05546884722609313,0.00307679301259166,0.018724885751178737
NH1023,M,0.0,0.04234769687964339,32,5,2.732028564394167,2.850531816482544,-0.11850325208837686,0.11850325208837686,0.014043020755521395,0.04337555384037935
NH1024,L,0.0003714710252600297,0.03714710252600297,33,1,2.9472456704550005,2.9048280715942383,0.04241759886076224,0.04241759886076224,0.0017992526931125382,0.014392284730780297
NH1024,O,0.0003714710252600297,0.036404160475482915,34,5,2.9472456704550005,2.9260151386260986,0.02123053182890189,0.02123053182890189,0.0004507354817380162,0.007203516164845898
NH1025,L,0.002228826151560178,0.04309063893016345,35,5,2.8777555227262495,2.803976535797119,0.07377898692913032,0.07377898692913032,0.0054433389122887825,0.02563768407234606
NH1025,O,0.002228826151560178,0.041604754829123326,36,4,2.8777555227262495,2.8649795055389404,0.01277601718730903,0.01277601718730903,0.00016322661517041573,0.004439576985052989
NH1026,N,0.0003714710252600297,0.041976225854383355,37,4,2.97545093181875,2.954444646835327,0.02100628498342294,0.02100628498342294,0.0004412640088047801,0.007059866038716944
NH1026,O,0.0003714710252600297,0.041976225854383355,38,3,2.97545093181875,3.0438778400421143,-0.06842690822336417,0.06842690822336417,0.004682241769008703,0.022997155655164876
NH1027,N,0.0018573551263001485,0.046433878157503716,39,1,2.7831303106066674,2.7278902530670166,0.05524005753965078,0.05524005753965078,0.0030514639569839287,0.01984817503122579
NH1027,O,0.0018573551263001485,0.046433878157503716,40,5,2.7831303106066674,2.8302526473999023,-0.047122336793234965,0.047122336793234965,0.0022205146248550655,0.016931415900158227
NH1028,L,0.0007429420505200594,0.038261515601783064,41,2,2.8341194166654167,2.7498652935028076,0.08425412316260905,0.08425412316260905,0.007098757269900095,0.029728501441097174
NH1028,O,0.0007429420505200594,0.03714710252600297,42,2,2.8341194166654167,2.8334646224975586,0.0006547941678580749,0.0006547941678580749,4.2875540226094875e-07,0.0002310397240170864
NH1029,N,0.0014858841010401188,0.036404160475482915,43,2,3.133830560605,3.079662322998047,0.054168237606952996,0.054168237606952996,0.002934197965443317,0.01728499245871107
NH1029,O,0.0014858841010401188,0.03677563150074294,44,2,3.133830560605,3.1000418663024902,0.033788694302509636,0.033788694302509636,0.001141675862668447,0.010781914863953523
NH1030,N,0.0003714710252600297,0.04903417533432392,45,4,2.845201545454583,2.847912073135376,-0.002710527680792829,0.002710527680792829,7.346960308344153e-06,0.0009526663181812698
NH1030,O,0.0003714710252600297,0.04940564635958395,46,3,2.845201545454583,2.84321928024292,0.0019822652116632256,0.0019822652116632256,3.9293753693702524e-06,0.0006967046727601221
NH1031,L,0.0,0.038261515601783064,47,5,2.8045438106054172,2.747835874557495,0.056707936047922125,0.056707936047922125,0.0032157900108152255,0.02022002146426101
NH1031,O,0.0,0.03714710252600297,48,4,2.8045438106054172,2.733889102935791,0.07065470766962623,0.07065470766962623,0.0049920877158803395,0.02519294132700633
NH1032,L,0.002228826151560178,0.03974739970282318,49,1,3.2915247045458336,3.1415812969207764,0.1499434076250572,0.1499434076250572,0.02248302549021406,0.045554392290578574
NH1032,O,0.002228826151560178,0.038261515601783064,50,3,3.2915247045458336,3.2090320587158203,0.08249264583001326,0.08249264583001326,0.006805036616036003,0.02506213783419577
NH1033,N,0.0003714710252600297,0.04606240713224369,51,2,2.9680374696983334,2.9005534648895264,0.06748400480880701,0.06748400480880701,0.004554090905035087,0.022736911342174947
NH1033,O,0.0003714710252600297,0.046433878157503716,52,5,2.9680374696983334,2.9755001068115234,-0.007462637113190063,0.007462637113190063,5.569095268316171e-05,0.0025143338618114006
NH1034,L,0.0003714710252600297,0.04309063893016345,53,4,2.864424124999583,2.8384647369384766,0.025959388061106647,0.025959388061106647,0.0006738898285071263,0.00906269006552979
NH1034,O,0.0003714710252600297,0.041604754829123326,54,1,2.864424124999583,2.8981194496154785,-0.033695324615895306,0.033695324615895306,0.00113537490097056,0.01176338528984022
NH1035,N,0.002600297176820208,0.037518573551263,55,2,3.172917340909583,3.0869393348693848,0.08597800604019845,0.08597800604019845,0.0073922175226484015,0.027097461674032753
NH1035,O,0.002600297176820208,0.03714710252600297,56,2,3.172917340909583,3.1317591667175293,0.04115817419205392,0.04115817419205392,0.0016939953028234534,0.012971713338186773
NH1036,N,0.0007429420505200594,0.04717682020802377,57,3,2.999257371212083,2.9621477127075195,0.03710965850456338,0.03710965850456338,0.0013771267543253134,0.012372949004224325
NH1036,O,0.0007429420505200594,0.0475482912332838,58,5,2.999257371212083,2.979281187057495,0.019976184154587795,0.019976184154587795,0.0003990479333780045,0.00666037678070562
NH1037,L,0.0003714710252600297,0.038261515601783064,59,3,3.03760101515125,3.041574478149414,-0.003973462998164035,0.003973462998164035,1.578840819777872e-05,0.0013080924645282545
NH1038,N,0.0003714710252600297,0.03603268945022288,60,2,2.698237117424167,2.817128896713257,-0.11889177928908978,0.11889177928908978,0.014135255182525638,0.04406276176444568
NH1039,M,0.0007429420505200594,0.05089153046062407,61,2,2.4650328371208334,2.6328091621398926,-0.16777632501905915,0.16777632501905915,0.02814889523690097,0.06806251117326063
NH1040,L,0.001114413075780089,0.03417533432392273,62,5,3.1022917840904163,2.966189384460449,0.13610239962996706,0.13610239962996706,0.01852386318503526,0.04387156628138641
