operation,feature_count,mean_importance,total_importance,selected_features
311,127,0.002438459276634511,1.341152602148981,127
210,84,0.0008911301618413993,0.2316938420787638,84
420,56,0.0008739044948170539,0.11622929781066817,56
344,43,0.0008291541683584711,0.11525242940182748,43
520,50,0.0007678069576103845,0.07985192359148,50
220,15,0.0010714372655850916,0.05785761234159495,15
310,8,0.0012202381251197854,0.04880952500479142,8
300,10,0.0011072177054056718,0.03875261968919851,10
750,13,0.0011069713685510183,0.03431611242508156,13
330,20,0.0007826827059521774,0.0313073082380871,20
400,14,0.0008449229953391074,0.03126215082754697,14
UNKNOWN,9,0.0009079192938970822,0.02451382093522122,9
360,18,0.0007042627079294138,0.017606567698235345,18
340,7,0.0007437183209994505,0.009668338172992856,7
312,8,0.0007749775477929804,0.009299730573515765,8
