Tool,fold,n,mse,mae,mean_abs_residual,mean_missing_rate,mean_zero_rate
J,1,36,0.016236646915712104,0.09202389998432207,0.09202389998432207,0.008120769357767873,0.03835438335809807
J,2,31,0.008749088246652714,0.07211855529853801,0.07211855529853801,0.005428270143315919,0.03812970330249724
J,3,25,0.006563410095420821,0.06672796876323427,0.06672796876323427,0.006300148588410104,0.037979197622585434
J,4,28,0.018678571281543016,0.10605317341113936,0.10605317341113936,0.010653258331564424,0.03709403523668011
J,5,22,0.016471405502225193,0.09079651571548282,0.09079651571548282,0.007648926111036067,0.039325273537754966
L,1,35,0.013320248355011964,0.08550180051155605,0.08550180051155605,0.006516663128847379,0.04033113988537466
L,2,34,0.010048381630652,0.07878212654881432,0.07878212654881432,0.014083122104711127,0.03969277161087318
L,3,30,0.014839999248923007,0.08547091516781283,0.08547091516781283,0.012060425953442299,0.04060178306092125
L,4,35,0.007432415504696159,0.06528719818348663,0.06528719818348663,0.007885799193377202,0.040118870728083206
L,5,44,0.016366721349010172,0.09292497645138055,0.09292497645138055,0.007995069566392003,0.04051566932324733
M,1,22,0.011499802669251857,0.0870840246372262,0.0870840246372262,0.012731325138457383,0.045420775361339996
M,2,23,0.013302276156358723,0.08669484665422934,0.08669484665422934,0.006008140060727437,0.04638542541507849
M,3,29,0.009599962211732543,0.08139067143358188,0.08139067143358188,0.009338013014295229,0.04629297535481888
M,4,34,0.01256063003965196,0.08797135793823192,0.08797135793823192,0.005834280220260467,0.04540687002884364
M,5,20,0.0120452379193923,0.08981462478243467,0.08981462478243467,0.009676820208023774,0.04565378900445765
N,1,46,0.00919271988386816,0.07206308909336556,0.07206308909336556,0.012936882227534079,0.04381743006654176
N,2,55,0.00751838033621473,0.07030963023055847,0.07030963023055847,0.007814399567742807,0.03879508307442928
N,3,61,0.009820121014585298,0.07937803289071918,0.07937803289071918,0.012130660365868512,0.039631695612988085
N,4,47,0.009470685441910027,0.07642880403195013,0.07642880403195013,0.005176883437134456,0.04168379121747653
N,5,57,0.008572358227926156,0.0756808288286488,0.0756808288286488,0.005063736607491984,0.04071192096139308
O,1,21,0.006607989080077424,0.052477570177896435,0.052477570177896435,0.00875610273827213,0.038509162951956416
O,2,17,0.011025476274526196,0.0719382555365612,0.0719382555365612,0.015121055851761208,0.03944148238790316
O,3,15,0.013515327426123684,0.09306674947458798,0.09306674947458798,0.008494304110946012,0.03784051510648836
O,4,16,0.009274683867161009,0.07422654044082946,0.07422654044082946,0.010447622585438337,0.03593982169390787
O,5,17,0.09085307691404665,0.11409265167044384,0.11409265167044384,0.0029280657285202343,0.0399222095970632
