Tool,rank,feature,tool_mean,global_mean,shift_z,operation
O,1,210X189,1450.4110465116278,391.3347749999999,2.1394325980832,210
O,2,210X99,0.025581395348837202,0.0051624999999999996,1.3829545017739682,210
O,3,210X97,0.02988372093023255,0.0104625,1.3710208067742125,210
O,4,ERROR:#N/A_4,12984642740.534883,8418593044.3375,1.3647899801009138,UNKNOWN
O,5,210X8,0.9675581395348835,-0.10898749999999997,1.3520355967228703,210
O,6,210X217,12869838840.918604,8391642686.18375,1.329642289643643,210
O,7,210X98,0.04674418604651162,0.012375,1.3288435729170938,210
O,8,210X2,0.693813953488372,0.4140025,1.2404223666497272,210
O,9,210X89,0.26744186046511625,0.20527499999999999,1.1677813998751259,210
O,10,210X153,-27.058720930232553,0.9622975000000002,1.1488143414366974,210
O,11,210X13,0.08377906976744183,0.07663624999999998,1.142261879072174,210
O,12,210X15,0.08369767441860464,0.07671499999999998,1.129008078519672,210
O,13,210X139,0.006034883720930233,0.00499125,1.1142469602179699,210
O,14,210X66,0.006058139534883721,0.005011249999999999,1.102140881436285,210
O,15,210X192,0.7372093023255814,1.3305,1.0904166847122794,210
O,16,210X175,0.6934651162790697,0.62470625,0.9929169468167984,210
O,17,210X83,78538.44312790695,60045.110328749994,0.9789357546420026,210
O,18,210X81,77899.57927906977,59824.0096325,0.9533785516509232,210
O,19,210X144,66510.98101162793,51273.88091625,0.9443268423207201,210
O,20,210X118,159.03140697674422,123.201575,0.9295886182228527,210
O,21,210X168,165.89154651162787,128.73652125,0.9270612423160639,210
O,22,210X120,159.23961627906976,123.58499499999999,0.9267859493658278,210
O,23,210X134,159.2227906976744,123.58182000000001,0.926513513697578,210
O,24,210X162,166.4490930232558,128.98880499999999,0.926265860315503,210
O,25,210X132,159.0560581395349,123.35556249999999,0.9254492694774865,210
O,26,210X84,78813.93268604651,61708.301685000006,0.9158311838819143,210
O,27,210X150,166.67983720930232,130.043675,0.9065554183145776,210
O,28,210X143,2.7426395348837214,2.18984625,0.906142721699189,210
O,29,210X166,164.87758139534884,128.4573025,0.9060022232023297,210
O,30,210X156,167.0854069767442,130.2921775,0.9048769805196739,210
