experiment,fold,mse,rmse,mae,r2,n_features,time_sec
E0_baseline,1,0.011658478284088478,0.107974433474265,0.07898876894618546,0.7037948622885837,300,6.313334499998746
E0_baseline,2,0.009498519236521301,0.09746034699569513,0.07498893122977435,0.7878465203615785,300,6.676461400000335
E0_baseline,3,0.01055900892046883,0.10275703830136809,0.08019198371338629,0.7624571879438171,300,6.978826000000481
E0_baseline,4,0.011273206984625524,0.10617535959263583,0.08140840873992967,0.7310563564652068,300,6.376568200001202
E0_baseline,5,0.02097836340827395,0.14483909488903177,0.08834935704300366,0.5581799339206283,300,6.530867699999362
E1_anomaly,1,0.011334731391607162,0.10646469551737403,0.07811560982605484,0.7120202490444136,306,7.273950900000273
E1_anomaly,2,0.009630363213658188,0.0981344140129149,0.07484451904074203,0.7849017288817222,306,7.078808799999024
E1_anomaly,3,0.010782197565677835,0.10383736112632021,0.08104968978546594,0.7574361808775969,306,7.092885399999432
E1_anomaly,4,0.010905712424847266,0.10443041905904268,0.08111145442662056,0.7398236332499559,306,7.1061798999999155
E1_anomaly,5,0.02120710653269434,0.14562659967428457,0.08723043051867814,0.5533624321746742,306,6.943068700000367
E2_tool,1,0.010326442857039079,0.10161910675182634,0.07668957024507993,0.7376376784341645,600,13.474890100000266
E2_tool,2,0.008444656223206368,0.09189481064350896,0.07200706867039712,0.8113850003887957,600,13.23971530000017
E2_tool,3,0.010253430092152184,0.10125922225729458,0.07863779509154353,0.7693317018996162,600,13.457066799999666
E2_tool,4,0.01038632690903581,0.10191333037947396,0.08044980900249486,0.7522145556566886,600,13.550679599999057
E2_tool,5,0.022387462877837286,0.14962440602333993,0.09368879770809009,0.5285032423389896,600,13.59567319999951
E3_operation,1,0.011903232847399714,0.10910193787188069,0.08094242253320193,0.6975764213081647,384,6.758347599999979
E3_operation,2,0.009736404128262547,0.09867321890088793,0.07606280138471264,0.782533259812264,390,6.431695699999182
E3_operation,3,0.010554188761668476,0.1027335814700747,0.07851511919055766,0.7625656255902494,390,6.736961700000393
E3_operation,4,0.011505791291315744,0.10726505158398864,0.08205855237298587,0.7255076185634198,390,7.348465200000646
E3_operation,5,0.020310469625592055,0.14251480493475777,0.08657139396647058,0.5722462778701345,390,7.463430899999366
E4_anomaly_tool,1,0.010456939614539945,0.10225917863223792,0.07792026421330492,0.734322167688719,606,13.288584799998716
E4_anomaly_tool,2,0.008040174533676725,0.08966702032339831,0.06948252859110486,0.8204192714943169,606,13.299648799998977
E4_anomaly_tool,3,0.010153695190587902,0.10076554565221141,0.07742709886150158,0.7715754076447453,606,13.251765900000464
E4_anomaly_tool,4,0.010493345768649827,0.10243703318941752,0.08104367870622063,0.7496614186415708,606,13.014102000001003
E4_anomaly_tool,5,0.021676680379217425,0.14723002539977173,0.08970317441652458,0.5434728548104959,606,13.116752899999483
E5_anomaly_operation,1,0.012120985053804715,0.11009534528673187,0.08200303064994165,0.6920440249942146,390,7.172385399999257
E5_anomaly_operation,2,0.009764541263482546,0.09881569340688019,0.07587678006825527,0.7819048048925721,396,7.109855599999719
E5_anomaly_operation,3,0.0105562250644046,0.10274349159146091,0.07846380184178696,0.7625198155069566,396,7.220977999999377
E5_anomaly_operation,4,0.011354455961021635,0.10655728957242501,0.08192777082904809,0.7291180086840259,396,7.060683399999107
E5_anomaly_operation,5,0.020249418800770125,0.14230045256698984,0.08477642760021895,0.5735320540258848,396,6.998540199998388
E6_tool_operation,1,0.010731785693028698,0.10359433234028152,0.07913815426799463,0.7273391962798936,684,13.339351399999941
E6_tool_operation,2,0.008425614335827872,0.09179114519292082,0.07210688019773157,0.8118103090675104,690,13.361788399999568
E6_tool_operation,3,0.009682918864245507,0.09840182348028673,0.0768671507893423,0.7821663194671673,690,12.93527770000037
E6_tool_operation,4,0.010543497162131054,0.10268153272196054,0.08002844342346283,0.7484649624326514,690,12.616024200000538
E6_tool_operation,5,0.021306882121911626,0.14596877105022027,0.08980876388552997,0.5512610834391621,690,13.089664399998583
E7_all,1,0.010907724513413309,0.10444005224727393,0.07964223610467457,0.7228691461369059,690,14.18562529999872
E7_all,2,0.008361364647591619,0.09144049785292958,0.07195612379601933,0.8132453532660414,696,14.316125399998782
E7_all,3,0.009806677619358719,0.09902867069368708,0.07751334924802125,0.7793821563958419,696,13.747748400001
E7_all,4,0.010470465335177226,0.10232529176688052,0.07795565226184482,0.750207274594732,696,14.24652210000022
E7_all,5,0.02136644564738935,0.14617265697588366,0.0890710480422534,0.5500066309229992,696,14.24774200000138
