operation,feature_count,mean_of_feature_means,mean_of_feature_stds
210,216,466998949869.2061,56484388.947129555
UNKNOWN,224,37583720.290008314,14935791.344429512
220,96,168088780554098.22,332497194.38712865
300,15,13447106779790.76,27383714.627298143
310,101,159767637572482.94,324810672.136062
311,143,1692642623950.5789,3407904.496765678
312,439,1234.7081107604113,169.2802020076664
330,419,97237.55628298015,469.9161193446118
340,105,1960.7934974999998,97.40812969913627
344,143,1675.528711232577,154.34961726733022
360,144,141863.8880940468,912.1295363584876
400,142,1704563921823.7886,3391032.9864375
420,128,630333599776.0879,1252011.9876171274
520,234,689594626551.8562,1275267.9249819198
750,143,283677.98880856804,1043.3294824309478
