selector,variance_threshold,transform,scaler,reducer,top_k,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,r2_mean,r2_std,features_mean,explained_variance_mean,elapsed_sec
extra_trees,0.0,none,none,none,300,0.012155195566420259,0.003968198682636854,0.10924373715706437,0.016620824978716215,0.0794366860093423,0.7231368680347642,0.07497729621936179,300.0,1.0,21.8248085000032
rf,0.0,none,none,none,300,0.01265862370620512,0.004355439882669783,0.11137510330681304,0.01782589652730829,0.08063629374658413,0.7119676821416903,0.08236199009197791,300.0,1.0,22.795308299999306
extra_trees,0.0,none,none,none,500,0.012788557960751012,0.004012174436416062,0.11213853789875868,0.01633654946277182,0.08132131965205773,0.7086839107160785,0.07500587385172061,500.0,1.0,25.251696000001175
extra_trees,0.0,none,none,none,200,0.012927637051350666,0.003939876014925851,0.11277454035573109,0.01618410095217847,0.08192547360954468,0.7052803438438803,0.07419382928452176,200.0,1.0,19.57309929999974
rf,0.0,none,none,none,500,0.01301403464946137,0.004498551720662181,0.11293090379121065,0.018050125289097527,0.08090973332705424,0.7039600488646256,0.08472255361513664,500.0,1.0,27.22028279999904
xgb,0.0,none,none,none,300,0.013259088660432595,0.004297420008279705,0.11411690088842649,0.01719089846596283,0.08213525388872094,0.6984619138721962,0.07918561591742082,300.0,1.0,35.93683310000233
rf,0.0,none,none,none,200,0.013306889004666169,0.004170010412305632,0.11436815761507405,0.016837960402010837,0.08267550230213164,0.6971093079180164,0.07748713879180298,200.0,1.0,20.265015300001323
baseline,1e-06,none,none,none,0,0.01336497569925485,0.004254962337939025,0.11459642424371044,0.017052684898953036,0.08333113304798483,0.6957392429477981,0.07921427307385817,2661.0,1.0,75.45261800000299
baseline,1e-08,none,none,none,0,0.013472920218968171,0.004103256238688052,0.11515278339299344,0.016307846877136305,0.08265943955545293,0.6934355940797693,0.07457642562492045,2686.4,1.0,77.26040149999972
baseline,0.0,none,none,none,0,0.01347774538391928,0.004256416567693927,0.11510204917379403,0.01692866134373823,0.08326922968020484,0.693122613731003,0.07915627442463037,2690.0,1.0,77.30415490000087
xgb,0.0,none,none,none,500,0.0135138447821385,0.004344464131270391,0.11521544625198706,0.017293269178136422,0.08329912135051117,0.6925527715012713,0.08037888991919434,500.0,1.0,43.42600670000138
xgb,0.0,none,none,none,200,0.013520176131585787,0.005042722900303042,0.1149221404831617,0.019782497262549922,0.08238533608328669,0.6930105082635264,0.09506015917964157,200.0,1.0,35.060884599999554
baseline,0.0,none,standard,none,0,0.013665767903834192,0.004330617549454258,0.11589263043864809,0.01712695659790187,0.08340547763208121,0.6889321215844276,0.08031254555879425,2690.0,1.0,81.968320400003
baseline,0.0,none,minmax,none,0,0.013681139311353636,0.004317661214636991,0.11596673170308487,0.01706079018753097,0.08349308322493496,0.6885887946393549,0.07993244864355188,2690.0,1.0,82.17999480000071
baseline,1e-12,none,none,none,0,0.013691677929031554,0.004277523446278245,0.11604008845605773,0.016821704734577617,0.08381508618634273,0.6884224139556656,0.07853171667917977,2689.6,1.0,78.52274340000258
baseline,1e-10,none,none,none,0,0.013691677929031554,0.004277523446278245,0.11604008845605773,0.016821704734577617,0.08381508618634273,0.6884224139556656,0.07853171667917977,2689.6,1.0,84.23902279999675
baseline,0.0,yeo_johnson,none,none,0,0.013719469035028534,0.00430670968352428,0.11613095645311647,0.017068611114883503,0.08385807320805824,0.6881887755593784,0.07814902887393822,2176.2,1.0,177.5775416000015
baseline,0.0,log1p,none,none,0,0.013763907970447742,0.004206678044773438,0.11637458498081617,0.016615653048802345,0.08392420142156477,0.6865119722479324,0.07784472987334086,2690.0,1.0,87.99475940000048
xgb,0.0,none,none,none,100,0.013815487543927116,0.00479191011606715,0.11635434179117503,0.0186129890892602,0.08405214155404964,0.6860784196235784,0.08909820544596872,100.0,1.0,35.978790400000435
rf,0.0,none,none,none,100,0.014165830355669044,0.003992494093267658,0.11815541806148314,0.016012789356682582,0.08648013825670342,0.676628365806249,0.07594160215500337,100.0,1.0,18.332417100000384
extra_trees,0.0,none,none,none,100,0.015979378032042777,0.0036559590289960654,0.1258162694561303,0.013676822190534186,0.09258866584355005,0.6342988361371458,0.06976127556063381,100.0,1.0,16.255049900002632
xgb,0.0,none,none,none,50,0.015993185887901235,0.004630203338639135,0.12546203753696922,0.017764537179918202,0.09213720724459333,0.6341851716051785,0.09426075145081829,50.0,1.0,32.66478720000123
rf,0.0,none,none,none,50,0.018890691819916042,0.0060522977919122015,0.13603558462710214,0.021937739602069833,0.10243368386442615,0.5681606076599628,0.12816474472204858,50.0,1.0,17.703796000001603
baseline,0.0,none,standard,pca95,0,0.02158331756023449,0.003928213625041608,0.14645910470264725,0.01289613362279085,0.1108605210641355,0.5072058688580776,0.05975483193725705,198.4,0.9502225813736033,28.314182599999185
baseline,0.0,none,standard,pca90,0,0.02163213798793603,0.003923609854060557,0.1466249096727988,0.012907064508421082,0.10973515155230304,0.5062687257918909,0.058003079617461435,115.0,0.9004542511514583,26.22686210000029
baseline,0.0,none,standard,pca50,0,0.022198027206645963,0.0035143628188279937,0.1486250853610301,0.011651781412753963,0.1124714327782177,0.49294933411689057,0.04835039453845284,50.0,0.78307871228345,23.13705579999987
baseline,0.0,none,standard,svd50,0,0.02235889323312687,0.003656857966243486,0.1491438767791342,0.011989435579777394,0.11234209791691958,0.4893551088773621,0.051000137443660234,50.0,0.7829831760368393,23.14635300000009
extra_trees,0.0,none,none,none,50,0.024313336103929765,0.003470841546822493,0.15559978763661714,0.011293924880738593,0.11771087369340474,0.4403084070843655,0.0857275398135751,50.0,1.0,16.870988299999226
