selector,variance_threshold,transform,scaler,reducer,top_k,fold,mse,rmse,mae,r2,n_features,explained_variance,elapsed_sec
baseline,0.0,none,none,none,0,1,0.011596964954284398,0.10768920537493253,0.0791159421062689,0.7053577218558202,2690,1.0,15.403004200001305
baseline,0.0,none,none,none,0,2,0.010631317337779125,0.1031082796761692,0.07988606718103212,0.762544991467938,2692,1.0,15.325647300000128
baseline,0.0,none,none,none,0,3,0.012003883262228806,0.10956223465331841,0.08409459853117444,0.7299522893501476,2691,1.0,15.35270429999946
baseline,0.0,none,none,none,0,4,0.012138126827576905,0.11017316745731197,0.08512258727928841,0.710422060098066,2690,1.0,15.432441299999482
baseline,0.0,none,none,none,0,5,0.02101843453772716,0.14497735870723802,0.0881269533032603,0.5573360058830432,2687,1.0,15.790357800000493
baseline,1e-12,none,none,none,0,1,0.011596964954284398,0.10768920537493253,0.0791159421062689,0.7053577218558202,2690,1.0,15.331125900000188
baseline,1e-12,none,none,none,0,2,0.011394726355416817,0.10674608356008579,0.08268208057528147,0.7454939253547634,2691,1.0,15.922722799999974
baseline,1e-12,none,none,none,0,3,0.012003883262228806,0.10956223465331841,0.08409459853117444,0.7299522893501476,2691,1.0,15.885766699999294
baseline,1e-12,none,none,none,0,4,0.012138126827576905,0.11017316745731197,0.08512258727928841,0.710422060098066,2690,1.0,15.55265480000162
baseline,1e-12,none,none,none,0,5,0.021324688245650838,0.14602975123464,0.0880602224397004,0.5508860731195309,2686,1.0,15.830473200001506
baseline,1e-10,none,none,none,0,1,0.011596964954284398,0.10768920537493253,0.0791159421062689,0.7053577218558202,2690,1.0,17.08417720000034
baseline,1e-10,none,none,none,0,2,0.011394726355416817,0.10674608356008579,0.08268208057528147,0.7454939253547634,2691,1.0,16.837499399998705
baseline,1e-10,none,none,none,0,3,0.012003883262228806,0.10956223465331841,0.08409459853117444,0.7299522893501476,2691,1.0,17.14082569999846
baseline,1e-10,none,none,none,0,4,0.012138126827576905,0.11017316745731197,0.08512258727928841,0.710422060098066,2690,1.0,17.24814789999982
baseline,1e-10,none,none,none,0,5,0.021324688245650838,0.14602975123464,0.0880602224397004,0.5508860731195309,2686,1.0,15.92837259999942
baseline,1e-08,none,none,none,0,1,0.011173915630558157,0.10570674354343794,0.07752218376706699,0.7161060699797838,2686,1.0,15.595659599999635
baseline,1e-08,none,none,none,0,2,0.01143209547414922,0.10692097770853584,0.08218424566260348,0.7446592701445472,2688,1.0,15.561201900000015
baseline,1e-08,none,none,none,0,3,0.011837114540116402,0.10879850431010714,0.08275126916205641,0.7337040345671445,2688,1.0,15.829068299999562
baseline,1e-08,none,none,none,0,4,0.012138325656095626,0.11017406979909396,0.08480098649601857,0.7104173166682384,2687,1.0,14.971628499999497
baseline,1e-08,none,none,none,0,5,0.020783149793921436,0.1441636216037924,0.08603851268951923,0.5622912790391328,2683,1.0,15.302843200001007
baseline,1e-06,none,none,none,0,1,0.011376189901960945,0.10665922323906614,0.07918538964864641,0.7109669191441115,2661,1.0,15.510448500001075
baseline,1e-06,none,none,none,0,2,0.010277235905820659,0.10137670297371412,0.07948575214889386,0.7704535513176156,2663,1.0,15.30167160000019
baseline,1e-06,none,none,none,0,3,0.012224234623676168,0.11056326073192745,0.08543548048524996,0.724995111793725,2662,1.0,15.230056099999274
baseline,1e-06,none,none,none,0,4,0.012097485210568519,0.10998856854495616,0.0862634785164426,0.7113916426287769,2662,1.0,14.661450000001423
baseline,1e-06,none,none,none,0,5,0.020849732854247953,0.1443943657288883,0.0862855644406913,0.5608889898547618,2657,1.0,14.748991800001022
baseline,0.0,log1p,none,none,0,1,0.011802237832590143,0.10863810488309404,0.07903667688910315,0.7001423858826892,2690,1.0,16.937124199999744
baseline,0.0,log1p,none,none,0,2,0.0108606956328785,0.10421466131441631,0.08117047207046897,0.757421729383912,2692,1.0,17.195195199999944
baseline,0.0,log1p,none,none,0,3,0.01241513797545718,0.1114232380406223,0.08494773508525294,0.7207004171538611,2691,1.0,17.02722730000096
baseline,0.0,log1p,none,none,0,4,0.012547318306636902,0.11201481288935362,0.0862075723550226,0.7006600245537995,2690,1.0,18.40534630000002
baseline,0.0,log1p,none,none,0,5,0.021194150104675992,0.14558210777659455,0.08825855070797624,0.5536353042653999,2687,1.0,18.42986639999981
baseline,0.0,yeo_johnson,none,none,0,1,0.010607711198359831,0.10299374349133947,0.07865082438763363,0.7304915375961719,2184,1.0,36.20601289999831
baseline,0.0,yeo_johnson,none,none,0,2,0.01152867697302452,0.1073716767729019,0.08294882785086995,0.7425020811612049,2172,1.0,35.5462920000009
baseline,0.0,yeo_johnson,none,none,0,3,0.012405565181623817,0.11138027285665904,0.08485776531537292,0.7209157733850697,2165,1.0,35.681134600001315
baseline,0.0,yeo_johnson,none,none,0,4,0.012779560258986642,0.11304671715262961,0.08700970687847573,0.6951194541613854,2184,1.0,35.03666239999984
baseline,0.0,yeo_johnson,none,none,0,5,0.021275831563147867,0.14586237199205238,0.08582324160793893,0.5519150314930601,2176,1.0,35.10743970000112
rf,0.0,none,none,none,50,1,0.01397677373493678,0.11822340603677758,0.09282405168622368,0.6448942916874043,50,1.0,3.444510799999989
rf,0.0,none,none,none,50,2,0.012791813941164121,0.11310090159306477,0.08271657598220875,0.7142893780674029,50,1.0,3.7609346999997797
rf,0.0,none,none,none,50,3,0.01718968771619994,0.13110944937799082,0.10706084380701723,0.6132888238631722,50,1.0,3.6907735000004323
rf,0.0,none,none,none,50,4,0.024391857992046247,0.15617892941125652,0.1233203957145346,0.41808616040574775,50,1.0,3.3878354000007675
rf,0.0,none,none,none,50,5,0.026103325715233116,0.1615652367164209,0.10624655213214651,0.4502443842760867,50,1.0,3.419741600000634
rf,0.0,none,none,none,100,1,0.012157116617644131,0.1102593153327379,0.08131875525305496,0.6911260359923918,100,1.0,3.60587409999971
rf,0.0,none,none,none,100,2,0.010400565726499849,0.10198316393650399,0.07746136413309372,0.7676989271547598,100,1.0,3.690512999999555
rf,0.0,none,none,none,100,3,0.013031891247747918,0.11415730921735988,0.09167789772335608,0.7068255063787796,100,1.0,3.678110100001504
rf,0.0,none,none,none,100,4,0.0144258567279337,0.12010768804674286,0.0895991121354874,0.6558439426498052,100,1.0,3.6074745999994775
rf,0.0,none,none,none,100,5,0.02081372145851962,0.144269613774071,0.09234356203852497,0.561647416855508,100,1.0,3.7504453000001376
rf,0.0,none,none,none,200,1,0.010695377838551696,0.10341845985389501,0.07735256276743391,0.7282642049548127,200,1.0,4.092624400000204
rf,0.0,none,none,none,200,2,0.010579486330781585,0.10285662997970323,0.0760766143013613,0.7637026591226406,200,1.0,4.069997300000978
rf,0.0,none,none,none,200,3,0.011660800332543016,0.10798518570870273,0.08527003596590886,0.7376705216672028,200,1.0,4.02730530000008
rf,0.0,none,none,none,200,4,0.013044893391969275,0.1142142433848304,0.08725149028078674,0.6887894311579781,200,1.0,4.018075099998896
rf,0.0,none,none,none,200,5,0.020553887129485273,0.14336626914823888,0.08742680819516742,0.5671197226874475,200,1.0,4.057013200001165
rf,0.0,none,none,none,300,1,0.010622333750460662,0.10306470661900058,0.07604494750918485,0.7301200246977322,300,1.0,4.618195999999443
rf,0.0,none,none,none,300,2,0.009717226696608091,0.09857599452507741,0.0747408225504853,0.7829615959302114,300,1.0,4.677667300000394
rf,0.0,none,none,none,300,3,0.010768610111097263,0.10377191388375404,0.08252345713542816,0.7577418537105365,300,1.0,4.6014424999993935
rf,0.0,none,none,none,300,4,0.011854176789997032,0.10887688822701093,0.0846741551011999,0.7171962245210843,300,1.0,4.453786500000206
rf,0.0,none,none,none,300,5,0.02033077118286255,0.14258601327922227,0.08519808643662244,0.5718187118488868,300,1.0,4.444215999999869
rf,0.0,none,none,none,500,1,0.01120619809162669,0.10585933162280352,0.0782216067835716,0.7152858745311617,500,1.0,5.55402789999971
rf,0.0,none,none,none,500,2,0.010253484260070422,0.10125948972847149,0.07691692741557188,0.7709840544589556,500,1.0,5.3970291999994515
rf,0.0,none,none,none,500,3,0.01114867508396892,0.10558728656409785,0.08134060253137279,0.7491916476163852,500,1.0,5.380779900000562
rf,0.0,none,none,none,500,4,0.01144118737857926,0.10696348619308955,0.0820902815808511,0.7270488669146343,500,1.0,5.520053899999766
rf,0.0,none,none,none,500,5,0.021020628433061555,0.14498492484759082,0.08597924832390387,0.5572898008019913,500,1.0,5.368391899999551
extra_trees,0.0,none,none,none,50,1,0.025241337251418233,0.158875225417364,0.11866338720475067,0.35869728498094466,50,1.0,3.353216400000747
extra_trees,0.0,none,none,none,50,2,0.02275457502195262,0.1508461965776818,0.11996023942493594,0.4917668587710573,50,1.0,3.442100800000844
