feature,distribution,n,ks_stat,ks_pvalue,aic,skewness,best_distribution,best_aic,best_ks_stat,best_ks_pvalue
440AX158,normal,800,0.5128606198709481,7.887632263035218e-196,-3074.3883545281883,-28.28427124746198,weibull,-7218.510839989338,0.6193249000813139,2.9503216719293956e-296
440AX158,lognormal,800,0.5128606198694714,7.887632285015886e-196,-3066.374920461384,-28.28427124746198,weibull,-7218.510839989338,0.6193249000813139,2.9503216719293956e-296
440AX158,gamma,800,0.5389351308881309,6.128161002935023e-218,3644.8151017034234,-28.28427124746198,weibull,-7218.510839989338,0.6193249000813139,2.9503216719293956e-296
440AX158,weibull,800,0.6193249000813139,2.9503216719293956e-296,-7218.510839989338,-28.28427124746198,weibull,-7218.510839989338,0.6193249000813139,2.9503216719293956e-296
330X1163,normal,800,0.5128606198709593,7.88763226286831e-196,-10442.66065210913,28.284271247461927,gamma,-52270.03863992536,0.8419937197074658,0.0
330X1163,lognormal,800,0.5128606198709135,7.887632263550816e-196,-10483.768097321514,28.284271247461927,gamma,-52270.03863992536,0.8419937197074658,0.0
330X1163,gamma,800,0.8419937197074658,0.0,-52270.03863992536,28.284271247461927,gamma,-52270.03863992536,0.8419937197074658,0.0
330X1163,weibull,800,0.9984832190415893,0.0,-45901.62159780877,28.284271247461927,gamma,-52270.03863992536,0.8419937197074658,0.0
310X140,normal,800,0.5128606198709582,7.887632262884835e-196,-3074.3883545281888,28.2842712474619,gamma,-46731.61910593396,0.8347226544418723,0.0
310X140,lognormal,800,0.5128606198709393,7.88763226316577e-196,-3222.0964199704395,28.2842712474619,gamma,-46731.61910593396,0.8347226544418723,0.0
310X140,gamma,800,0.8347226544418723,0.0,-46731.61910593396,28.2842712474619,gamma,-46731.61910593396,0.8347226544418723,0.0
310X140,weibull,800,0.9986072284255605,0.0,-39405.617678507784,28.2842712474619,gamma,-46731.61910593396,0.8347226544418723,0.0
310X138,normal,800,0.5128606198709582,7.887632262884835e-196,-3074.3883545281888,28.2842712474619,gamma,-47754.44314089196,0.8406943770723351,0.0
310X138,lognormal,800,0.5128606198709497,7.887632263012083e-196,-3255.7750684489592,28.2842712474619,gamma,-47754.44314089196,0.8406943770723351,0.0
310X138,gamma,800,0.8406943770723351,0.0,-47754.44314089196,28.2842712474619,gamma,-47754.44314089196,0.8406943770723351,0.0
310X138,weibull,800,0.9986502789297531,0.0,-39961.41958487229,28.2842712474619,gamma,-47754.44314089196,0.8406943770723351,0.0
520X375,normal,800,0.5128606198709611,7.887632262841869e-196,8468.81870811364,-28.28427124746189,normal,8468.81870811364,0.5128606198709611,7.887632262841869e-196
520X375,lognormal,800,0.5128606198709603,7.887632262853437e-196,9411.730480647358,-28.28427124746189,normal,8468.81870811364,0.5128606198709611,7.887632262841869e-196
520X375,gamma,800,0.9991563605956115,0.0,852129.9716882579,-28.28427124746189,normal,8468.81870811364,0.5128606198709611,7.887632262841869e-196
520X375,weibull,800,0.8971871082048661,0.0,17055.11522953656,-28.28427124746189,normal,8468.81870811364,0.5128606198709611,7.887632262841869e-196
220X155,normal,800,0.5128606198709631,7.887632262812123e-196,-1965.352865632275,28.28427124746187,gamma,-47748.64445890508,0.8375980157415541,0.0
220X155,lognormal,800,0.5128606198709573,7.887632262898056e-196,-2299.8591756687547,28.28427124746187,gamma,-47748.64445890508,0.8375980157415541,0.0
220X155,gamma,800,0.8375980157415541,0.0,-47748.64445890508,28.28427124746187,gamma,-47748.64445890508,0.8375980157415541,0.0
220X155,weibull,800,0.998660382346566,0.0,-38700.280432429296,28.28427124746187,gamma,-47748.64445890508,0.8375980157415541,0.0
310X139,normal,800,0.5128606198709631,7.887632262812123e-196,-1965.3528656322749,28.28427124746186,gamma,-47748.64445890508,0.8375980157415545,0.0
310X139,lognormal,800,0.5128606198709573,7.887632262898056e-196,-2299.8591756687547,28.28427124746186,gamma,-47748.64445890508,0.8375980157415545,0.0
310X139,gamma,800,0.8375980157415545,0.0,-47748.64445890508,28.28427124746186,gamma,-47748.64445890508,0.8375980157415545,0.0
310X139,weibull,800,0.998660382346566,0.0,-38700.28043242931,28.28427124746186,gamma,-47748.64445890508,0.8375980157415545,0.0
312X328,normal,799,0.5128678901976795,1.3649741011281407e-195,-3069.5422459110423,28.266588050205158,normal,-3069.5422459110423,0.5128678901976795,1.3649741011281407e-195
312X459,normal,799,0.5128678901996306,1.36497409610853e-195,-3069.542245911043,-28.26658805019046,weibull,-7231.93667664253,0.728428435233879,0.0
312X459,lognormal,799,0.5128678902341538,1.364974007290786e-195,-3069.3828326293187,-28.26658805019046,weibull,-7231.93667664253,0.728428435233879,0.0
312X459,gamma,799,0.5326053246102866,3.6096772396394617e-212,3528.4564488697442,-28.26658805019046,weibull,-7231.93667664253,0.728428435233879,0.0
312X459,weibull,799,0.728428435233879,0.0,-7231.93667664253,-28.26658805019046,weibull,-7231.93667664253,0.728428435233879,0.0
344X51,normal,739,0.5133287725249547,2.717457014305373e-181,273.6984697958712,27.18455443813634,gamma,-41148.97336985618,0.8262914983922187,0.0
344X51,lognormal,739,0.5133287725249589,2.717457014285363e-181,2.578606077472841,27.18455443813634,gamma,-41148.97336985618,0.8262914983922187,0.0
344X51,gamma,739,0.8262914983922187,0.0,-41148.97336985618,27.18455443813634,gamma,-41148.97336985618,0.8262914983922187,0.0
344X51,weibull,739,0.9984707051388751,0.0,-34576.23836346315,27.18455443813634,gamma,-41148.97336985618,0.8262914983922187,0.0
344X60,normal,739,0.5102808756900366,5.436619555180878e-179,1172.6930158272808,27.12840013504324,weibull,-1192.7217499187745,0.8175640180326953,0.0
344X60,lognormal,739,0.5089551723441333,5.376999346706033e-178,647.0118723963076,27.12840013504324,weibull,-1192.7217499187745,0.8175640180326953,0.0
344X60,gamma,739,0.9461232864395102,0.0,1560.615646288389,27.12840013504324,weibull,-1192.7217499187745,0.8175640180326953,0.0
344X60,weibull,739,0.8175640180326953,0.0,-1192.7217499187745,27.12840013504324,weibull,-1192.7217499187745,0.8175640180326953,0.0
344X113,normal,739,0.49115187607025895,5.833089533021689e-165,6650.114021483304,-27.124605397913292,normal,6650.114021483304,0.49115187607025895,5.833089533021689e-165
344X113,lognormal,739,0.4968498925151213,4.571437348819764e-169,7121.310759888954,-27.124605397913292,normal,6650.114021483304,0.49115187607025895,5.833089533021689e-165
344X113,gamma,739,0.5376830348801928,2.3848545792080533e-200,9863.937070947874,-27.124605397913292,normal,6650.114021483304,0.49115187607025895,5.833089533021689e-165
344X113,weibull,739,0.8936556026370854,0.0,14454.88714432524,-27.124605397913292,normal,6650.114021483304,0.49115187607025895,5.833089533021689e-165
344X117,normal,739,0.4920137872361511,1.4085822340094855e-165,7706.0574435169465,-27.104422266584322,weibull,2980.893229972219,0.3941375268753497,7.546601509888973e-104
