experiment,fold,mse,rmse,mae,r2,tool_o_n,tool_o_mse,tool_o_mae,time_sec
E0_global_only,1,0.010766011001058774,0.10375938994162781,0.07972578560301008,0.7264696392218253,21,0.007593055407931905,0.059274710718250745,8.166603800000303
E0_global_only,2,0.007589711116605752,0.08711894809170823,0.06767103603867741,0.8304805641023235,17,0.010111312127980335,0.06983549111180297,8.47862890000033
E0_global_only,3,0.009868726983703741,0.09934146658724011,0.07815163261508981,0.7779862507191033,15,0.01417109308427201,0.09713724613564656,8.225545299999794
E0_global_only,4,0.010968392844612936,0.10473009521915339,0.08132193859857909,0.7383282734563268,16,0.009555433212549059,0.07691761520785348,8.34028489999946
E0_global_only,5,0.020703793131875963,0.14388812714006657,0.0869744697086348,0.563962589855254,17,0.09897664345012734,0.12966489211933446,8.570228999999017
E1_tool_o_expert_25,1,0.0106981413178897,0.10343181965860264,0.07967992490737938,0.7281939936666899,21,0.0070759530599770575,0.058925295894397704,7.6875832000005175
E1_tool_o_expert_25,2,0.007814716786918977,0.08840088679939233,0.06887638754282491,0.8254549664584524,17,0.012229012554457734,0.08117997585672056,7.614539099999092
E1_tool_o_expert_25,3,0.00985993937098273,0.09929722740833569,0.07842090780518174,0.7781839429696481,15,0.014077358548581243,0.10000951482996051,8.48588319999908
E1_tool_o_expert_25,4,0.010829546466252511,0.1040651068622548,0.08078724050463601,0.7416407160415459,16,0.008166969428944806,0.07157063426842272,8.269453499999145
E1_tool_o_expert_25,5,0.02108898660732513,0.14522047585421669,0.08697855915084121,0.5558501263868609,17,0.10260199380729602,0.12970338098715936,8.196828399999504
E2_tool_o_expert_50,1,0.01074346911014231,0.10365070723416368,0.08015927701223316,0.7270423575252337,21,0.007421307667616002,0.06257750240756932,7.9912237000007735
E2_tool_o_expert_50,2,0.008172253957146464,0.09040051967298895,0.07075665033493536,0.8174692212201645,17,0.015594068274245854,0.09887656684128944,7.823470699999234
E2_tool_o_expert_50,3,0.009954244255072606,0.0997709589764106,0.0789170994173469,0.7760623946760468,15,0.015083277312206557,0.10530222535972215,7.913666299999022
E2_tool_o_expert_50,4,0.010948173797725919,0.10463352138643676,0.08113903504418425,0.7388106370061145,16,0.009353242743678884,0.07508857966390506,7.838418699999238
E2_tool_o_expert_50,5,0.021520635701883766,0.1466991332690271,0.08701487924113509,0.5467592727406809,17,0.10666457352078904,0.1300452171311018,7.9929534000002604
E3_tool_o_expert_75,1,0.010901993478933546,0.10441261168524398,0.08091709917519996,0.7230147536352383,21,0.008629112382215889,0.06835138555398311,8.17604080000092
E3_tool_o_expert_75,2,0.008662325587243329,0.09307161536818477,0.07263691461716192,0.8065232622755995,17,0.02020650714574577,0.11657317185048062,8.333675800000492
E3_tool_o_expert_75,3,0.01015164563806949,0.10075537523164455,0.07951564670473923,0.7716215158043602,15,0.01718889206417333,0.11168672975857369,8.068341000000146
E3_tool_o_expert_75,4,0.011324272269165424,0.10641556403630732,0.08252964866364658,0.7298380976590808,16,0.013114227458073934,0.08899471585852833,8.10686220000025
E3_tool_o_expert_75,5,0.021998724545385873,0.1483196701229674,0.08718529019285329,0.5366903631543116,17,0.1111642332243383,0.13164908491197894,7.864761900000303
E4_tool_o_expert_100,1,0.011173712330191174,0.10570578191466716,0.08185383385156104,0.7161112352004697,21,0.010699351248940676,0.07548841165959137,7.995830700001534
E4_tool_o_expert_100,2,0.009284929430082096,0.09635833866397914,0.07451717740927236,0.7926171398153082,17,0.0260663080195224,0.1342697628350495,8.260856900000363
E4_tool_o_expert_100,3,0.01045214142800346,0.10223571503150677,0.08030311793953766,0.7648613534169996,15,0.020394180490135694,0.12008642292975695,8.430943999999727
E4_tool_o_expert_100,4,0.011957843299198068,0.10935192407634202,0.08410930586064518,0.7147230641564175,16,0.01944993775840038,0.1047912878285143,8.48379659999955
E4_tool_o_expert_100,5,0.022523264390601965,0.15007752793340504,0.08753469287528677,0.5256431606359666,17,0.11610107882637209,0.13493758074664694,8.103619299999991
