config_id,model,params,mse,rmse,mae,r2,mse_std,features_mean,mean_fold_time_sec
10,XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",0.0119049033309074,0.1091095932120888,0.0790126029859211,0.7294851126442539,0.0049462870198291,497.8,7.076605519998703
2,XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 1200}",0.0119953949844873,0.1095234905601871,0.0799736960289655,0.7274288725560838,0.0050981280908372,497.8,6.9465324599994345
14,XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",0.0119972749760904,0.1095320728192908,0.0786108461862353,0.7273861535433723,0.0048576878682762,497.8,7.308309760000702
13,XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",0.0120739400812994,0.1098814819762613,0.0791712339834249,0.7256440938455087,0.004892570139683,497.8,6.644767419998971
8,XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",0.0120756092788161,0.1098890771588156,0.0788276413808769,0.7256061647027301,0.005300427628793,497.8,7.197887719999562
16,XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 1200}",0.0120797271593808,0.1099078120944133,0.0787936782908136,0.7255125941825713,0.0048780712060306,497.8,7.278885760000412
9,XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",0.0120949575519024,0.109977077392984,0.079979472699739,0.7251665142688734,0.0049688608508507,497.8,6.660703000000649
6,XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1200}",0.0120960925289234,0.1099822373336867,0.079089853365046,0.725140724208051,0.0052078076214241,497.8,7.139919020000525
12,XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",0.012100332092691,0.1100015095018746,0.0797061441779772,0.7250443886828348,0.0048196279273213,497.8,7.136742420001246
4,XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 1200}",0.0121007321525536,0.1100033279158121,0.0803590197133604,0.7250352981303388,0.0051634229679707,497.8,6.8793555800009925
15,XGB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",0.0121575178736501,0.1102611349191096,0.0793104059646576,0.7237449572918768,0.0049110552386173,497.8,6.62433291999987
11,XGB,"{'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",0.0122355667738696,0.1106144962193907,0.0805412028690941,0.7219714536468449,0.0048342936754627,497.8,6.512287199999991
7,XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 800}",0.0122743382033787,0.1107896123442027,0.0799186497837977,0.721090451206527,0.0053793186168721,497.8,6.513847380001243
5,XGB,"{'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 800}",0.0122906744224317,0.1108633141414766,0.080138187002756,0.7207192436180142,0.0052671263966105,497.8,6.592834519999451
1,XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 800}",0.0124035967397137,0.1113714359237312,0.0817464027269954,0.7181533119938407,0.0051719933266687,497.8,6.479899420000583
3,XGB,"{'learning_rate': 0.03, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 800}",0.0125610669938839,0.1120761660384755,0.0825358636302194,0.7145751184642779,0.0052347608980842,497.8,6.5100212399993325
17,RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.0157002049755178,0.1253004588001093,0.0917706891759351,0.6432445470272803,0.0056947342726828,497.8,5.472043019998819
18,RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.0158063099798591,0.1257231481464696,0.0920818398511364,0.6408335250727598,0.0057881361466693,497.8,5.3837298999998895
26,ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.0158085532269358,0.1257320692064511,0.0910223411505471,0.6407825518129708,0.0054356476822129,497.8,5.224775279999449
25,ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.0159438432209245,0.1262689321287091,0.0912918187456212,0.6377083599050692,0.0054704238399845,497.8,5.09483476000023
19,RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",0.0160169011180848,0.1265578963087046,0.0928671352014743,0.6360482667256939,0.0058379957214934,497.8,5.345682940000552
20,RF,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",0.0160216767332272,0.1265767622165585,0.0930480184174736,0.635939750515492,0.0058420364961395,497.8,5.409168279999721
28,ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",0.0162006976009069,0.127281961019254,0.0930496154252722,0.6318718628133742,0.005327465227298,497.8,5.199955980000231
27,ET,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",0.01627811704243,0.1275857242893188,0.0934310550041039,0.6301126623460831,0.005206518764303,497.8,5.154337520000263
23,RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",0.0167215375713166,0.1293117843482049,0.0957814825681778,0.6200368262734325,0.00570520340006,497.8,5.364962340000057
21,RF,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",0.0167731080885362,0.1295110346207468,0.0959068531447292,0.6188649904114538,0.0054771565036729,497.8,5.310633399998915
