fold,alpha,mse,rmse,mae,r2,n_features,time_sec
1,0.0,0.010854625459279602,0.10418553382922027,0.07932455287523091,0.7242182255157719,493,53.08838580000156
1,0.1,0.010829297787411388,0.1040639120320363,0.07926927146646787,0.7248617217209219,493,53.088867800001026
1,0.2,0.010857435350097434,0.10419901799008201,0.07966929740117794,0.7241468350584267,493,53.08929459999854
1,0.3,0.010939050467381306,0.10458991570596711,0.08022752756820335,0.722073252514863,493,53.08971020000172
1,0.5,0.011262691980604613,0.1061258308829882,0.08177605141138149,0.7138505431133901,493,53.09012829999847
1,0.75,0.01196801467784361,0.10939842173378742,0.08501030351911336,0.6959305194554314,493,53.09052470000097
1,1.0,0.013007538952112244,0.11405059821023406,0.08893040014339756,0.6695194885034468,493,53.090919099999155
2,0.0,0.00765518246331858,0.08749389957773387,0.06825789482337286,0.8290182336405044,499,52.13763159999871
2,0.1,0.0075764187804942314,0.08704262622700576,0.06786041809974411,0.830777454100476,499,52.13809620000029
2,0.2,0.007543598565072862,0.08685389205483461,0.06759182235505781,0.8315105076144758,499,52.13854480000009
2,0.3,0.00755672013895306,0.08692939743811101,0.06741002222802839,0.8312174316636146,499,52.13897409999845
2,0.5,0.007720791864249263,0.08786803664728866,0.06801307723863656,0.8275528196788294,499,52.13971319999837
2,0.75,0.008184313439392263,0.09046719537706617,0.0701406884171177,0.8171998675390931,499,52.140448399997695
2,1.0,0.008934976491767378,0.09452500458485774,0.07327649781472603,0.8004334879980538,499,52.1409825999981
3,0.0,0.00963598694537122,0.0981630630398788,0.07584845822159979,0.783222132571272,499,52.47375230000034
3,0.1,0.009478500310422132,0.0973575898963308,0.07522032510344717,0.786765061496595,499,52.474290300000575
3,0.2,0.00937039961370035,0.09680082444742065,0.07462953459201552,0.7891969699908427,499,52.474817399997846
3,0.3,0.009311682806238916,0.09649706112747121,0.07413270162786575,0.7905179041490014,499,52.47532180000053
3,0.5,0.009342405219863886,0.0966561183778031,0.07380749812382523,0.7898267513542082,499,52.47582490000059
3,0.75,0.009658596604014563,0.0982781593438469,0.07486546919661322,0.7827134899577254,499,52.47632949999752
3,1.0,0.010283442871727538,0.10140731172715081,0.07790289216330963,0.7686565135261949,499,52.47683959999995
4,0.0,0.010912588834495997,0.10446333727435668,0.08117147384056266,0.7396595835107922,499,51.37202160000015
4,0.1,0.010906000082446545,0.10443179631916012,0.08145750781907742,0.7398167706346463,499,51.37256709999929
4,0.2,0.010944212420052916,0.1046145899005149,0.08187199706578384,0.7389051431520804,499,51.37307800000053
4,0.3,0.011027222480302534,0.10501058270623267,0.08261163409317325,0.7369247813895383,499,51.3737876999985
4,0.5,0.011327642179702755,0.10643139658814384,0.08428436698904576,0.7297577020786987,499,51.37432640000043
4,0.75,0.011955160894000514,0.10933965837700661,0.08695127840124015,0.7147870579984761,499,51.37483559999964
4,1.0,0.012862673632522872,0.11341372770755255,0.09059989368847347,0.6931366276652706,499,51.37533659999826
5,0.0,0.020744945574810127,0.14403105767441315,0.08594771670651938,0.5630958885448301,499,51.7941052999995
5,0.1,0.02048597595204633,0.14312922815430232,0.08513680022389178,0.5685499830142262,499,51.79456500000015
5,0.2,0.020270013531599705,0.1423727977234405,0.0847196055272999,0.5730983135496176,499,51.795023700000456
5,0.3,0.0200970488683004,0.14176406056649338,0.08445089531814165,0.5767410790733647,499,51.79544890000034
5,0.5,0.019880126133783784,0.1409969011495777,0.08472685749543227,0.5813096345432565,499,51.79585600000064
5,0.75,0.019850860115320966,0.14089308043804338,0.0856059943301379,0.5819259988401025,499,51.796256199999334
5,1.0,0.020090357191740058,0.1417404571452345,0.08689508195444369,0.5768820108001411,499,51.796651600001496
