row_index,ID,Tool,missing_rate,zero_rate,y_true,global_pred,residual_pred,corrected_pred,global_residual,corrected_residual,global_absolute_error,corrected_absolute_error,absolute_error_change,improved
0,NH0995,O,0.0003714710252600297,0.044947994056463596,2.814025348484583,2.683258295059204,0.027398381382226944,2.6914778094738723,0.13076705342537887,0.1225475390107107,0.13076705342537887,0.1225475390107107,0.008219514414668172,True
1,NH0996,O,0.0,0.03714710252600297,2.78295470454625,2.793426036834717,-0.006376974284648895,2.7915129445493223,-0.010471332288466861,-0.00855824000307237,0.010471332288466861,0.00855824000307237,0.001913092285394491,True
2,NH0997,O,0.0018573551263001485,0.04569093610698365,2.7259733598475004,2.7108349800109863,-0.04455917328596115,2.697467228025198,0.015138379836514115,0.02850613182230255,0.015138379836514115,0.02850613182230255,-0.013367751985788434,False
3,NH0998,O,0.0014858841010401188,0.03714710252600297,2.7947683712120837,2.8111743927001953,0.02550549805164337,2.8188260421156883,-0.016406021488111655,-0.024057670903604667,0.016406021488111655,0.024057670903604667,-0.0076516494154930115,False
4,NH0999,N,0.0018573551263001485,0.036404160475482915,2.787539200757083,2.7900283336639404,-0.02264847606420517,2.7832337908446787,-0.002489132906857261,0.004305409912404468,0.002489132906857261,0.004305409912404468,-0.0018162770055472066,False
5,NH1000,L,0.0007429420505200594,0.05163447251114413,2.5691751628791666,2.651646852493286,-0.017100291326642036,2.6465167650952934,-0.08247168961411955,-0.07734160221612685,0.08247168961411955,0.07734160221612685,0.0051300873979927,True
6,NH1001,N,0.029346210995542348,0.03677563150074294,2.9658237234845823,2.9514784812927246,0.04561348259449005,2.9651625260710714,0.014345242191857732,0.0006611974135108944,0.014345242191857732,0.0006611974135108944,0.013684044778346838,True
7,NH1001,O,0.029346210995542348,0.03714710252600297,2.9658237234845823,3.0396623611450195,0.08262443542480469,3.064449691772461,-0.07383863766043719,-0.09862596828787851,0.07383863766043719,0.09862596828787851,-0.024787330627441317,False
8,NH1002,L,0.029717682020802376,0.04271916790490342,2.7739209507579163,2.758507490158081,-0.010839737020432949,2.7552555690519513,0.015413460599835282,0.01866538170596499,0.015413460599835282,0.01866538170596499,-0.003251921106129707,False
9,NH1002,O,0.029717682020802376,0.041976225854383355,2.7739209507579163,2.7843008041381836,0.018715588375926018,2.7899154806509614,-0.010379853380267257,-0.015994529893045062,0.010379853380267257,0.015994529893045062,-0.005614676512777805,False
10,NH1003,N,0.03194650817236255,0.03863298662704309,3.1972194621212506,3.159853458404541,0.046377915889024734,3.1737668331712485,0.03736600371670962,0.023452628950002108,0.03736600371670962,0.023452628950002108,0.01391337476670751,True
11,NH1003,O,0.03194650817236255,0.03863298662704309,3.1972194621212506,3.1830921173095703,0.03443760797381401,3.1934233997017145,0.01412734481168032,0.003796062419536117,0.01412734481168032,0.003796062419536117,0.010331282392144203,True
12,NH1004,N,0.030089153046062408,0.0412332838038633,3.112323340909583,3.0750129222869873,0.041253380477428436,3.087388936430216,0.037310418622595876,0.024934404479367345,0.037310418622595876,0.024934404479367345,0.012376014143228531,True
13,NH1004,O,0.030089153046062408,0.041604754829123326,3.112323340909583,3.1374611854553223,0.014613999985158443,3.14184538545087,-0.025137844545739085,-0.029522044541286707,0.025137844545739085,0.029522044541286707,-0.004384199995547622,False
14,NH1005,L,0.0274888558692422,0.03863298662704309,2.756221803030417,2.7028207778930664,-0.05826361104846001,2.6853416945785282,0.053401025137350455,0.07088010845188863,0.053401025137350455,0.07088010845188863,-0.01747908331453818,False
