experiment,fold,mse,rmse,mae,r2,base_features,tool_features,operation_features,total_features,time_sec
T01_baseline,1,0.011658478284088478,0.107974433474265,0.07898876894618546,0.7037948622885837,300,0,0,300,-1.9999970390927047e-07
T01_baseline,2,0.009498519236521301,0.09746034699569513,0.07498893122977435,0.7878465203615785,300,0,0,300,-3.0000046535860747e-07
T01_baseline,3,0.01055900892046883,0.10275703830136809,0.08019198371338629,0.7624571879438171,300,0,0,300,-9.999894245993346e-08
T01_baseline,4,0.011273206984625524,0.10617535959263583,0.08140840873992967,0.7310563564652068,300,0,0,300,-1.9999970390927047e-07
T01_baseline,5,0.02097836340827395,0.14483909488903177,0.08834935704300366,0.5581799339206283,300,0,0,300,-3.0000046535860747e-07
T02_tool_top50,1,0.00979279347494054,0.09895854422403626,0.07227662022061268,0.7511960249749685,300,50,0,350,-9.999894245993346e-08
T02_tool_top50,2,0.007587131497045055,0.08710414167561181,0.06763681759968761,0.8305381810057921,300,50,0,350,-1.9999970390927047e-07
T02_tool_top50,3,0.010283637644701818,0.10140827207236014,0.07862435119480446,0.7686521317778346,300,50,0,350,-1.9999970390927047e-07
T02_tool_top50,4,0.011292096024884677,0.10626427445235147,0.082427251262741,0.7306057227354172,300,50,0,350,-1.9999970390927047e-07
T02_tool_top50,5,0.02218732669079469,0.148954109345109,0.09092989340865465,0.5327182605300254,300,50,0,350,-1.9999970390927047e-07
T03_tool_top100,1,0.010512401737947086,0.10253000408635067,0.07666965165307378,0.7329130501777313,300,100,0,400,-1.9999970390927047e-07
T03_tool_top100,2,0.007885202964265939,0.08879866532930514,0.06931364507045704,0.8238806276148701,300,100,0,400,-1.9999970390927047e-07
T03_tool_top100,3,0.009710749023674501,0.09854313280830126,0.0758656735827223,0.7815402328353129,300,100,0,400,-1.9999970390927047e-07
T03_tool_top100,4,0.010914539819862831,0.1044726749914198,0.08131510342924764,0.739613039070177,300,100,0,400,-3.0000046535860747e-07
T03_tool_top100,5,0.02200369704253668,0.14833643194622378,0.08990936926354658,0.5365856386351966,300,100,0,400,-2.00001522898674e-07
T04_tool_top150,1,0.010508558625980371,0.10251126097156532,0.07821856309711873,0.7330106915235058,300,150,0,450,-3.0000046535860747e-07
T04_tool_top150,2,0.007681560340401216,0.08764451118239645,0.06832200652054095,0.8284290725018884,300,150,0,450,-2.00001522898674e-07
T04_tool_top150,3,0.00964004835620098,0.09818374792296829,0.07672416569461774,0.7831307642471534,300,150,0,450,-3.0000046535860747e-07
T04_tool_top150,4,0.010921796598926444,0.10450739973287272,0.08163862478746708,0.739439914900244,300,150,0,450,-1.00000761449337e-07
T04_tool_top150,5,0.022701401705073686,0.1506698433830529,0.09055910935033692,0.5218914551993045,300,150,0,450,-3.0000046535860747e-07
T05_tool_top200,1,0.010356809632916497,0.1017684117637516,0.07722531942557542,0.7368661545001278,300,200,0,500,-1.9999970390927047e-07
T05_tool_top200,2,0.007662511221256838,0.08753577109534615,0.06875092257588683,0.8288545427051794,300,200,0,500,-3.0000046535860747e-07
T05_tool_top200,3,0.009973346905336297,0.09986664560971444,0.07816239444202791,0.7756326481633257,300,200,0,500,-1.9999970390927047e-07
T05_tool_top200,4,0.011240888663285764,0.10602305722476486,0.08372893003601008,0.731827371058117,300,200,0,500,-3.9999940781854093e-07
T05_tool_top200,5,0.02190384901471008,0.14799948991368206,0.09002901282449323,0.5386885129821462,300,200,0,500,-1.9999970390927047e-07
T06_tool_top300,1,0.010573684636842811,0.10282842329260335,0.07843624800094927,0.73135604513261,300,300,0,600,-1.9999970390927047e-07
T06_tool_top300,2,0.007942760844921227,0.08912216808920902,0.06890200395486698,0.8225950477936828,300,300,0,600,-1.00000761449337e-07
T06_tool_top300,3,0.009772514698611815,0.09885603015806277,0.07779846925957702,0.7801507092328928,300,300,0,600,-1.9999970390927047e-07
T06_tool_top300,4,0.011687515773712917,0.10810881450516843,0.08514350001152156,0.7211722378255319,300,300,0,600,-1.00000761449337e-07
T06_tool_top300,5,0.022496841145088466,0.1499894701140332,0.09162833638039375,0.5261996540025655,300,300,0,600,-1.9999970390927047e-07
A01_global_anomaly,1,0.011527848976130867,0.10736782095269917,0.0781354158532942,0.7071137407227908,300,0,0,305,-1.9999970390927047e-07
A01_global_anomaly,2,0.00978003751009186,0.09889407216861817,0.07534951806891912,0.7815586896131651,300,0,0,305,-2.00001522898674e-07
A01_global_anomaly,3,0.010600760814644472,0.10295999618611333,0.07973478932535896,0.7615179082798016,300,0,0,305,-3.0000046535860747e-07
A01_global_anomaly,4,0.010925005541908683,0.10452275131237544,0.08058894746427839,0.7393633595048967,300,0,0,305,-2.00001522898674e-07
A01_global_anomaly,5,0.020923926017045725,0.14465104913911175,0.08730866959810935,0.5593264262051578,300,0,0,305,-1.9999970390927047e-07
A02_tool_anomaly,1,0.011215671279878239,0.10590406639916258,0.077048490567837,0.7150451907161526,300,0,0,305,-3.0000046535860747e-07
A02_tool_anomaly,2,0.009662186239399139,0.09829642027764357,0.07503938526704024,0.7841909480246801,300,0,0,305,-2.999986463692039e-07
A02_tool_anomaly,3,0.010377654822612242,0.10187077511539923,0.07850146072957728,0.7665370559226438,300,0,0,305,-1.9999970390927047e-07
A02_tool_anomaly,4,0.011011340569060061,0.10493493493141386,0.08049056577635436,0.7373036743772811,300,0,0,305,-9.999894245993346e-08
A02_tool_anomaly,5,0.020373680006842122,0.1427364004269483,0.08693817834103143,0.5709150198364504,300,0,0,305,-1.00000761449337e-07
A03_global_tool_anomaly,1,0.010781983346620772,0.1038363296087683,0.07622557342150785,0.7260638323316394,300,0,0,310,-2.00001522898674e-07
A03_global_tool_anomaly,2,0.009706832781350143,0.09852326010313577,0.07492949384377996,0.7831937484620042,300,0,0,310,-1.9999970390927047e-07
A03_global_tool_anomaly,3,0.010591561026226059,0.1029153099700237,0.08031810585400771,0.7617248731216435,300,0,0,310,-2.999986463692039e-07
A03_global_tool_anomaly,4,0.011253686260377437,0.10608339295279652,0.08235837639979002,0.7315220602095698,300,0,0,310,-1.9999970390927047e-07
A03_global_tool_anomaly,5,0.020969615657512576,0.14480889357188176,0.08718160810164721,0.558364168112029,300,0,0,310,-1.9999970390927047e-07
O01_operation_mean,1,0.01184357975178341,0.10882821211332754,0.07927779809075212,0.6990920181958009,300,0,14,314,-9.999894245993346e-08
O01_operation_mean,2,0.009441172114359552,0.09716569412276924,0.07475066913214949,0.7891273928018938,300,0,15,315,-9.999894245993346e-08
O01_operation_mean,3,0.010651949978663502,0.10320828444782668,0.08073066614470095,0.760366321226559,300,0,15,315,-2.00001522898674e-07
O01_operation_mean,4,0.011064594657202706,0.10518837700622016,0.08046348584318914,0.7360331975273715,300,0,15,315,-1.9999970390927047e-07
O01_operation_mean,5,0.021130447067711576,0.14536315581230197,0.0879937127525338,0.5549769379978948,300,0,15,315,-1.9999970390927047e-07
O02_operation_mean_std,1,0.011653229649658519,0.10795012575100836,0.08075023631468896,0.70392821352416,300,0,28,328,-1.9999970390927047e-07
O02_operation_mean_std,2,0.009640375491059028,0.09818541384064655,0.07437700369643865,0.7846781003942916,300,0,30,330,-1.9999970390927047e-07
O02_operation_mean_std,3,0.010707744331015994,0.10347823119388926,0.08066450922467501,0.7591111326520923,300,0,30,330,-1.9999970390927047e-07
O02_operation_mean_std,4,0.011088078037738733,0.10529994319912396,0.08041233937576953,0.7354729571332683,300,0,30,330,-1.9999970390927047e-07
O02_operation_mean_std,5,0.02041318788298537,0.14287472793669764,0.0871599975837812,0.5700829543359844,300,0,30,330,-1.9999970390927047e-07
O03_operation_mean_std_range,1,0.011905719483312063,0.10911333320594721,0.0817641769331717,0.6975132437377385,300,0,42,342,-3.0000046535860747e-07
O03_operation_mean_std_range,2,0.009429378619012649,0.09710498761141288,0.07501906626248263,0.7893908055520965,300,0,45,345,-1.9999970390927047e-07
O03_operation_mean_std_range,3,0.010765170947498362,0.10375534177813864,0.08058060828392352,0.7578192235279652,300,0,45,345,-4.000012268079445e-07
O03_operation_mean_std_range,4,0.01092771261668177,0.10453570020180555,0.07959259219338087,0.7392987771235222,300,0,45,345,-1.00000761449337e-07
O03_operation_mean_std_range,5,0.02014752568339801,0.1419419799897057,0.08813975144661548,0.5756779994923756,300,0,45,345,-1.9999970390927047e-07
O04_operation_all,1,0.012053601379483806,0.10978889460908059,0.08185163681255626,0.6937560314881467,300,0,84,384,-3.0000046535860747e-07
O04_operation_all,2,0.009623180751819074,0.09809781216632242,0.07621899247161755,0.7850621522312564,300,0,90,390,-1.9999970390927047e-07
O04_operation_all,3,0.010341217085237674,0.10169177491438368,0.07931554813768546,0.7673567846174592,300,0,90,390,-1.9999970390927047e-07
O04_operation_all,4,0.011502331436640967,0.10724892277613313,0.08262931574379387,0.7255901599310719,300,0,90,390,-3.0000046535860747e-07
