experiment,tool_top_k,operation_mode,use_global_anomaly,use_tool_anomaly,mse,rmse,mae,r2,mse_mean_fold,mse_std_fold,total_features_mean
C04_tool100_operation_all,100,all,False,False,0.011979327015571433,0.10945011199433025,0.07876897251279823,0.7277939847019383,0.011979327015571434,0.005058008325877945,488.8
C05_tool100_anomaly_operation,100,mean_std_range,False,True,0.012040482867851149,0.10972913408867833,0.07871329931027543,0.7264043414574073,0.012040482867851149,0.005136627101816114,449.4
C08_tool300_anomaly_operation,300,mean_std_range,False,True,0.01204126031790297,0.10973267661869444,0.07886990514874029,0.7263866754749673,0.01204126031790297,0.005411236578776009,649.4
C01_tool100_operation_mean,100,mean,False,False,0.01205918269856277,0.10981431008098522,0.07860250564331005,0.7259794255670453,0.012059182698562768,0.005468074241040042,414.8
C06_tool150_anomaly_operation,150,mean_std_range,False,True,0.012093378059126081,0.10996989614947393,0.07931790930260768,0.7252024050525773,0.012093378059126081,0.005078157139814574,499.4
C02_tool100_operation_mean_std,100,mean_std,False,False,0.012119894839488183,0.11009039394737483,0.07911253361579128,0.724599864767007,0.012119894839488186,0.005311259250969565,429.6
C03_tool100_operation_mean_std_range,100,mean_std_range,False,False,0.01212840967822204,0.11012905919066975,0.07916796557227124,0.7244063822517007,0.012128409678222039,0.005259904421185723,444.4
T03_tool_top100,100,none,False,False,0.01220531811765741,0.11047768153639634,0.07861468859980947,0.7226587932749342,0.012205318117657408,0.005599700303174371,400.0
T05_tool_top200,200,none,False,False,0.012227481087501095,0.11057794123377906,0.07957931586079871,0.7221551845412817,0.012227481087501097,0.005568324329548282,500.0
T02_tool_top50,50,none,False,False,0.012228597066473357,0.11058298723797146,0.0783789867373001,0.7221298261727522,0.012228597066473357,0.005729584165807376,350.0
C07_tool200_anomaly_operation,200,mean_std_range,False,True,0.012244850457974325,0.11065645240099795,0.07960283770084059,0.7217605006730972,0.012244850457974327,0.005520169105515388,549.4
T04_tool_top150,150,none,False,False,0.01229067312531654,0.11086330829141146,0.07909249389001628,0.7207192730923375,0.01229067312531654,0.005951948355902819,450.0
T06_tool_top300,300,none,False,False,0.012494663419835447,0.1117795304151679,0.08038171152146172,0.7160840055887212,0.012494663419835447,0.005755760522443295,600.0
A02_tool_anomaly,0,none,False,True,0.01252810658355836,0.11192902475925698,0.07960361613636806,0.7153240772284601,0.012528106583558362,0.0044275848412097495,305.0
O03_operation_mean_std_range,0,mean_std_range,False,False,0.01263510146998057,0.1124059672347539,0.08101923902391484,0.7128928345006842,0.01263510146998057,0.004291182572942878,344.4
A03_global_tool_anomaly,0,none,True,True,0.012660735814417396,0.11251993518669212,0.08020263152414653,0.712310345789519,0.012660735814417396,0.0046785150144736075,310.0
O02_operation_mean_std,0,mean_std,False,False,0.012700523078491531,0.11269659745747221,0.08067281723907067,0.7114062605600939,0.012700523078491528,0.004373718992895584,329.6
A01_global_anomaly,0,none,True,False,0.012751515771964322,0.11292260965796141,0.08022346806199199,0.7102475545759012,0.01275151577196432,0.004611865653096672,305.0
O04_operation_all,0,all,False,False,0.012767288318256454,0.11299242593314143,0.08129123198224972,0.7098891553125949,0.012767288318256454,0.004326240340116461,388.8
T01_baseline,0,none,False,False,0.012793515366795618,0.11310842305856632,0.08078548993445589,0.7092931985976145,0.012793515366795617,0.004648693439432939,300.0
O01_operation_mean,0,mean,False,False,0.012826348713944146,0.11325347109004716,0.08064326639266511,0.7085471270875388,0.012826348713944146,0.00472268705634937,314.8
