row_index,ID,Tool,missing_rate,zero_rate,y_true,y_pred,residual,absolute_residual,squared_error,AN_tool_max_z,AN_tool_top5_mean_z,AN_tool_top10_mean_z,AN_tool_count_z3,AN_tool_count_z5
0,NH0995,O,0.0003714710252600297,0.044947994056463596,2.814025348484583,2.679853677749634,0.13417167073494918,0.13417167073494918,0.01800203722780762,6.524413072081176,5.728026182450229,4.8508691699679645,20,4
1,NH0996,O,0.0,0.03714710252600297,2.78295470454625,2.7997324466705322,-0.01677774212428229,0.01677774212428229,0.00028149263078891643,5.170551774709372,3.834378196687704,3.1832173588323553,4,1
2,NH0997,O,0.0018573551263001485,0.04569093610698365,2.7259733598475004,2.709717273712158,0.01625608613534224,0.01625608613534224,0.0002642603364396662,9.050903451723135,5.890079120942132,4.5678048731298535,10,2
3,NH0998,O,0.0014858841010401188,0.03714710252600297,2.7947683712120837,2.7995388507843018,-0.0047704795722181,0.0047704795722181,2.275747534895019e-05,9.165785722292373,6.286729910972969,4.951065887941717,12,3
4,NH0999,N,0.0018573551263001485,0.036404160475482915,2.787539200757083,2.7805919647216797,0.006947236035403481,0.006947236035403481,4.826408853160868e-05,6.72146858170575,6.473296439934941,5.689587307970208,30,6
5,NH1000,L,0.0007429420505200594,0.05163447251114413,2.5691751628791666,2.656156301498413,-0.0869811386192465,0.0869811386192465,0.0075657184755005755,3.9376878013516876,3.567492628492751,3.33585610468607,9,0
6,NH1001,N,0.029346210995542348,0.03677563150074294,2.9658237234845823,2.9369213581085205,0.028902365376061834,0.028902365376061834,0.0008353467243313779,12.561160195397482,7.413638382583448,5.672383521689231,43,4
7,NH1001,O,0.029346210995542348,0.03714710252600297,2.9658237234845823,3.0433766841888428,-0.07755296070426043,0.07755296070426043,0.006014461713996563,7.47357643497039,4.684374512277288,4.11933524169152,11,1
8,NH1002,L,0.029717682020802376,0.04271916790490342,2.7739209507579163,2.757553815841675,0.016367134916241532,0.016367134916241532,0.0002678831053664527,7.141059598265991,5.777802667026455,4.568479982816415,27,3
9,NH1002,O,0.029717682020802376,0.041976225854383355,2.7739209507579163,2.7701542377471924,0.0037667130107239544,0.0037667130107239544,1.4188126905157117e-05,4.195439947188053,3.5508145328176326,3.146295741593442,3,0
10,NH1003,N,0.03194650817236255,0.03863298662704309,3.1972194621212506,3.1575140953063965,0.03970536681485415,0.03970536681485415,0.0015765161539021211,6.592289835178344,4.425013578481709,3.9194513437085687,35,1
11,NH1003,O,0.03194650817236255,0.03863298662704309,3.1972194621212506,3.1830480098724365,0.01417145224881411,0.01417145224881411,0.00020083005884041847,6.0120404353705945,4.936641391698401,3.933179378851649,6,3
12,NH1004,N,0.030089153046062408,0.0412332838038633,3.112323340909583,3.086662769317627,0.025660571591956227,0.025660571591956227,0.000658464934425911,4.809467717318185,3.8216696757562567,3.6184073865202,35,0
13,NH1004,O,0.030089153046062408,0.041604754829123326,3.112323340909583,3.1353888511657715,-0.023065510256188304,0.023065510256188304,0.0005320177633783279,9.145704623551133,4.597051338456696,3.7509031769336985,3,1
14,NH1005,L,0.0274888558692422,0.03863298662704309,2.756221803030417,2.715811014175415,0.04041078885500182,0.04041078885500182,0.0016330318558835395,6.369478925077055,5.923700537864442,5.184410680940102,16,6
15,NH1006,M,0.02674591381872214,0.04049034175334324,3.122650814393333,3.153205394744873,-0.030554580351540128,0.030554580351540128,0.0009335823804587221,3.9857943050636235,3.6614552966018117,3.5007101904138422,18,0
16,NH1007,L,0.02711738484398217,0.03714710252600297,2.9521636515150003,2.97786545753479,-0.025701806019789775,0.025701806019789775,0.0006605828326789019,9.435995070141217,7.507073250769014,5.69090622613508,21,5
17,NH1008,M,0.02711738484398217,0.041976225854383355,3.0680799873733338,2.9480457305908203,0.12003425678251345,0.12003425678251345,0.014408222801330375,7.906188240865447,5.195189736555297,4.289349259965151,25,2
18,NH1009,L,0.02786032689450223,0.03603268945022288,2.652616911615555,2.7387940883636475,-0.08617717674809233,0.08617717674809233,0.007426505792271946,5.323437146322502,3.9769017599375274,3.461180980792526,4,1
19,NH1010,M,0.02711738484398217,0.041604754829123326,2.954648253787917,2.959472179412842,-0.00482392562492473,0.00482392562492473,2.3270258434805446e-05,4.944680523565952,4.3008696868353855,3.947115780034833,23,0
20,NH1011,L,0.02711738484398217,0.03417533432392273,2.739788863636666,2.757795572280884,-0.018006708644217717,0.018006708644217717,0.00032424155619774505,5.8656302285029955,4.4353193329030685,3.6964423720801767,5,1
21,NH1012,M,0.02823179791976226,0.043462109955423475,2.908289215909583,2.8978209495544434,0.010468266355139644,0.010468266355139644,0.00010958460048214864,7.53861129002678,4.778736720269096,4.14196835234698,18,1
22,NH1013,M,0.0274888558692422,0.0412332838038633,2.911308340909167,2.9160869121551514,-0.004778571245984242,0.004778571245984242,2.2834743152947392e-05,10.822080392100093,5.33779379151901,4.4776014439166545,22,1
23,NH1014,O,0.0007429420505200594,0.04606240713224369,2.777979219696667,2.7578797340393066,0.020099485657360194,0.020099485657360194,0.00040398932369042814,9.165785722292094,5.5311206659644885,4.668929342918078,15,2
24,NH1015,O,0.0007429420505200594,0.04086181277860327,2.5617208522729173,2.7041409015655518,-0.1424200492926344,0.1424200492926344,0.020283470440516416,6.185429213063658,4.909096730330322,4.223912148585536,12,2
25,NH1016,O,0.0007429420505200594,0.04457652303120357,2.7517345643929176,2.6675822734832764,0.08415229090964127,0.08415229090964127,0.007081608065340893,5.170551774709372,3.404949793986757,3.001799132781869,2,1
26,NH1017,O,0.0003714710252600297,0.04234769687964339,3.0183430984837494,2.9781901836395264,0.04015291484422301,0.04015291484422301,0.0016122565704874245,9.165785722292265,4.823037702371884,3.7419471281211187,2,2
27,NH1018,O,0.001114413075780089,0.045319465081723624,2.6919653901504166,2.7141706943511963,-0.022205304200779707,0.022205304200779707,0.0004930755346491649,5.066414689974038,3.545310214142824,3.1152334287374797,6,1
28,NH1019,O,0.001114413075780089,0.045319465081723624,2.7220047992416667,2.714466094970703,0.007538704270963592,0.007538704270963592,5.683206208504471e-05,5.778931563664239,4.4676820109082485,3.7395012221307224,8,2
29,NH1020,O,0.0003714710252600297,0.043462109955423475,2.7690984053041667,2.7660889625549316,0.0030094427492350917,0.0030094427492350917,9.056745660923667e-06,6.442951800764675,5.240447028370224,4.14640536006706,9,4
30,NH1021,M,0.002228826151560178,0.05163447251114413,2.6494786287883336,2.6928372383117676,-0.043358609523433955,0.043358609523433955,0.0018799690198056176,3.7745826838472523,3.5249201393742333,3.3688705181318057,11,0
31,NH1022,L,0.0007429420505200594,0.03528974739970282,2.9623063106049994,2.917940378189087,0.04436593241591247,0.04436593241591247,0.0019683359591333126,5.062629248858455,3.820435726447891,3.4270003927725092,7,1
32,NH1023,M,0.0,0.04234769687964339,2.732028564394167,2.7548329830169678,-0.022804418622800693,0.022804418622800693,0.000520041508723939,10.536073725896651,5.473278844548415,4.463929232979764,18,2
33,NH1024,L,0.0003714710252600297,0.03714710252600297,2.9472456704550005,2.9100122451782227,0.037233425276777865,0.037233425276777865,0.001386327957841401,9.327681904820379,5.73129731553821,4.573153628433518,9,1
34,NH1024,O,0.0003714710252600297,0.036404160475482915,2.9472456704550005,2.9103195667266846,0.03692610372831595,0.03692610372831595,0.0013635371365543492,5.734491206197632,4.3708616884665705,3.7099587614597396,8,2
35,NH1025,L,0.002228826151560178,0.04309063893016345,2.8777555227262495,2.811438798904419,0.06631672382183051,0.06631672382183051,0.0043979078584609425,12.195637642080476,6.189075119899761,4.755607194696434,10,1
36,NH1025,O,0.002228826151560178,0.041604754829123326,2.8777555227262495,2.878150463104248,-0.00039494037799858717,0.00039494037799858717,1.559779021736669e-07,6.386461007493456,4.125889795327946,3.629378485121088,12,1
37,NH1026,N,0.0003714710252600297,0.041976225854383355,2.97545093181875,3.0007526874542236,-0.025301755635473544,0.025301755635473544,0.0006401788382372172,3.664164053727611,3.1823371051768152,3.009982708529644,3,0
38,NH1026,O,0.0003714710252600297,0.041976225854383355,2.97545093181875,3.010413646697998,-0.03496271487924796,0.03496271487924796,0.0012223914317275866,8.89987033328783,4.43173792613449,3.6645558846044657,4,1
39,NH1027,N,0.0018573551263001485,0.046433878157503716,2.7831303106066674,2.6912431716918945,0.09188713891477285,0.09188713891477285,0.008443246297942762,3.9903149958204303,3.2640538596400233,2.9337094671650457,4,0
40,NH1027,O,0.0018573551263001485,0.046433878157503716,2.7831303106066674,2.850604295730591,-0.06747398512392344,0.06747398512392344,0.004552738668503442,3.0576896089718546,2.819789916641477,2.6814422295110143,2,0
41,NH1028,L,0.0007429420505200594,0.038261515601783064,2.8341194166654167,2.7472634315490723,0.0868559851163444,0.0868559851163444,0.0075439621505306404,12.707515985415226,4.796874730139124,3.691449248872312,2,1
42,NH1028,O,0.0007429420505200594,0.03714710252600297,2.8341194166654167,2.788586378097534,0.04553303856788249,0.04553303856788249,0.002073257601224274,4.388998263764225,3.5816063315022246,3.243180673456463,4,0
43,NH1029,N,0.0014858841010401188,0.036404160475482915,3.133830560605,3.104581356048584,0.029249204556415886,0.029249204556415886,0.0008555159671830598,6.545007350043333,5.489840331914094,4.095079834615374,4,3
44,NH1029,O,0.0014858841010401188,0.03677563150074294,3.133830560605,3.124765634536743,0.009064926068256707,0.009064926068256707,8.217288462296e-05,3.630192084951347,3.429662925203536,2.969178019862221,4,0
