Tool,feature,shift_z,operation,n,abs_shift_z
M,210X182,2.1525555432816934,210,128,2.1525555432816934
M,210X180,2.139548023561184,210,128,2.139548023561184
O,210X189,2.1394325980832,210,86,2.1394325980832
M,210X183,2.061383031388554,210,128,2.061383031388554
M,210X181,2.0333694082977924,210,128,2.0333694082977924
M,210X142,1.9941175656558952,210,128,1.9941175656558952
J,210X217,-1.9742929869951695,210,142,1.9742929869951695
J,ERROR:#N/A_4,-1.9630479027377334,UNKNOWN,142,1.9630479027377334
J,210X193,1.9229220465283758,210,142,1.9229220465283758
M,210X209,-1.9186217184863346,210,128,1.9186217184863346
M,210X1,-1.8886984300333944,210,128,1.8886984300333944
L,210X18,-1.8681579282660215,210,178,1.8681579282660215
J,210X159,-1.8363123888026969,210,142,1.8363123888026969
J,210X177,-1.8317342929746525,210,142,1.8317342929746525
M,210X5,-1.758793663739844,210,128,1.758793663739844
J,210X187,-1.709716314130876,210,142,1.709716314130876
L,210X178,1.6848856384204431,210,178,1.6848856384204431
L,210X160,1.6825229224198182,210,178,1.6825229224198182
J,210X135,-1.6749937220175128,210,142,1.6749937220175128
J,210X121,-1.6749802779582137,210,142,1.6749802779582137
J,210X169,-1.6749639644930312,210,142,1.6749639644930312
M,210X148,1.6727670205189624,210,128,1.6727670205189624
M,210X150,1.6705462489080298,210,128,1.6705462489080298
J,210X163,-1.6701406939530477,210,142,1.6701406939530477
M,210X39,-1.66677526095023,210,128,1.66677526095023
J,210X133,-1.6662478090076287,210,142,1.6662478090076287
J,210X157,-1.6623714705111032,210,142,1.6623714705111032
J,210X84,-1.6618815603334938,210,142,1.6618815603334938
J,210X151,-1.6611071022881938,210,142,1.6611071022881938
J,210X119,-1.6560444168360655,210,142,1.6560444168360655
J,210X145,-1.6517510699305258,210,142,1.6517510699305258
J,210X82,-1.6439876396664288,210,142,1.6439876396664288
J,210X149,-1.6431777256880797,210,142,1.6431777256880797
J,210X167,-1.638951957438475,210,142,1.638951957438475
M,210X132,1.63265081910114,210,128,1.63265081910114
M,210X134,1.6316516550849094,210,128,1.6316516550849094
M,210X120,1.6315996908138055,210,128,1.6315996908138055
M,210X168,1.631551020518921,210,128,1.631551020518921
