experiment,fold,mse,rmse,mae,r2,tool_o_mse,tool_o_mae,base_features,tool_z_features,operation_features,total_features,time_sec
E0_baseline,1,0.010766011001058774,0.10375938994162781,0.07972578560301008,0.7264696392218253,0.007593055407931905,0.059274710718250745,300,100,84,484,7.375050399998145
E0_baseline,2,0.007589711116605752,0.08711894809170823,0.06767103603867741,0.8304805641023235,0.010111312127980335,0.06983549111180297,300,100,90,490,7.510829000002559
E0_baseline,3,0.009868726983703741,0.09934146658724011,0.07815163261508981,0.7779862507191033,0.01417109308427201,0.09713724613564656,300,100,90,490,8.362695700001495
E0_baseline,4,0.010968392844612936,0.10473009521915339,0.08132193859857909,0.7383282734563268,0.009555433212549059,0.07691761520785348,300,100,90,490,9.209224999998696
E0_baseline,5,0.020703793131875963,0.14388812714006657,0.0869744697086348,0.563962589855254,0.09897664345012734,0.12966489211933446,300,100,90,490,8.110721500001091
E1_tool_onehot,1,0.010566821749986082,0.10279504730280581,0.07835441962486446,0.7315304094275858,0.00824965648154274,0.06064059268511106,300,100,84,489,7.48887090000062
E1_tool_onehot,2,0.007589991855391456,0.08712055931518953,0.06774742985741482,0.8304742936817692,0.010422197802259956,0.07443747192850655,300,100,90,495,7.657068600001367
E1_tool_onehot,3,0.0101031475242541,0.10051441450983088,0.0787920246269385,0.7727125631196813,0.01517909837877013,0.10160947005328978,300,100,90,495,7.619413799999165
E1_tool_onehot,4,0.011222916887586323,0.10593826923065301,0.08248702399792401,0.7322561217094613,0.009417368120414256,0.07594410744589822,300,100,90,495,7.408631800000876
E1_tool_onehot,5,0.021129468965309407,0.1453597914325327,0.08770455230151598,0.5549975375680112,0.10176297556727049,0.1314474269179096,300,100,90,495,7.4591018999999505
E2_tool_target_mean,1,0.010644531707046309,0.1031723398350852,0.07895286588956024,0.7295560446801738,0.008284396697748718,0.06108689420735421,300,100,84,492,7.457611999998335
E2_tool_target_mean,2,0.007662184589726536,0.08753390537229866,0.06830975899961085,0.8288618381597642,0.01009991954594398,0.07300770729038861,300,100,90,498,7.555511700000352
E2_tool_target_mean,3,0.00986603920463017,0.0993279376843704,0.07774917743804302,0.7780467168674067,0.014626739404002014,0.09666285674152221,300,100,90,498,7.61508909999975
E2_tool_target_mean,4,0.011088092131515941,0.10530001012115783,0.08147979874225413,0.7354726208995951,0.008354697185653723,0.07166261640471475,300,100,90,498,7.937173499998607
E2_tool_target_mean,5,0.020865018753830167,0.1444472871113548,0.08665149393447313,0.5605670573459163,0.10186975680856736,0.13047216340355006,300,100,90,498,7.633854399999109
E3_tool_target_mean_std,1,0.010854625459279602,0.10418553382922027,0.07932455287523091,0.7242182255157719,0.008612075597217602,0.06172938853253258,300,100,84,493,7.649865299998055
E3_tool_target_mean_std,2,0.00765518246331858,0.08749389957773387,0.06825789482337286,0.8290182336405044,0.00991527677725131,0.07095108057781392,300,100,90,499,7.580185300001176
E3_tool_target_mean_std,3,0.00963598694537122,0.0981630630398788,0.07584845822159979,0.783222132571272,0.013489019089557285,0.0925247767979374,300,100,90,499,7.616198600000644
E3_tool_target_mean_std,4,0.010912588834495997,0.10446333727435668,0.08117147384056266,0.7396595835107922,0.009056014260895306,0.07577863005084054,300,100,90,499,7.6669449000000895
E3_tool_target_mean_std,5,0.020744945574810127,0.14403105767441315,0.08594771670651938,0.5630958885448301,0.10222250301072548,0.12856230436334584,300,100,90,499,7.71660139999949
E4_tool_target_anomaly,1,0.010492396284069496,0.10243239860546807,0.0779975377603969,0.7334213256212665,0.008028813100921812,0.05899360849394314,300,100,84,498,7.598001900001691
E4_tool_target_anomaly,2,0.007660256795936326,0.08752289298198687,0.06881718414546364,0.8289048962565511,0.010068072425697482,0.07407504763902759,300,100,90,504,7.499083000002429
E4_tool_target_anomaly,3,0.009995544990531199,0.09997772247121454,0.07808717335587129,0.7751332645924643,0.016795873951501457,0.10481781861364198,300,100,90,504,7.801790399997117
E4_tool_target_anomaly,4,0.010994781397465557,0.10485600315416164,0.08084775560087112,0.7376987246898157,0.009563952563239459,0.07695173886698739,300,100,90,504,7.768887599999289
E4_tool_target_anomaly,5,0.020865367506699876,0.14444849430402476,0.08713323886193673,0.5605597123489334,0.10064159123091956,0.1295244268066102,300,100,90,504,7.661209999998391
E5_tool_global_anomaly,1,0.010187547984420026,0.10093338389462639,0.0772365262963755,0.7411665587793539,0.008435766451857807,0.0609506503705998,300,100,84,503,7.621441199997207
E5_tool_global_anomaly,2,0.007916496344620142,0.08897469496783983,0.07019693274821838,0.8231816766135113,0.009888596916054667,0.07071801587292148,300,100,90,509,7.509735799998452
E5_tool_global_anomaly,3,0.009987816200441802,0.09993906243527503,0.07743055724796424,0.7753071368323171,0.01510214524213193,0.10088063273970986,300,100,90,509,7.873382700003276
E5_tool_global_anomaly,4,0.011068528540978045,0.10520707457665594,0.08147102727355204,0.73593934730026,0.009975307495107723,0.08012814489287393,300,100,90,509,7.532211699999607
E5_tool_global_anomaly,5,0.020683558530116792,0.14381779629140753,0.08754561735664765,0.56438874574322,0.09864479318697811,0.1305115237247836,300,100,90,509,7.477636100000382
