experiment,fold,mse,rmse,mae,r2,n_features,elapsed_sec
A0_raw,1,0.0502359509314778,0.22413377909515958,0.18393584557978676,2.731577150283382e-05,320,0.7125789999990957
A0_raw,2,0.025839693702547534,0.16074729765239457,0.12720352885641173,0.32807276311261546,320,0.670379100003629
A0_raw,3,0.015230587778686583,0.12341226753725329,0.10063764758290876,0.2333832270569628,320,0.6197065000014845
A1_raw_missing,1,0.04596927636565462,0.21440446908974314,0.17569542697520193,0.0849576881284485,460,0.7578473999965354
A1_raw_missing,2,0.02497899677659125,0.158047451028453,0.1255853210549315,0.35045405423443143,495,0.8242906000014045
A1_raw_missing,3,0.014828528652524448,0.1217724461958634,0.10015434004775411,0.2536204808195549,494,0.8645611999963876
A2_process,1,0.049673954388024626,0.22287654517248923,0.18288242151738437,0.01121414873999893,625,1.0617397999958484
A2_process,2,0.024438019629159265,0.15632664401553328,0.12404804263431464,0.3645214531779939,660,1.1553020999999717
A2_process,3,0.014004452821189273,0.11834041076990258,0.09329525139546309,0.2950995336084816,659,1.1886079000032623
A3_process_time,1,0.045193910552565206,0.21258859459661802,0.17567865649876727,0.1003917471837178,700,1.1916765000059968
A3_process_time,2,0.02329251207632178,0.15261884574429785,0.1244511344981067,0.3943088699203152,735,1.3609193999946
A3_process_time,3,0.013677595861314756,0.11695125421009711,0.09060195199313648,0.3115515597176527,734,1.4726005000047735
A4_full,1,0.04719526427335873,0.21724471057625025,0.17800773107600104,0.06055376233095,745,1.263603699997475
A4_full,2,0.024380799347450598,0.15614352163138437,0.12480286648804424,0.3660093913178578,781,1.4404916999992565
A4_full,3,0.013452614383453854,0.11598540590718237,0.09057770028584151,0.3228757828557143,782,1.4783459000027506
A5_process_only,1,0.04056767462412495,0.20141418674990338,0.16235191695544945,0.19247937513659086,285,0.6054603000011411
A5_process_only,2,0.036858963487716764,0.19198688363457742,0.1505586657190776,0.04153115064236268,286,0.6686043000008794
A5_process_only,3,0.019473563727415072,0.13954771129407703,0.10812789166112188,0.019817173221471474,288,0.6616512999971746
