reference,candidate,n_records,n_groups,mse_difference_ref_minus_candidate,ci_low,ci_high,group_equal_difference,group_equal_ci_low,group_equal_ci_high,group_sign_flip_p,interpretation,block5_low,block5_high,block10_low,block10_high,block20_low,block20_high,comparison_origin,reference_label,candidate_label,holm_p,holm_family_size,resamples
basic,process_only,300,296,0.0002418796400469,-0.0011486140380593,0.0015535847132027,0.0001574997047849,-0.0011356649187389,0.0014213228322459,0.733253349330134,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.0013257453203363,0.0018076123729442,-0.0015569330447536,0.0020726964948053,-0.0018150988667401,0.0022615693408372,feature_ablation,基础,基础加工序,1.0,11,5000
basic,time_only,300,296,0.0023703222349956,0.0010099670702355,0.0037715570630957,0.0022271020201215,0.0009042271430058,0.0035843748953604,0.0005998800239952,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,0.0007294526578395,0.0041097077165741,0.0007227155520616,0.004090784595806,0.0007095584860288,0.0042314971003576,feature_ablation,基础,基础加时间,0.005998800239952,11,5000
basic,full,300,296,0.0008531536076533,-0.0006277845528595,0.0023484264915669,0.0007943664054152,-0.0006613080518451,0.0022597103897985,0.2683463307338532,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.0008615377274461,0.0025996764425678,-0.0009348903527114,0.0027632728016218,-0.0010963542127763,0.0029781989269104,feature_ablation,基础,组合,1.0,11,5000
full,no_mask,300,296,0.0005067979814672,2.6375972070894357e-05,0.0010325261281261,0.0005386169520912,6.742795199934974e-05,0.0010609455992452,0.0483903219356128,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,2.633995954484641e-05,0.000982258571959,3.14897026724296e-05,0.0009387742045524,3.5319303837898904e-05,0.000974941128825,feature_ablation,组合,组合去缺失,0.3387322535492896,11,5000
full,median_only,300,296,-1.7647365989826904e-05,-0.0007062163176668,0.0006931248559112,-8.321695045468247e-05,-0.0007744405819346,0.0006215878640698,0.958008398320336,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.0008783775665276,0.0008100246146462,-0.0009917061765992,0.0008679488634718,-0.0010146395351291,0.0009087795743875,feature_ablation,组合,中位数填充,1.0,11,5000
full,group_min5,300,296,-3.0742689282345447e-09,-9.284704816815738e-09,0.0,-3.115813102940417e-09,-9.347439308821251e-09,0.0,1.0,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-9.347439308821251e-09,0.0,-9.284704816815738e-09,0.0,-9.315966449195589e-09,0.0,feature_ablation,组合,设备至少5个,1.0,11,5000
full,group_min5_shrink10,300,296,0.0003706529262082,-0.0001920869424938,0.000951155061702,0.0003527693621382,-0.0002100687156888,0.0009378830163815,0.1957608478304339,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.0002355861583977,0.0009711431191012,-0.0002477796639994,0.0009709695468284,-0.0001820925862017,0.0009627579484484,feature_ablation,组合,至少5个并收缩,1.0,11,5000
fixed_full_d2,fixed_time_d2,300,296,0.0015171712775829,0.0004205159122851,0.0026834096958109,0.0014327383929484,0.0003466146720333,0.0025489584755528,0.012997400519896,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,0.0002365735812637,0.0028614720681756,7.498934134246644e-05,0.0030562898929708,0.0001781319082753,0.0030128436055358,branch_search,组合,基础加时间,0.103979204159168,11,5000
fixed_full_d2,nested_selected,300,296,0.0004369275551904,-0.0006362504476551,0.0015740536337286,0.0004357936644082,-0.0006073201527469,0.0015154922071755,0.4613077384523095,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.0008338350810489,0.001709777940187,-0.0009564269911472,0.0018131054327848,-0.0008688764720376,0.0018516561455104,branch_search,组合,八候选选择,1.0,11,5000
fixed_time_d2,nested_selected,300,296,-0.0010802437223925,-0.0018582658895299,-0.0003582712614142,-0.0009969447285402,-0.0017142827534436,-0.000314546046489,0.0035992801439712,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,-0.0020417974651527,-0.0002035439410811,-0.0020870700229588,-0.000205335345662,-0.0021225001100627,-0.0002015923263136,branch_search,基础加时间,八候选选择,0.0323935212957408,11,5000
restricted_selected,nested_selected,300,296,0.0021056990113065,0.0009116539135597,0.0033155663806009,0.0021073740214549,0.0008948045124125,0.0033278084075024,0.0003999200159968,exploratory conditional-on-predictions; sign symmetry and between-cluster independence assumptions; no adaptive-selection correction,0.0006700503039433,0.0035390880254859,0.00063891728665,0.003551965750415,0.0007280155603667,0.0035219579264358,candidate_scope,四候选选择,八候选选择,0.0043991201759647994,11,5000
