stage,inner_fold,candidate,n_train,n_valid,mse
outer_1,1,raw_d2,197,60,0.021297892754317406
outer_1,1,raw_d3,197,60,0.021542882429156605
outer_1,1,process_d2,197,60,0.022102452660683995
outer_1,1,process_d3,197,60,0.022684987260666468
outer_1,1,time_d2,197,60,0.019136044326665227
outer_1,1,time_d3,197,60,0.019366936958098418
outer_1,1,full_d2,197,60,0.019316226508145313
outer_1,1,full_d3,197,60,0.02022636788123111
outer_1,2,raw_d2,257,60,0.02068962670221232
outer_1,2,raw_d3,257,60,0.020674248359473412
outer_1,2,process_d2,257,60,0.023382762486844882
outer_1,2,process_d3,257,60,0.023514525785680574
outer_1,2,time_d2,257,60,0.01700245224697017
outer_1,2,time_d3,257,60,0.01706132174438824
outer_1,2,full_d2,257,60,0.02008372840022745
outer_1,2,full_d3,257,60,0.01944822214984452
outer_2,1,raw_d2,300,60,0.020639580309865513
outer_2,1,raw_d3,300,60,0.02033358531441383
outer_2,1,process_d2,300,60,0.02178877301671475
outer_2,1,process_d3,300,60,0.02117212779858923
outer_2,1,time_d2,300,60,0.01938211667791098
outer_2,1,time_d3,300,60,0.019795476312334095
outer_2,1,full_d2,300,60,0.020424927720887956
outer_2,1,full_d3,300,60,0.0207389505939101
outer_2,2,raw_d2,357,60,0.0176265014725858
outer_2,2,raw_d3,357,60,0.01732815137951749
outer_2,2,process_d2,357,60,0.018822527611369745
outer_2,2,process_d3,357,60,0.0180679181032042
outer_2,2,time_d2,357,60,0.018837756630178178
outer_2,2,time_d3,357,60,0.017479367362209352
outer_2,2,full_d2,357,60,0.018934788936661666
outer_2,2,full_d3,357,60,0.01924027137746452
outer_3,1,raw_d2,400,60,0.04261195023383979
outer_3,1,raw_d3,400,60,0.04354207437099682
outer_3,1,process_d2,400,60,0.04353902061448159
outer_3,1,process_d3,400,60,0.0440914575663639
outer_3,1,time_d2,400,60,0.044133374246363405
outer_3,1,time_d3,400,60,0.04113639614411621
outer_3,1,full_d2,400,60,0.041707429510592954
outer_3,1,full_d3,400,60,0.04252433291559765
outer_3,2,raw_d2,460,60,0.023278416707519286
outer_3,2,raw_d3,460,60,0.023678067652039794
outer_3,2,process_d2,460,60,0.024676630634868156
outer_3,2,process_d3,460,60,0.025304262674583113
outer_3,2,time_d2,460,60,0.02268799645976186
outer_3,2,time_d3,460,60,0.022017684324771154
outer_3,2,full_d2,460,60,0.024503173478672518
outer_3,2,full_d3,460,60,0.024168909386267003
final_development,1,raw_d2,499,60,0.02533606645586096
final_development,1,raw_d3,499,60,0.025583092235386583
final_development,1,process_d2,499,60,0.02404941372082745
final_development,1,process_d3,499,60,0.02530340749741562
final_development,1,time_d2,499,60,0.027088805338028047
final_development,1,time_d3,499,60,0.027375907055419327
final_development,1,full_d2,499,60,0.025510084040771003
final_development,1,full_d3,499,60,0.024943160189936895
final_development,2,raw_d2,560,60,0.015114158617212537
final_development,2,raw_d3,560,60,0.014045589292896014
final_development,2,process_d2,560,60,0.014515954600730793
final_development,2,process_d3,560,60,0.012735297263957553
final_development,2,time_d2,560,60,0.01487906959119037
final_development,2,time_d3,560,60,0.014607642309527397
final_development,2,full_d2,560,60,0.01470820769428983
final_development,2,full_d3,560,60,0.013370334411412794
