model,n,mse,rmse,mae,r2
fixed_full_d2,300,0.023679399206839664,0.15388112037166762,0.12576887252119692,0.3619827618860826
fixed_full_d3,300,0.02431330864425714,0.15592725433437588,0.12677215714498563,0.344902719232018
fixed_process_d2,300,0.024290671585181275,0.1558546489046165,0.12698882452032437,0.3455126516793934
fixed_process_d3,300,0.025181483342269124,0.15868674595652002,0.12920379967509496,0.32151063828488
fixed_raw_d2,300,0.024532547415616345,0.15662869282355754,0.12897056784063451,0.33899555435134465
fixed_raw_d3,300,0.024030425262363427,0.1550174998584464,0.12712337673753027,0.3525247231708688
fixed_time_d2,300,0.022162227929256727,0.1488698355250543,0.12108610032365519,0.40286139313064706
fixed_time_d3,300,0.02293687239749717,0.15144924033317952,0.12338115407556038,0.3819893887427893
mean_baseline,300,0.040840624084820094,0.2020906333426171,0.15698773055081458,-0.10040892312501004
nested_selected,300,0.023242471651649253,0.15245481839433364,0.12408951607023175,0.3737553288158184
