feature,operation,mean_importance,std_importance,selected_folds
raw__311X25,311,0.050504606,0.029685313,5
raw__311X183,311,0.03464651,0.01694858,5
raw__311X26,311,0.032022182,0.023036696,5
raw__311X184,311,0.030762613,0.01952613,5
raw__311X154,311,0.026860077,0.015447024,5
raw__330X276,330,0.023312401,,1
raw__210X51,210,0.019813381,0.015158388,4
raw__311X197,311,0.018614339,0.025160579,3
raw__311X87,311,0.017669644,0.011073888,5
raw__420X210,420,0.016476972,0.026984602,3
raw__210X45,210,0.016426299,,1
raw__311X188,311,0.015194068,0.021710943,5
raw__311X196,311,0.014602648,0.012309864,5
raw__311X88,311,0.0140809445,0.009938144,5
raw__520X353,520,0.013217437,0.018826261,4
raw__220X33,220,0.012213636,0.021154638,1
raw__520X144,520,0.011471135,0.009546825,3
raw__520X1,520,0.010475815,0.018853046,4
raw__311X189,311,0.010277517,0.0051845005,5
route__210_to_220__gap_hours,210_to_220,0.009930554,0.0050278986,5
raw__520X345,520,0.00983675,0.009371745,4
raw__210X118,210,0.009768803,0.0063229804,2
raw__311X86,311,0.009400944,0.00763542,5
raw__311X182,311,0.0092836255,0.0029523782,5
raw__344X250,344,0.009190342,,1
raw__520X351,520,0.008746694,0.009447513,5
time__220__median_day,220,0.008650774,0.019217813,2
raw__210X133,210,0.008545017,0.014840444,5
raw__420X97,420,0.008483105,0.005070088,5
raw__311X80,311,0.00835578,0.011625712,4
raw__210X134,210,0.008254402,0.013326375,3
raw__330X206,330,0.008031353,,1
raw__210X121,210,0.007977782,0.0074004703,4
raw__311X187,311,0.007942943,0.01775282,2
raw__210X167,210,0.007900184,0.0051209554,5
raw__210X217,210,0.007811454,0.0037014491,5
proc__750__min_z,750,0.0075996346,0.008788796,5
raw__311X137,311,0.007190709,0.010375652,3
time__210__start_day,210,0.0070504574,0.011309768,5
raw__210X11,210,0.006975636,0.002328217,5
raw__311X84,311,0.0069610253,0.0075756703,5
raw__344X79,344,0.00694307,0.008872739,3
time__210__end_day,210,0.0068662344,0.010297949,4
proc__210__max_z,210,0.006709573,0.0059131715,5
raw__210X120,210,0.0062778555,0.0063044475,2
raw__344X87,344,0.0061239447,0.009915929,3
raw__311X33,311,0.006085693,0.009052845,3
time__310__median_day,310,0.005927256,0.012528127,3
raw__220X70,220,0.0058783754,0.002503043,4
route__520_to_750__gap_hours,520_to_750,0.0057724817,0.0033834872,5
proc__750__range_z,750,0.0057599735,0.004891973,5
raw__344X53,344,0.0056961384,0.012736953,1
raw__420X31,420,0.005687593,0.0029100105,5
raw__210X162,210,0.005679123,0.00053943123,2
proc__210__range_z,210,0.005593425,0.0068803513,5
raw__340X107,340,0.0055159605,0.0076790447,2
raw__ERROR:#N/A_4,META,0.005425307,0.002413651,5
raw__420X92,420,0.0053884033,0.0030223546,5
raw__750X1061,750,0.005338251,0.0076486836,4
raw__330X140,330,0.0051546604,0.0065720254,3
time__311__start_day,311,0.0051215417,0.010290567,4
raw__520X246,520,0.0050978605,0.0076788566,3
raw__311X89,311,0.0050223866,0.007944597,5
raw__220X3,220,0.0050101513,0.0036533715,5
raw__210X82,210,0.0049817804,0.007093946,5
raw__311X90,311,0.0047003655,0.006045062,5
raw__420X188,420,0.004660625,0.0031787064,5
proc__750__outlier_rate,750,0.004558565,0.010193261,1
time__400__median_day,400,0.0044020484,0.0091170035,3
raw__210X3,210,0.0043656817,0.004628535,5
proc__420__min_z,420,0.0043288236,0.0065745558,5
raw__210X14,210,0.004324293,0.0046537113,5
raw__344X71,344,0.0043167495,0.006201443,3
proc__420__range_z,420,0.0042101,0.0032174208,5
time__300__start_day,300,0.004147305,0.008304371,4
raw__360X1138,360,0.0041393912,,1
raw__311X211,311,0.004136966,0.0019045243,5
raw__210X157,210,0.0040604104,0.0054821502,5
raw__420X189,420,0.004050224,0.0014308984,5
time__210__median_day,210,0.004019018,0.008713577,3
raw__344X225,344,0.003982779,0.003138909,3
raw__311X27,311,0.0039799833,0.0030958946,5
raw__220X54,220,0.0039021806,0.00078414875,5
raw__210X39,210,0.0038770344,0.0016103754,3
raw__210X131,210,0.0038659682,,1
proc__330__mean_z,330,0.0036757141,0.0019612343,5
proc__420__std_z,420,0.0036707842,0.0029922167,5
raw__210X169,210,0.003589759,0.0022899418,5
raw__330X956,330,0.0034988944,,1
raw__344X221,344,0.0034303914,0.003098891,5
raw__210X151,210,0.003407012,0.0030595276,5
raw__220X163,220,0.0034009859,0.0021009678,5
raw__344X147,344,0.0033084527,0.0045592296,2
raw__420X93,420,0.0032401728,0.0061863745,4
raw__330X691,330,0.0031799262,,1
time__520__median_day,520,0.003106733,0.0067770965,3
raw__360X294,360,0.0030867425,0.0040424806,2
raw__210X16,210,0.0029970093,0.00396703,4
raw__344X208,344,0.0029723833,0.0016913612,4
raw__330X609,330,0.002944653,,1
raw__330X803,330,0.0029133756,,1
raw__220X164,220,0.0028886655,,1
raw__750X47,750,0.0028719897,0.0052918578,4
raw__330X816,330,0.0028580143,,1
raw__210X84,210,0.002760929,0.002788472,4
raw__330X574,330,0.0027585812,4.7813788e-05,2
raw__750X1201,750,0.002737186,,1
route__400_to_420__gap_hours,400_to_420,0.0026825026,0.0035328907,5
raw__210X156,210,0.0026642508,0.00076727924,2
proc__420__q75_z,420,0.0026177515,0.0031496654,5
raw__210X188,210,0.0025638163,,1
raw__210X211,210,0.0025509666,,1
proc__330__q25_z,330,0.0024684272,0.0016589869,5
raw__520X32,520,0.00246489,0.00090929045,2
raw__344X1,344,0.0024529852,0.0054850415,1
raw__420X95,420,0.002418218,0.0018657183,2
raw__210X83,210,0.002391109,0.0025304023,3
raw__311X82,311,0.0023904424,0.002320272,4
raw__420X99,420,0.0023589432,0.0015900858,5
raw__220X223,220,0.0022946107,,1
raw__750X327,750,0.002290333,0.0025750226,2
raw__ERROR:#N/A_14,META,0.0022008012,0.0023487925,5
raw__344X19,344,0.0021872602,0.002236812,5
raw__210X158,210,0.0021051993,,1
time__310__start_day,310,0.002095819,0.0036074738,5
raw__210X207,210,0.002084055,0.0009756598,3
raw__360X743,360,0.0020767658,,1
proc__420__q25_z,420,0.0020746686,0.001103637,5
time__220__end_day,220,0.0020642946,0.004190161,3
raw__311X53,311,0.0020601128,,1
raw__210X26,210,0.0020579551,0.0029103882,1
raw__750X1105,750,0.0020470882,0.0022225184,5
raw__344X212,344,0.0020324858,0.0022176655,5
raw__420X200,420,0.002028405,0.0016517675,4
raw__330X1203,330,0.002021273,,1
raw__340X15,340,0.0020146144,0.0012865537,4
proc__440A__q75_z,440A,0.0020108256,0.0007831454,5
raw__312X286,312,0.002003067,,1
raw__210X36,210,0.001991909,0.00047645668,5
raw__344X185,344,0.0019904133,0.0017714612,5
raw__312X699,312,0.0019828756,0.00042884203,2
raw__420X132,420,0.0019659484,0.0025321413,2
proc__330__outlier_rate,330,0.0019592436,0.0025488029,3
raw__210X163,210,0.0019547457,0.0022964047,5
raw__360X741,360,0.0019540777,0.0024826804,2
raw__420X159,420,0.0019402521,0.003360615,1
raw__210X206,210,0.0019172111,0.000991334,4
raw__520X87,520,0.0018902825,0.0030512426,2
raw__210X174,210,0.0018843157,0.0011870759,5
raw__400X170,400,0.0018481022,,1
proc__344__outlier_rate,344,0.0018456529,0.0039586285,4
raw__210X41,210,0.0018433364,0.00093711657,2
raw__750X785,750,0.0018297171,0.004091372,1
raw__311X210,311,0.0018170353,0.0028524485,4
proc__440A__mean_z,440A,0.0018144508,0.00087571127,5
proc__311__max_z,311,0.0018036328,0.002224218,5
raw__210X102,210,0.0017726718,,1
raw__ERROR:#N/A_11,META,0.001770571,0.001710588,2
raw__311X9,311,0.0017600136,0.003160114,5
raw__210X94,210,0.0017066641,0.00042549882,3
proc__300__mean_z,300,0.0016833981,0.0009794036,5
raw__420X187,420,0.0016813918,0.0001342317,2
raw__210X43,210,0.0016782878,0.0023734572,1
raw__750X677,750,0.0016256213,,1
proc__750__max_z,750,0.0015966946,0.0015905711,5
time__520__start_day,520,0.0015928801,0.0016675121,5
raw__750X228,750,0.001588593,0.0012560044,5
raw__311X4,311,0.0015808468,0.0012053606,5
raw__330X432,330,0.0015711436,,1
raw__344X16,344,0.0015662553,,1
proc__400__max_z,400,0.001565678,0.0012407078,5
raw__210X63,210,0.0015564744,,1
raw__330X976,330,0.0015510703,,1
raw__360X403,360,0.0015290871,,1
raw__420X33,420,0.0015256762,0.0019078448,2
time__300__end_day,300,0.0014956786,0.0027620057,4
raw__210X135,210,0.0014892223,0.001544353,5
raw__210X46,210,0.0014877712,0.00043644544,2
proc__300__min_z,300,0.0014827648,0.0017378586,4
raw__750X702,750,0.0014704177,0.00020744547,2
time__420__end_day,420,0.0014485696,0.002484272,4
raw__330X112,330,0.0014267329,,1
raw__750X1083,750,0.001394754,0.0009212431,5
raw__210X123,210,0.0013796896,0.0022732543,3
raw__344X5,344,0.0013665396,0.002861643,3
raw__210X150,210,0.0013626727,0.0012760364,2
proc__300__median_z,300,0.0013313191,0.0009905238,5
raw__210X34,210,0.0013292233,0.0013290806,4
raw__210X53,210,0.0013278808,0.0014489078,2
time__220__start_day,220,0.0013151142,0.0025976705,4
raw__311X72,311,0.0013136714,0.00059188093,5
raw__210X144,210,0.0013086143,0.00040539456,2
proc__440A__outlier_rate,440A,0.0013020067,0.0017054814,3
raw__344X194,344,0.001285902,0.00073196046,3
raw__210X145,210,0.0012480591,0.0012872007,5
raw__750X582,750,0.0012409043,0.0010704194,5
proc__420__mean_z,420,0.0012204598,0.001626706,5
proc__210__mean_z,210,0.0012200503,0.0014214895,5
raw__340X13,340,0.0011846678,0.00035511775,3
raw__210X128,210,0.0011771047,,1
raw__210X71,210,0.0011769267,,1
proc__330__min_z,330,0.001172698,0.0007458382,5
route__311_to_330__gap_hours,311_to_330,0.0011686028,0.0005401559,5
proc__311__outlier_rate,311,0.0011562685,0.0013093321,3
raw__210X191,210,0.0011553395,,1
proc__312__q25_z,312,0.0011484487,0.00032728346,5
raw__330X11,330,0.0011472193,6.005926e-06,2
raw__210X177,210,0.0011445794,0.0022111947,5
raw__311X195,311,0.0011399601,0.0006312363,5
raw__210X168,210,0.0011361866,0.0010636689,3
raw__360X307,360,0.0011350316,,1
proc__750__std_z,750,0.0011297192,0.00059886597,5
raw__311X74,311,0.0011218516,0.0011801285,5
proc__210__median_z,210,0.0011193015,0.0007645373,5
proc__300__q25_z,300,0.001115922,0.0015929777,3
proc__311__std_z,311,0.0011119336,0.00063620746,5
raw__520X83,520,0.001093666,,1
raw__344X103,344,0.0010781677,0.0016176541,4
proc__520__max_z,520,0.0010749478,0.00048253319,5
raw__311X73,311,0.0010726762,0.0008227267,5
raw__210X119,210,0.0010714098,0.00174854,3
time__520__span_min,520,0.0010644976,0.00037941907,5
raw__360X368,360,0.0010609842,0.0014620963,3
proc__311__range_z,311,0.0010576255,0.0008955258,5
raw__210X81,210,0.0010528491,0.00090233353,3
time__300__median_day,300,0.0010411434,0.0023280676,1
raw__210X187,210,0.0010400132,0.00043865075,5
proc__311__zero_rate,311,0.0010399723,0.00087340665,5
raw__330X626,330,0.001030517,0.00037160818,2
proc__310__min_z,310,0.0010192809,0.000556306,5
raw__750X743,750,0.0010160549,0.00075074175,2
raw__210X178,210,0.001015179,5.886396e-05,2
raw__330X266,330,0.00101322,,1
raw__750X765,750,0.0010035677,0.00084959995,5
raw__344X158,344,0.0010032675,0.00072497496,5
raw__360X1127,360,0.0009993692,,1
raw__311X11,311,0.0009978914,0.0020991887,4
proc__440A__median_z,440A,0.0009930432,0.00057527126,5
raw__311X61,311,0.0009810695,0.0014641401,4
raw__344X114,344,0.0009806885,0.0011310352,4
raw__210X190,210,0.0009748492,0.00029477244,4
raw__311X193,311,0.0009419046,0.0008685735,5
raw__360X425,360,0.00093918457,0.00025130078,2
raw__210X25,210,0.00093262823,,1
raw__520X47,520,0.0009174854,,1
raw__520X33,520,0.00091403443,0.000838457,3
raw__210X122,210,0.00091044337,0.00028396904,2
raw__330X353,330,0.0009002745,,1
raw__330X147,330,0.00089114136,,1
proc__311__q75_z,311,0.00088821194,0.0006385549,5
raw__420X67,420,0.0008848606,0.0013854733,2
