fold,model,selected_view,pooled_inner_mse
1,Ridge,time_only,0.026388137096412984
1,RandomForest,time_only,0.021610463776158998
1,GBR,time_only,0.019678016651234424
1,SVR,time_only,0.024904540582854556
1,LightGBM,time_only,0.02048836772895747
1,CatBoost,time_only,0.020974588143934166
1,XGBoost,time_only,0.018118323149112235
2,Ridge,basic,0.02341169042859252
2,RandomForest,time_only,0.019160051356449107
2,GBR,basic,0.02130601674927138
2,SVR,basic,0.017828961749727278
2,LightGBM,basic,0.02032419526660826
2,CatBoost,time_only,0.018112302533121037
2,XGBoost,basic,0.018803576570194977
3,Ridge,basic,0.052296965828838124
3,RandomForest,basic,0.03282883331019672
3,GBR,basic,0.03199614605485917
3,SVR,time_only,0.0319676587804656
3,LightGBM,time_only,0.031575987793870115
3,CatBoost,basic,0.02925324084812352
3,XGBoost,time_only,0.03108563286142303
