outer_fold,inner_fold,model,view,mse,n
1,1,Ridge,basic,0.038064195224148945,60
1,2,Ridge,basic,0.016201348203087978,60
1,1,Ridge,time_only,0.03365523992679288,60
1,2,Ridge,time_only,0.019121034266033083,60
1,1,RandomForest,basic,0.024104527767834793,60
1,2,RandomForest,basic,0.023691280368336055,60
1,1,RandomForest,time_only,0.02262721435891473,60
1,2,RandomForest,time_only,0.020593713193403265,60
1,1,GBR,basic,0.025056350380520155,60
1,2,GBR,basic,0.023701883860906138,60
1,1,GBR,time_only,0.019490606683674822,60
1,2,GBR,time_only,0.01986542661879402,60
1,1,SVR,basic,0.032195832894725496,60
1,2,SVR,basic,0.019834860716109192,60
1,1,SVR,time_only,0.02830076721644308,60
1,2,SVR,time_only,0.02150831394926603,60
1,1,LightGBM,basic,0.026951732406794767,60
1,2,LightGBM,basic,0.025774162010927835,60
1,1,LightGBM,time_only,0.02384394259046234,60
1,2,LightGBM,time_only,0.017132792867452607,60
1,1,CatBoost,basic,0.02261270170404112,60
1,2,CatBoost,basic,0.0212009818576075,60
1,1,CatBoost,time_only,0.021865407389204904,60
1,2,CatBoost,time_only,0.020083768898663427,60
1,1,XGBoost,basic,0.021420461946725342,60
1,2,XGBoost,basic,0.020963898087815524,60
1,1,XGBoost,time_only,0.01905797923394427,60
1,2,XGBoost,time_only,0.017178667064280208,60
2,1,Ridge,basic,0.017650432558776283,60
2,2,Ridge,basic,0.02917294829840876,60
2,1,Ridge,time_only,0.0189133737170324,60
2,2,Ridge,time_only,0.029991917741362135,60
2,1,RandomForest,basic,0.02094477608418269,60
2,2,RandomForest,basic,0.019028945316535973,60
2,1,RandomForest,time_only,0.01978032363779787,60
2,2,RandomForest,time_only,0.01853977907510035,60
2,1,GBR,basic,0.02269720110688704,60
2,2,GBR,basic,0.019914832391655715,60
2,1,GBR,time_only,0.022159543411222764,60
2,2,GBR,time_only,0.02101721346932133,60
2,1,SVR,basic,0.019735382925428098,60
2,2,SVR,basic,0.015922540574026454,60
2,1,SVR,time_only,0.0214654313129188,60
2,2,SVR,time_only,0.015891560269616717,60
2,1,LightGBM,basic,0.02140334051658369,60
2,2,LightGBM,basic,0.019245050016632827,60
2,1,LightGBM,time_only,0.021636808484354054,60
2,2,LightGBM,time_only,0.021051146252716504,60
2,1,CatBoost,basic,0.020665793270988757,60
2,2,CatBoost,basic,0.019600041734538557,60
2,1,CatBoost,time_only,0.018675688264422393,60
2,2,CatBoost,time_only,0.017548916801819678,60
2,1,XGBoost,basic,0.020310337976105836,60
2,2,XGBoost,basic,0.017296815164284118,60
2,1,XGBoost,time_only,0.019645992377026942,60
2,2,XGBoost,time_only,0.019737099263546182,60
3,1,Ridge,basic,0.07747725654394425,60
3,2,Ridge,basic,0.027116675113732017,60
3,1,Ridge,time_only,0.08035523162134965,60
3,2,Ridge,time_only,0.02728776790868682,60
3,1,RandomForest,basic,0.03915215326429513,60
3,2,RandomForest,basic,0.026505513356098295,60
3,1,RandomForest,time_only,0.04119960571787955,60
3,2,RandomForest,time_only,0.02584714219513022,60
3,1,GBR,basic,0.040455803812979446,60
3,2,GBR,basic,0.023536488296738912,60
3,1,GBR,time_only,0.04280076554688462,60
3,2,GBR,time_only,0.02343174680405058,60
3,1,SVR,basic,0.044955282072107416,60
3,2,SVR,basic,0.026556544827607796,60
3,1,SVR,time_only,0.03780540622750884,60
3,2,SVR,time_only,0.026129911333422354,60
3,1,LightGBM,basic,0.04361924240524916,60
3,2,LightGBM,basic,0.02396282972969361,60
3,1,LightGBM,time_only,0.04143296453693234,60
3,2,LightGBM,time_only,0.021719011050807892,60
3,1,CatBoost,basic,0.03413331429037404,60
3,2,CatBoost,basic,0.024373167405872993,60
3,1,CatBoost,time_only,0.035633960184869376,60
3,2,CatBoost,time_only,0.024446425817879112,60
3,1,XGBoost,basic,0.039827515041030534,60
3,2,XGBoost,basic,0.022627230773465564,60
3,1,XGBoost,time_only,0.03956309829456196,60
3,2,XGBoost,time_only,0.0226081674282841,60
