feature,position,operation,status,missing_rate,zero_rate,n_unique,timestamp_ratio
210X1,0,210,kept_numeric,0.0,0.15,195,0.0
210X2,1,210,kept_numeric,0.0,0.15,276,0.0
210X3,2,210,kept_numeric,0.0,0.15,14,0.0
210X4,3,210,kept_numeric,0.0,0.15,549,0.0
210X5,4,210,kept_numeric,0.0,0.15,417,0.0
210X6,5,210,kept_numeric,0.0,0.15,546,0.0
210X7,6,210,kept_numeric,0.0,0.01375,283,0.0
210X8,7,210,kept_numeric,0.0,0.0075,151,0.0
210X9,8,210,kept_numeric,0.0,0.005,32,0.0
210X10,9,210,kept_numeric,0.0,0.005,69,0.0
210X11,10,210,kept_numeric,0.0,0.15,341,0.0
210X12,11,210,kept_numeric,0.0,0.15,275,0.0
210X13,12,210,kept_numeric,0.0,0.005,17,0.0
210X14,13,210,kept_numeric,0.0,0.005,25,0.0
210X15,14,210,kept_numeric,0.0,0.005,16,0.0
210X16,15,210,kept_numeric,0.0,0.005,22,0.0
210X17,16,210,removed_constant,0.0,0.0,1,0.0
210X18,17,210,kept_numeric,0.0,0.0,2,0.0
210X19,18,210,kept_numeric,0.0,0.005,3,0.0
ERROR:#N/A,19,META,removed_constant,0.0,1.0,1,0.0
ERROR:#N/A_1,20,META,removed_duplicate,0.0,0.005,32,0.0
ERROR:#N/A_2,21,META,removed_duplicate,0.0,0.15,195,0.0
210X20,22,210,kept_numeric,0.0,0.005,21,0.0
210X21,23,210,kept_numeric,0.0,0.005,2,0.0
210X22,24,210,removed_duplicate,0.0,0.005,2,0.0
210X23,25,210,kept_numeric,0.0,0.005,22,0.0
210X24,26,210,converted_timestamp,0.00125,0.0,750,1.0
210X25,27,210,kept_numeric,0.0,0.005,53,0.0
210X26,28,210,kept_numeric,0.0,0.005,66,0.0
210X27,29,210,kept_numeric,0.0,0.005,7,0.0
210X28,30,210,kept_numeric,0.0,0.005,7,0.0
210X29,31,210,kept_numeric,0.0,0.0475,3,0.0
210X30,32,210,kept_numeric,0.0,0.045,2,0.0
210X31,33,210,removed_constant,0.0,0.0,1,0.0
210X32,34,210,kept_numeric,0.0,0.005,25,0.0
210X33,35,210,kept_numeric,0.0,0.005,15,0.0
210X34,36,210,kept_numeric,0.0,0.005,19,0.0
210X35,37,210,kept_numeric,0.0,0.005,11,0.0
210X36,38,210,kept_numeric,0.0,0.005,11,0.0
210X37,39,210,removed_constant,0.0,1.0,1,0.0
210X39,40,210,kept_numeric,0.0,0.15,539,0.0
210X40,41,210,kept_numeric,0.0,0.005,63,0.0
210X41,42,210,kept_numeric,0.0,0.005,65,0.0
210X42,43,210,kept_numeric,0.0,0.005,61,0.0
210X43,44,210,kept_numeric,0.0,0.005,64,0.0
210X44,45,210,kept_numeric,0.0,0.005,60,0.0
210X45,46,210,kept_numeric,0.0,0.005,67,0.0
210X46,47,210,kept_numeric,0.0,0.005,59,0.0
210X47,48,210,kept_numeric,0.0,0.005,67,0.0
210X48,49,210,kept_numeric,0.0,0.005,17,0.0
210X49,50,210,kept_numeric,0.0,0.005,15,0.0
210X50,51,210,kept_numeric,0.0,0.005,13,0.0
210X51,52,210,kept_numeric,0.0,0.005,14,0.0
210X52,53,210,kept_numeric,0.0,0.15,637,0.0
210X53,54,210,kept_numeric,0.0,0.005,58,0.0
210X54,55,210,kept_numeric,0.0,0.005,71,0.0
210X55,56,210,kept_numeric,0.0,0.005,56,0.0
210X56,57,210,kept_numeric,0.0,0.005,68,0.0
210X57,58,210,kept_numeric,0.0,0.005,7,0.0
210X58,59,210,kept_numeric,0.0,0.005,8,0.0
210X59,60,210,kept_numeric,0.0,0.005,6,0.0
210X60,61,210,kept_numeric,0.0,0.005,3,0.0
210X61,62,210,kept_numeric,0.0,0.005,66,0.0
210X62,63,210,kept_numeric,0.0,0.005,70,0.0
210X63,64,210,kept_numeric,0.0,0.005,64,0.0
210X64,65,210,kept_numeric,0.0,0.005,64,0.0
210X65,66,210,kept_numeric,0.0,0.005,8,0.0
210X66,67,210,kept_numeric,0.0,0.005,7,0.0
210X67,68,210,kept_numeric,0.0,0.005,4,0.0
210X68,69,210,kept_numeric,0.0,0.005,3,0.0
210X69,70,210,kept_numeric,0.0,0.005,26,0.0
210X70,71,210,kept_numeric,0.0,0.005,18,0.0
210X71,72,210,kept_numeric,0.0,0.005,24,0.0
210X72,73,210,kept_numeric,0.0,0.005,17,0.0
210X73,74,210,kept_numeric,0.0,0.005,8,0.0
210X74,75,210,kept_numeric,0.0,0.005,9,0.0
210X75,76,210,kept_numeric,0.0,0.005,6,0.0
210X76,77,210,kept_numeric,0.0,0.005,4,0.0
210X77,78,210,kept_numeric,0.0,0.005,2,0.0
210X78,79,210,removed_duplicate,0.0,0.005,2,0.0
210X79,80,210,removed_constant,0.0,1.0,1,0.0
210X80,81,210,kept_numeric,0.0,0.97125,2,0.0
210X81,82,210,kept_numeric,0.0,0.005,786,0.0
210X82,83,210,kept_numeric,0.0,0.005,786,0.0
210X83,84,210,kept_numeric,0.0,0.005,786,0.0
210X84,85,210,kept_numeric,0.0,0.005,786,0.0
210X85,86,210,kept_numeric,0.0,0.005,784,0.0
210X86,87,210,kept_numeric,0.0,0.005,784,0.0
210X87,88,210,kept_numeric,0.0,0.005,772,0.0
210X88,89,210,kept_numeric,0.0,0.005,770,0.0
210X89,90,210,kept_numeric,0.0,0.005,25,0.0
210X90,91,210,kept_numeric,0.0,0.005,16,0.0
210X91,92,210,kept_numeric,0.0,0.005,13,0.0
210X92,93,210,kept_numeric,0.0,0.005,4,0.0
210X93,94,210,kept_numeric,0.0,0.005,5,0.0
210X94,95,210,kept_numeric,0.0,0.005,18,0.0
210X95,96,210,kept_numeric,0.0,0.005,9,0.0
210X96,97,210,kept_numeric,0.0,0.005,318,0.0
210X97,98,210,kept_numeric,0.0,0.215,15,0.0
210X98,99,210,kept_numeric,0.0,0.19625,15,0.0
210X99,100,210,kept_numeric,0.0,0.69375,14,0.0
210X100,101,210,kept_numeric,0.0,0.005,314,0.0
210X101,102,210,kept_numeric,0.0,0.005,20,0.0
210X102,103,210,kept_numeric,0.0,0.005,15,0.0
210X103,104,210,removed_constant,0.0,1.0,1,0.0
210X104,105,210,kept_numeric,0.0,0.005,256,0.0
210X105,106,210,kept_numeric,0.0,0.005,19,0.0
210X106,107,210,kept_numeric,0.0,0.005,199,0.0
210X107,108,210,kept_numeric,0.0,0.005,29,0.0
210X108,109,210,kept_numeric,0.0,0.005,4,0.0
210X109,110,210,kept_numeric,0.0,0.9175,2,0.0
210X110,111,210,kept_numeric,0.0,0.005,4,0.0
210X111,112,210,kept_numeric,0.0,0.95125,2,0.0
210X112,113,210,kept_numeric,0.0,0.005,313,0.0
210X113,114,210,kept_numeric,0.0,0.005,272,0.0
210X114,115,210,kept_numeric,0.0,0.005,84,0.0
210X115,116,210,kept_numeric,0.0,0.005,69,0.0
210X116,117,210,kept_numeric,0.0,0.005,57,0.0
210X117,118,210,kept_numeric,0.0,0.005,73,0.0
210X118,119,210,kept_numeric,0.0,0.005,680,0.0
210X119,120,210,kept_numeric,0.0,0.005,691,0.0
