feature,operation,selected_folds,mean_stable_score,std_stable_score,mean_importance,mean_abs_correlation,mean_temporal_drift,selection_rate
311X32,311,5,0.9990141383263278,0.0005290629312593293,0.010271179970986673,0.48076914223563605,0.0,1.0
311X33,311,5,0.994046618265189,0.0031659719197913512,0.005155799422300219,0.4129012225008909,0.0,1.0
311X223,311,5,0.9939934440357142,0.007750845263575775,0.008699304855679112,0.5294285012354518,0.02222222222222222,1.0
311X190,311,5,0.9935957202904089,0.001654747197259623,0.005646383169446162,0.3664755924282935,0.0,1.0
311X129,311,5,0.992510508215514,0.0028766832311984017,0.005980181813917038,0.3396856493735689,0.0,1.0
311X183,311,5,0.9920825372564004,0.002896492942560159,0.004587213554017236,0.3774595099358592,0.0,1.0
311X193,311,5,0.9917844860527321,0.008704762839810216,0.004941465485328784,0.41906474332816207,0.0,1.0
311X187,311,5,0.9917279408293819,0.004713700317805656,0.006091073992222953,0.36562652467044715,0.009294871794871271,1.0
311X90,311,5,0.9905999235766144,0.0034116643908691006,0.0036023608512478537,0.43612816537602334,0.0,1.0
311X196,311,5,0.9902407336645013,0.0045072469355495305,0.0039418338819124255,0.4015007246243834,0.0,1.0
311X184,311,5,0.9898127627053878,0.004159492390864721,0.003848055296928169,0.3774595099358592,0.0,1.0
311X86,311,5,0.9886026859506426,0.006678083710173224,0.0034411067945024575,0.4645986389573302,0.008333333333333456,1.0
311X135,311,5,0.9884906381352693,0.005097603087319031,0.003952062574778847,0.34719554916890083,0.0,1.0
311X29,311,5,0.9872143675964844,0.003370609212613814,0.003016757684327709,0.3813215798755393,0.0,1.0
311X1,311,5,0.9866494291994006,0.010743019416609512,0.004154852105025234,0.39505678592949806,0.02,1.0
311X89,311,5,0.9865490442367097,0.009005867100186155,0.0038765638512180635,0.44285840927087844,0.016666666666666753,1.0
311X137,311,5,0.9864424914023691,0.0026991902397031048,0.003052712438072915,0.360462896852397,0.0,1.0
311X30,311,5,0.9859992357661443,0.0045787590382032305,0.0031457858355195567,0.3522508916659678,0.0,1.0
311X191,311,5,0.9859373402694699,0.0031800005942148927,0.006017189996371997,0.36567352435425926,0.02828947368420894,1.0
