feature,operation,feature_type,unit,physical_interpretation,interpretation_limit
raw__311X25,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X183,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X26,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X184,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X154,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X276,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X51,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X197,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X87,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X210,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X45,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X188,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X196,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X88,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X353,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__220X33,220,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X144,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X1,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X189,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
route__210_to_220__gap_hours,210_to_220,跨工序时间,小时或0/1,相邻工序等待时间或并行重叠状态,工序先后关系按编号排序，需要业务确认
raw__520X345,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X118,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X86,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X182,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X250,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X351,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__220__median_day,220,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__210X133,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X97,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X80,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X134,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X206,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X121,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X187,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X167,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X217,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__750__min_z,750,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__311X137,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__210__start_day,210,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__210X11,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X84,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X79,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__210__end_day,210,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
proc__210__max_z,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X120,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X87,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X33,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__310__median_day,310,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__220X70,220,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
route__520_to_750__gap_hours,520_to_750,跨工序时间,小时或0/1,相邻工序等待时间或并行重叠状态,工序先后关系按编号排序，需要业务确认
proc__750__range_z,750,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__344X53,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X31,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X162,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__210__range_z,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__340X107,340,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__ERROR:#N/A_4,META,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X92,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X1061,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X140,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__311__start_day,311,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__520X246,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X89,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__220X3,220,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X82,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X90,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X188,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__750__outlier_rate,750,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
time__400__median_day,400,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__210X3,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__420__min_z,420,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X14,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X71,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__420__range_z,420,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
time__300__start_day,300,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__360X1138,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X211,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X157,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X189,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__210__median_day,210,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__344X225,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X27,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__220X54,220,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X39,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X131,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__330__mean_z,330,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__420__std_z,420,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X169,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X956,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X221,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X151,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__220X163,220,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X147,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X93,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X691,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__520__median_day,520,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__360X294,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X16,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X208,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X609,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X803,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__220X164,220,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X47,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X816,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X84,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X574,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X1201,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
route__400_to_420__gap_hours,400_to_420,跨工序时间,小时或0/1,相邻工序等待时间或并行重叠状态,工序先后关系按编号排序，需要业务确认
raw__210X156,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__420__q75_z,420,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X188,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X211,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__330__q25_z,330,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__520X32,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X1,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
