feature,operation,variance,log10_variance,iqr,median,coefficient_of_variation,missing_rate,skewness,kurtosis,variance_percentile,selection_rate,mean_importance,mean_abs_correlation,mean_temporal_drift,variance_interpretation
210X206,210,1.816669418740045e+19,19.2592759054704,8593630015.25,1783566258.0,2.3897292817129534,0.0,0.15348827765804351,-1.927788661679393,1.0,0.8,0.0009465927917788,0.1883854050896911,0.7847610024497227,高方差候选，检查量纲和异常值
210X207,210,1.6117548405389668e+19,19.20729898318977,8162136435.25,3424638926.0,1.172289035005454,0.0,0.08384143633916702,-1.8594632515609049,0.9996178830722201,0.6,0.000701472063876,0.1643809259161637,0.6262157829643267,高方差候选，检查量纲和异常值
210X217,210,1.1343226036926048e+19,19.054736586372208,1281516372.0,9450748627.5,0.3563707748245667,0.0,-1.161164174807309,0.2905527450837426,0.9992357661444402,1.0,0.0019084552461105,0.1790760503788768,0.4228592707915056,高方差候选，检查量纲和异常值
ERROR:#N/A_4,META,1.1193080242803517e+19,19.048949617213708,1294783504.0,9449731295.0,0.354042459567141,0.0,-1.1210848860062983,0.2739366590052681,0.9988536492166603,1.0,0.0015608525920065,0.1751858098787203,0.4210593971450923,高方差候选，检查量纲和异常值
210X184,210,592529712531849.2,14.772710133019835,38350612.75,48079383.0,0.5062863059766428,0.0,0.13802871141700793,-0.9968128671901444,0.9984715322888804,0.0,0.0004070820237453,0.0899411107909677,0.1758473072461421,高方差候选，检查量纲和异常值
210X185,210,590770073293456.6,14.771418487092344,38061665.5,48175979.0,0.5045203573713323,0.0,0.1344980378349659,-0.9907482794485989,0.9980894153611005,0.0,0.00032875392858,0.0886197630209893,0.1786781210499863,高方差候选，检查量纲和异常值
750X1288,750,5556995107.98047,9.74484001446074,138952.25,101026.5,0.7378782342825397,0.0,0.1943196837837829,-1.3616707576738747,0.9977072984333206,0.0,0.0002667778584576,0.051555988395436,0.173349894250695,高方差候选，检查量纲和异常值
750X971,750,5536142500.207701,9.743207260324674,138838.5,100813.0,0.7380522209647481,0.0,0.20349932029077597,-1.3544922799418668,0.9973251815055407,0.0,0.0002118980043084,0.0350109853743831,0.1788361342028281,高方差候选，检查量纲和异常值
360X971,360,4288469890.801695,9.632302365257885,107570.0,133350.0,0.491086688941332,0.0,-0.11081844286769885,-0.9971724796783197,0.9969430645777608,0.0,0.000262876070113,0.0254323651710214,0.2907055904378814,高方差候选，检查量纲和异常值
360X1288,360,4287795387.588732,9.63223405276649,107521.75,133240.0,0.49145346607478546,0.0,-0.11083252398826654,-0.9965863675750519,0.9965609476499809,0.0,0.0004061279979168,0.0254501435331146,0.2906156527915052,高方差候选，检查量纲和异常值
330X878,330,4248986784.1411266,9.62828538028144,108505.75,124630.5,0.523020067944145,0.0,-0.0732575857917058,-1.0254552769606304,0.996178830722201,0.0,0.0002534193815051,0.0250479825330907,0.1479598887445163,高方差候选，检查量纲和异常值
330X889,330,4248982218.9633245,9.628284913668411,108505.75,124630.5,0.5230197869736022,0.0,-0.07325555531399652,-1.0254584576158319,0.9957967137944211,0.0,0.0002610242430743,0.0250479429822707,0.1479598887445163,高方差候选，检查量纲和异常值
330X1166,330,4237424960.763728,9.627102020493783,102689.5,124713.5,0.5219603848501128,0.0,-0.06700904252372757,-1.025551969422322,0.9954145968666412,0.0,0.0002204510751375,0.025795374351858,0.1781777965174785,高方差候选，检查量纲和异常值
300X5,300,909953912.3776455,8.95901939659918,60500.75,71097.5,0.42428274346386763,0.04,-0.37630165081048966,-1.8284888189447628,0.9950324799388612,0.0,0.0002589707405188,0.043436449829957,0.9746663273284776,高方差候选，检查量纲和异常值
300X1,300,909019676.508336,8.958573283999202,60502.75,71186.5,0.42353470357286294,0.035,-0.38553113007280587,-1.8218912384827441,0.9946503630110813,0.0,0.0003397172505737,0.0433180748361474,0.975005573139646,高方差候选，检查量纲和异常值
300X12,300,906712853.688019,8.957469772392786,60502.75,71092.5,0.42355625483667947,0.03,-0.3937869731579425,-1.814658028288741,0.9942682460833014,0.0,0.0002137304066565,0.0430120868477266,0.9756617048431646,高方差候选，检查量纲和异常值
300X8,300,904472342.009623,8.956395291045194,60438.0,71104.0,0.4229642026009271,0.02875,-0.3961681709804576,-1.8129090191154802,0.9938861291555215,0.0,0.0002324365848092,0.0445526663093107,0.9763105392646734,高方差候选，检查量纲和异常值
520X353,520,365198601.2432274,8.562529105462724,38094.75,25927.5,0.737061810810852,0.0,0.3429657263716378,-1.8562474292080964,0.9935040122277417,1.0,0.0006518636247888,0.1700300631219672,0.0523558662492316,高方差候选，检查量纲和异常值
520X144,520,365179836.78775966,8.562506790183294,38093.75,25926.5,0.7370713030604457,0.0,0.34296531960058924,-1.8562461360770588,0.9931218952999618,0.8,0.0007851498751574,0.1700305341704403,0.0523572587923873,高方差候选，检查量纲和异常值
520X246,520,365161072.81802076,8.56248447433487,38092.75,25927.5,0.7370239389794718,0.0,0.3429649127984023,-1.8562448428474139,0.9927397783721819,1.0,0.0006238477391302,0.1700310052428129,0.052358651409622,高方差候选，检查量纲和异常值
520X351,520,364928054.537705,8.5622072518617,38107.25,25900.5,0.7375568109860564,0.0025,0.34906277944041325,-1.8519515625826792,0.992357661444402,1.0,0.0007456418177991,0.1707091460731851,0.0523537901124525,高方差候选，检查量纲和异常值
520X345,520,364773366.8938856,8.5620231217801,38101.25,25924.5,0.7367178149661064,0.0025,0.349034371457396,-1.8519934404071456,0.9919755445166221,1.0,0.0008986091070785,0.1656429076080001,0.0523635796701623,高方差候选，检查量纲和异常值
