validation_scheme,fold,model,mse,rmse,mae,r2,n_train,n_valid,n_features,fit_predict_sec
random_cv,1,Dummy,0.03836318972914432,0.19586523358969127,0.16226699166829844,-0.0007825156183109971,512,128,769,0.0020288000014261343
random_cv,1,Ridge,0.06992543262699132,0.2644341744687916,0.10456754452255733,-0.8241483793245565,512,128,769,0.0984046999947168
random_cv,1,ExtraTrees,0.013863919027122154,0.11774514438872694,0.09299025732785007,0.6383312269325905,512,128,769,0.2152501000018674
random_cv,1,XGBoost,0.007120703601395754,0.08438426157403853,0.06721336300974817,0.8142418366801389,512,128,769,2.2349546999976155
random_cv,1,XGB-Recency,0.008311503829308007,0.09116744939564783,0.07106921199814167,0.7831773695150551,512,128,769,2.127240499998152
random_cv,1,MLP-Ensemble,0.03387268274582138,0.1840453279652091,0.09486103212515147,0.11636157242287304,512,128,769,1.6342662000024575
random_cv,2,Dummy,0.04271691091975482,0.20668069798545488,0.16532803786258396,-0.022721879497319408,512,128,784,0.001475599994591903
random_cv,2,Ridge,0.017640647533205215,0.1328180994187359,0.10394059945280798,0.5776502604647391,512,128,784,0.09619039999961387
random_cv,2,ExtraTrees,0.016485633553400467,0.12839639229121846,0.10063374456174087,0.6053034320737682,512,128,784,0.2263528999974369
random_cv,2,XGBoost,0.009872636247746702,0.09936114053163189,0.07627219620188713,0.7636308225129771,512,128,784,2.1781802000041353
random_cv,2,XGB-Recency,0.010096512862964297,0.10048140555826385,0.07723410664551805,0.758270802142568,512,128,784,2.1549805000031483
random_cv,2,MLP-Ensemble,0.013061462327641962,0.11428675482155384,0.08903689282341525,0.6872844263995742,512,128,784,2.2603084000002127
random_cv,3,Dummy,0.040530475443073415,0.20132182058354584,0.15834884944501698,-0.0118858896918701,512,128,777,0.0015558000013697892
random_cv,3,Ridge,0.01419785396916226,0.1191547479925255,0.09662909927092977,0.6455356632694959,512,128,777,0.09378909999941243
random_cv,3,ExtraTrees,0.014311626936183968,0.11963121221564199,0.09330646682527499,0.6426952016489718,512,128,777,0.2324088999957894
