operation,feature_count,mean_missing_rate,max_row_missing_rate,all_missing_rows,associated_tool,tool_missing_disparity,spearman_missing_vs_y,mechanism_candidate,interpretation
210,211,0.0,0.0,0,TOOL,0.0,0.0,无缺失,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
220,88,1.4204545454545455e-05,0.011363636363636364,0,Tool,5.236698785085882e-05,-0.03377818177832767,低比例随机缺失候选,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
300,5,0.03225000000000001,0.6,0,TOOL_ID,0.052868852459016395,-0.01129943465310395,低比例随机缺失候选,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
310,93,0.0,0.0,0,Tool (#1),0.0,0.0,无缺失,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
311,131,0.014265267175572518,0.9236641221374046,0,Tool (#1),0.013264035515131826,0.08209265160608063,低比例随机缺失候选,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
312,439,0.023322892938496587,0.7813211845102506,0,Chamber ID,0.041438472350118744,0.12217511206664129,低比例随机缺失候选,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
330,417,0.0,0.0,0,TOOL (#2),0.0,0.0,无缺失,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
340,105,0.0,0.0,0,Tool (#2),0.0,0.0,无缺失,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
344,143,0.03625874125874126,0.4755244755244755,0,Tool (#3),0.04265734265734265,0.13818321005246445,低比例随机缺失候选,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
360,143,0.0,0.0,0,Tool (#4),0.0,0.0,无缺失,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
400,130,0.0006538461538461538,0.07692307692307693,0,Tool (#4),0.0010552221900906114,0.08358830489307435,低比例随机缺失候选,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
420,124,0.004758064516129032,0.9516129032258065,0,Tool (#4),0.01073247635217075,-0.0036834584239156935,低比例随机缺失候选,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
440A,199,0.0006092964824120603,0.005025125628140704,0,OPERATION_ID,0.004732399863394643,0.03930768747207166,低比例随机缺失候选,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
520,226,0.012444690265486726,0.9601769911504425,0,Tool (#5),0.018287218550464883,-0.011330357424084201,低比例随机缺失候选,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
750,141,0.0,0.0,0,TOOL (#3),0.0,0.0,无缺失,统计候选结论，需要结合设备停机、未经过工序或采集故障记录确认
