scope,model,mse,rmse,mae,r2,mse_fold_std
random_oof,Dummy,0.04243669573868707,0.20600168867921223,0.16498252256416962,-0.0026702526308002295,0.0031957558084321157
random_oof,Ridge,0.028781502544179098,0.16965112007935315,0.10246335838644342,0.3199669313377388,0.02342492565534636
random_oof,ExtraTrees,0.01623710824034926,0.12742491216535823,0.09909581250072208,0.6163587871780817,0.0025373941993695748
random_oof,XGBoost,0.010062905937187649,0.1003140365910357,0.07759530879010161,0.7622393482195255,0.0022068137982946645
random_oof,XGB-Recency,0.010428899762627963,0.10212198471743468,0.07920388044486466,0.753591853049891,0.0018651244158285156
random_oof,MLP-Ensemble,0.01906206179102892,0.13806542576267572,0.09603232064323505,0.5496123819496457,0.008535380951359844
random_oof,RobustBlend,0.010084536020261787,0.10042179056490572,0.07768361054554254,0.761728284846592,
rolling_oof,Dummy,0.04110760186618981,0.2027500970805928,0.15786871989546408,-0.09789328840072287,0.014016940114534651
rolling_oof,Ridge,0.04262403607514846,0.2064558937767301,0.1531918455564983,-0.13839389813554392,0.023352158269557416
rolling_oof,ExtraTrees,0.02941969172818757,0.1715216946283693,0.13490530238519435,0.2142649867940546,0.014703803478991265
rolling_oof,XGBoost,0.0254210675216061,0.159439855499201,0.12528594105239207,0.32105941118136483,0.015241129694516577
rolling_oof,XGB-Recency,0.02570747495552055,0.16033550746955758,0.12545314640949265,0.3134101009524125,0.013345478425084501
rolling_oof,MLP-Ensemble,0.04065842813853093,0.20163935166165095,0.15594177381873514,-0.08589684982160417,0.016731360138756667
rolling_oof,RobustBlend,0.025260760008925166,0.15893633948510694,0.12441702196516669,0.32534087091782715,
temporal_holdout,Dummy,0.05192981708193539,0.22788114683302652,0.17363559237917697,-0.12854366875486378,
temporal_holdout,Ridge,0.04696134615607679,0.2167056671065083,0.14389614912202484,-0.02056839131602084,
temporal_holdout,ExtraTrees,0.037399798071059455,0.19339027398258543,0.138387355725828,0.18722407091845905,
temporal_holdout,XGBoost,0.032887979424025895,0.18135043265464215,0.1270768051268712,0.28527533808633665,
temporal_holdout,XGB-Recency,0.03341741384504889,0.18280430477712742,0.1268311320905658,0.2737696194560615,
temporal_holdout,MLP-Ensemble,0.038767124465448,0.19689368823161396,0.13789288047471335,0.15750920512037792,
temporal_holdout,RobustBlend,0.03288522206861141,0.1813428302101062,0.12626796660128164,0.2853352611935298,
