params,mean_test_score,std_test_score,rank_test_score,outer_fold,inner_mse
"{""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 800}",-0.011649752927395765,0.0010437316601831757,4,1,0.011649752927395765
"{""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 1200}",-0.011607133555377814,0.001046146622069607,3,1,0.011607133555377814
"{""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 800}",-0.011500264159209529,0.000997001901218182,2,1,0.011500264159209529
"{""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 1200}",-0.011441452506637771,0.0009965273824944485,1,1,0.011441452506637771
"{""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 800}",-0.012145874809171947,0.0009925079825516213,8,1,0.012145874809171947
"{""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 1200}",-0.012143187114722514,0.0009930784611327417,7,1,0.012143187114722514
"{""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 800}",-0.01205175163753023,0.0007987813028983784,6,1,0.01205175163753023
"{""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 1200}",-0.012047614150517737,0.0007995080388226763,5,1,0.012047614150517737
"{""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 800}",-0.01085481436595076,0.000761559011946961,3,2,0.01085481436595076
"{""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 1200}",-0.01074177975477273,0.0007691361239915591,1,2,0.01074177975477273
"{""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 800}",-0.010951480482423004,0.0007140293425043393,4,2,0.010951480482423004
"{""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 1200}",-0.010847646774173011,0.0007061595690609602,2,2,0.010847646774173011
"{""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 800}",-0.011916413774097604,0.0007163068635407535,6,2,0.011916413774097604
"{""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 1200}",-0.01190656288343723,0.0007174540153435621,5,2,0.01190656288343723
"{""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 800}",-0.011990154295519265,0.0007681286232201974,8,2,0.011990154295519265
"{""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 1200}",-0.011979285716433646,0.0007730277206751507,7,2,0.011979285716433646
"{""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 800}",-0.01130599494624386,0.0007197547019976885,4,3,0.01130599494624386
"{""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 1200}",-0.01123974457351838,0.0006600358311461987,3,3,0.01123974457351838
"{""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 800}",-0.011218816978731774,0.0007358614044600755,2,3,0.011218816978731774
"{""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 1200}",-0.011133173885010532,0.0007174423755520673,1,3,0.011133173885010532
"{""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 800}",-0.01188398163537916,0.0008735237028833881,8,3,0.01188398163537916
"{""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 1200}",-0.0118809630779948,0.0008685310909819952,6,3,0.0118809630779948
"{""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 800}",-0.011882016235000905,0.0007850151187818667,7,3,0.011882016235000905
"{""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 1200}",-0.011868132414830151,0.0007711790088827377,5,3,0.011868132414830151
