operation,original_features,kept_numeric,time_features,mean_missing_rate,mean_zero_rate
210,229,211,5,5.458515283842795e-05,0.06793668122270742
220,179,88,8,0.05027932960893855,0.0841550279329609
300,21,5,10,0.03875,0.04636904761904762
310,170,93,8,0.0,0.10049264705882355
311,184,131,12,0.02216032608695652,0.12464673913043478
312,679,439,0,0.02808357879234168,0.2152853460972018
330,889,417,2,0.0,0.029088863892013497
340,139,105,0,0.0,0.18900179856115107
344,398,143,0,0.5605307788944723,0.06759736180904523
360,1030,143,1,0.0,0.029138349514563105
400,183,130,12,0.0014617486338797815,0.14438524590163934
420,173,124,4,0.004364161849710983,0.18787572254335258
440A,213,199,0,0.0005692488262910798,0.0
520,382,226,8,0.01269306282722513,0.08147251308900523
750,1030,141,2,0.0,0.04413470873786408
META,39,22,0,0.12407051282051282,0.20548076923076922
