operation,feature_count,mean_shift,max_shift,mean_missing_shift
344,27,766.1010834629151,15000.166666666666,0.3438410320432792
220,4,3.145274918340222,10.200692696616702,0.0003125
400,2,1.7845435771585576,1.7873090000918812,0.008286516853932585
META,4,1.5348291275629715,1.8595505617977528,0.6973314606741573
520,52,0.820110442397929,1.0037078651685394,0.0017991032843560936
750,12,0.7462239987267673,2.5736434108527124,0.0
210,45,0.571651839396732,0.9453192098482682,0.0
330,13,0.5707709062194037,0.9884435044763875,0.17415730337078653
340,4,0.5059774964838256,2.0239099859353025,0.0
311,105,0.2618330011405566,1.7807328528371984,0.0013576779026217224
360,9,0.2037349835372628,0.5384615384615419,0.0
312,3,0.19452192112800173,0.5042961004626569,0.01882958801498127
440A,2,0.17250000000000867,0.21999999999998182,0.0
420,38,0.15841979303110346,1.0015730337078652,0.0007865168539325845
