operation,mean_importance,std_importance
311,0.3858084,0.019370623
210,0.18146804,0.031030834
420,0.07882802,0.027229408
520,0.072280265,0.033234462
344,0.05406963,0.015058895
750,0.046075292,0.016224954
220,0.04147765,0.015001465
330,0.031296935,0.015599854
300,0.015541759,0.009569049
310,0.012994511,0.011975667
400,0.011915921,0.009449426
META,0.011394984,0.0033340412
360,0.011324746,0.0036070216
210_to_220,0.009930554,0.0050278986
440A,0.008631205,0.0022383393
340,0.008320699,0.0046401815
312,0.005779779,0.0017078251
520_to_750,0.0057724817,0.0033834872
400_to_420,0.0026825026,0.0035328907
311_to_330,0.0011686028,0.0005401559
220_to_300,0.00078826724,0.00040030346
310_to_311,0.0007515536,0.00017473628
300_to_310,0.000607706,0.0004498727
360_to_400,0.00046319136,0.00019483852
420_to_520,0.000442849,0.00018809988
330_to_360,0.00018445574,0.0002587391
