scheme,fold,train_rows,valid_rows,shared_ID_groups,validation_rows_with_ID_in_training,shared_IDs
archived_holdout,0,640,160,4,4,NH1543;NH1544;NH1545;NH1546
archived_random_CV,1,512,128,10,10,NH1002;NH1025;NH1026;NH1027;NH1028;NH1036;NH1072;NH1138;NH1322;NH1470
archived_random_CV,2,512,128,8,8,NH1024;NH1025;NH1033;NH1035;NH1071;NH1079;NH1138;NH1574
archived_random_CV,3,512,128,11,11,NH1002;NH1024;NH1026;NH1031;NH1032;NH1033;NH1068;NH1072;NH1322;NH1323;NH1470
archived_random_CV,4,512,128,10,10,NH1003;NH1027;NH1031;NH1032;NH1035;NH1068;NH1071;NH1079;NH1323;NH1574
archived_random_CV,5,512,128,3,3,NH1003;NH1028;NH1036
archived_rolling_CV,1,320,80,3,3,NH1322;NH1323;NH1324
archived_rolling_CV,2,400,80,0,0,
archived_rolling_CV,3,480,80,0,0,
archived_rolling_CV,4,560,80,0,0,
