dataset,ID,rows,known_y_unique,differing_X_columns,total_X_columns
train,NH1001,2,1,184,5952
train,NH1002,2,1,184,5952
train,NH1003,2,1,183,5952
train,NH1004,2,1,180,5952
train,NH1024,2,1,187,5952
train,NH1025,2,1,184,5952
train,NH1026,2,1,175,5952
train,NH1027,2,1,183,5952
train,NH1028,2,1,184,5952
train,NH1029,2,1,184,5952
train,NH1030,2,1,188,5952
train,NH1031,2,1,187,5952
train,NH1032,2,1,187,5952
train,NH1033,2,1,179,5952
train,NH1034,2,1,186,5952
train,NH1035,2,1,178,5952
train,NH1036,2,1,181,5952
train,NH1068,2,1,184,5952
train,NH1070,2,1,183,5952
train,NH1071,2,1,183,5952
train,NH1072,2,1,185,5952
train,NH1079,2,1,181,5952
train,NH1138,2,1,196,5952
train,NH1322,2,1,16,5952
train,NH1323,2,1,16,5952
train,NH1324,2,1,16,5952
train,NH1469,2,1,200,5952
train,NH1470,2,1,202,5952
train,NH1543,2,1,16,5952
train,NH1544,2,1,16,5952
train,NH1545,2,1,16,5952
train,NH1546,2,1,16,5952
train,NH1573,2,1,16,5952
train,NH1574,2,1,16,5952
train,NH1915,2,1,220,5952
A,NH1954,2,1,220,5952
B,NH0840,2,0,190,5952
