duplicate_type,group_key,dataset,source_row_zero_based,ID,known_y,proxy_seconds
ID_within_dataset,NH1001,train,6,NH1001,2.9658237234845823,1498198472.0
ID_within_dataset,NH1001,train,7,NH1001,2.9658237234845823,1498198472.0
ID_within_dataset,NH1002,train,8,NH1002,2.7739209507579163,1498198719.0
ID_within_dataset,NH1002,train,9,NH1002,2.7739209507579163,1498198719.0
ID_within_dataset,NH1003,train,10,NH1003,3.1972194621212506,1498198380.0
ID_within_dataset,NH1003,train,11,NH1003,3.1972194621212506,1498198380.0
ID_within_dataset,NH1004,train,12,NH1004,3.112323340909583,1498198883.5
ID_within_dataset,NH1004,train,13,NH1004,3.112323340909583,1498198883.5
ID_within_dataset,NH1024,train,33,NH1024,2.9472456704550005,1498226939.0
ID_within_dataset,NH1024,train,34,NH1024,2.9472456704550005,1498226939.0
ID_within_dataset,NH1025,train,35,NH1025,2.8777555227262495,1498226283.5
ID_within_dataset,NH1025,train,36,NH1025,2.8777555227262495,1498226283.5
ID_within_dataset,NH1026,train,37,NH1026,2.97545093181875,1498226070.0
ID_within_dataset,NH1026,train,38,NH1026,2.97545093181875,1498226070.0
ID_within_dataset,NH1027,train,39,NH1027,2.7831303106066674,1498226432.0
ID_within_dataset,NH1027,train,40,NH1027,2.7831303106066674,1498226432.0
ID_within_dataset,NH1028,train,41,NH1028,2.8341194166654167,1498226362.5
ID_within_dataset,NH1028,train,42,NH1028,2.8341194166654167,1498226362.5
ID_within_dataset,NH1029,train,43,NH1029,3.133830560605,1498226307.0
ID_within_dataset,NH1029,train,44,NH1029,3.133830560605,1498226307.0
ID_within_dataset,NH1030,train,45,NH1030,2.845201545454583,1498226386.0
ID_within_dataset,NH1030,train,46,NH1030,2.845201545454583,1498226386.0
ID_within_dataset,NH1031,train,47,NH1031,2.8045438106054172,1498226606.5
ID_within_dataset,NH1031,train,48,NH1031,2.8045438106054172,1498226606.5
ID_within_dataset,NH1032,train,49,NH1032,3.2915247045458336,1498226688.0
ID_within_dataset,NH1032,train,50,NH1032,3.2915247045458336,1498226688.0
ID_within_dataset,NH1033,train,51,NH1033,2.9680374696983334,1498226764.5
ID_within_dataset,NH1033,train,52,NH1033,2.9680374696983334,1498226764.5
ID_within_dataset,NH1034,train,53,NH1034,2.864424124999583,1498226578.0
ID_within_dataset,NH1034,train,54,NH1034,2.864424124999583,1498226578.0
ID_within_dataset,NH1035,train,55,NH1035,3.172917340909583,1498191994.0
ID_within_dataset,NH1035,train,56,NH1035,3.172917340909583,1498191994.0
ID_within_dataset,NH1036,train,57,NH1036,2.999257371212083,1498226985.0
ID_within_dataset,NH1036,train,58,NH1036,2.999257371212083,1498226985.0
