stage,inner_fold,candidate,n_train,n_valid,mse
outer_1,1,raw_d2,197,60,0.021297892754317406
outer_1,1,raw_d3,197,60,0.021542882429156605
outer_1,1,full_d2,197,60,0.019316226508145313
outer_1,1,full_d3,197,60,0.02022636788123111
outer_1,2,raw_d2,257,60,0.02068962670221232
outer_1,2,raw_d3,257,60,0.020674248359473412
outer_1,2,full_d2,257,60,0.02008372840022745
outer_1,2,full_d3,257,60,0.01944822214984452
outer_2,1,raw_d2,300,60,0.020639580309865513
outer_2,1,raw_d3,300,60,0.02033358531441383
outer_2,1,full_d2,300,60,0.020424927720887956
outer_2,1,full_d3,300,60,0.0207389505939101
outer_2,2,raw_d2,357,60,0.0176265014725858
outer_2,2,raw_d3,357,60,0.01732815137951749
outer_2,2,full_d2,357,60,0.018934788936661666
outer_2,2,full_d3,357,60,0.01924027137746452
outer_3,1,raw_d2,400,60,0.04261195023383979
outer_3,1,raw_d3,400,60,0.04354207437099682
outer_3,1,full_d2,400,60,0.041707429510592954
outer_3,1,full_d3,400,60,0.04252433291559765
outer_3,2,raw_d2,460,60,0.023278416707519286
outer_3,2,raw_d3,460,60,0.023678067652039794
outer_3,2,full_d2,460,60,0.024503173478672518
outer_3,2,full_d3,460,60,0.024168909386267003
final_development,1,raw_d2,499,60,0.02533606645586096
final_development,1,raw_d3,499,60,0.025583092235386583
final_development,1,full_d2,499,60,0.025510084040771003
final_development,1,full_d3,499,60,0.024943160189936895
final_development,2,raw_d2,560,60,0.015114158617212537
final_development,2,raw_d3,560,60,0.014045589292896014
final_development,2,full_d2,560,60,0.01470820769428983
final_development,2,full_d3,560,60,0.013370334411412794
