comparison,block_length_rows,n_rows,fold_stratified,mse_difference_baseline_minus_candidate,exploratory_percentile_95_lower,exploratory_percentile_95_upper,replicates,random_seed,interpretation
B_backtest: train_plus_released_a_x1 minus train_plus_released_a_x2,1,200,True,4.671753738490728e-05,-0.000646842420486552,0.0007498004107532498,5000,20260914,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_plus_released_a_x1 minus train_plus_released_a_x2,5,200,True,4.671753738490728e-05,-0.0006970378195772345,0.000853245554919232,5000,20260918,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_plus_released_a_x1 minus train_plus_released_a_x2,10,200,True,4.671753738490728e-05,-0.00074935661343086,0.0008665387896760513,5000,20260923,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_plus_released_a_x1 minus train_plus_released_a_x2,20,200,True,4.671753738490728e-05,-0.0007388092512195787,0.0007797890361504593,5000,20260933,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_only_robust_blend minus train_plus_released_a_x1,1,200,True,0.008527569241183537,0.004916666131764136,0.012187615221141293,5000,20260914,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_only_robust_blend minus train_plus_released_a_x1,5,200,True,0.008527569241183537,0.0036179576226166585,0.013711481506542382,5000,20260918,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_only_robust_blend minus train_plus_released_a_x1,10,200,True,0.008527569241183537,0.0028300898168931612,0.014446227614737768,5000,20260923,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_only_robust_blend minus train_plus_released_a_x1,20,200,True,0.008527569241183537,0.0033272393323882186,0.014228569255814361,5000,20260933,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_only_robust_blend minus train_plus_released_a_x2,1,200,True,0.008574286778568444,0.004827056521014682,0.012338110063961792,5000,20260914,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_only_robust_blend minus train_plus_released_a_x2,5,200,True,0.008574286778568444,0.0034483163082343533,0.013999243449520667,5000,20260918,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_only_robust_blend minus train_plus_released_a_x2,10,200,True,0.008574286778568444,0.002652375772757188,0.014674675673821662,5000,20260923,exploratory sensitivity only; no post-selection or batch-valid significance claim
B_backtest: train_only_robust_blend minus train_plus_released_a_x2,20,200,True,0.008574286778568444,0.003185788847471811,0.014461067351230136,5000,20260933,exploratory sensitivity only; no post-selection or batch-valid significance claim
retrospective_A: original_blend minus current,1,300,False,0.002491399692193362,0.0015662938429460765,0.0034110665639269762,5000,20260914,exploratory sensitivity only; no post-selection or batch-valid significance claim
retrospective_A: original_blend minus current,5,300,False,0.002491399692193362,0.0014442099355949421,0.003568257750108883,5000,20260918,exploratory sensitivity only; no post-selection or batch-valid significance claim
retrospective_A: original_blend minus current,10,300,False,0.002491399692193362,0.0013197696040894665,0.0037288753548317347,5000,20260923,exploratory sensitivity only; no post-selection or batch-valid significance claim
retrospective_A: original_blend minus current,20,300,False,0.002491399692193362,0.0011676021902634153,0.003838404784035241,5000,20260933,exploratory sensitivity only; no post-selection or batch-valid significance claim
