strategy,fold,rows,mse,rmse,mae,r2,bias_prediction_minus_y
train_only_robust_blend,1,50,0.03854762043482337,0.19633547930729017,0.16750468404828697,-0.16528446730339352,0.1615481365100594
train_only_robust_blend,2,50,0.029205777073763994,0.17089697795386552,0.14215739119788492,0.5289968342482091,0.013184544195788605
train_only_robust_blend,3,100,0.025102931348072482,0.15843904615994278,0.12888107222279951,0.5847005778379536,-0.0052356489265144605
train_plus_released_a_x1,1,50,0.014084624203425225,0.11867865942714902,0.09659812486990482,0.5742255001237393,0.035828671890104954
train_plus_released_a_x1,2,50,0.03210176013185131,0.17916964065335206,0.13440272997238772,0.4822931569285601,-0.07106632078681639
train_plus_released_a_x1,3,100,0.018831299452360825,0.13722718190052882,0.10908666978214111,0.688457587973031,-0.006575138545451647
train_plus_released_a_x2,1,50,0.014306202642971368,0.11960853917246614,0.0979740260990161,0.5675272419438598,0.03753516717513917
train_plus_released_a_x2,2,50,0.03192584408920681,0.17867804590717576,0.13297160156881108,0.4851301645788896,-0.0692764219144409
train_plus_released_a_x2,3,100,0.018715033179140188,0.13680289901584758,0.11098151463617677,0.690381081106799,-0.007121703601298823
train_plus_released_a_x4,1,50,0.015467600397973198,0.12436880797842037,0.1031728060428052,0.5324184920651758,0.03288585229476804
train_plus_released_a_x4,2,50,0.030242559247513113,0.17390387933428372,0.13054282705352294,0.5122765913730578,-0.06538600290809322
train_plus_released_a_x4,3,100,0.01951557867079328,0.13969816989063702,0.11442901136083254,0.6771369672824791,0.0022135663266797012
