row_index,ID,missing_count,missing_rate,all_missing_operations,partial_missing_operations,Y,Tool,highest_missing_operation,highest_operation_missing_rate
0,NH0995,1,0.00038211692777990065,0,1,2.814025348484583,O,311,0.007633587786259542
1,NH0996,0,0.0,0,0,2.78295470454625,O,210,0.0
2,NH0997,5,0.0019105846388995033,0,1,2.7259733598475004,O,311,0.03816793893129771
3,NH0998,0,0.0,0,0,2.7947683712120837,O,210,0.0
4,NH0999,3,0.0011463507833397019,0,1,2.787539200757083,N,311,0.022900763358778626
5,NH1000,2,0.0007642338555598013,0,2,2.5691751628791666,L,300,0.2
6,NH1001,78,0.02980512036683225,0,1,2.9658237234845823,N,344,0.4755244755244755
7,NH1001,78,0.02980512036683225,0,1,2.9658237234845823,O,344,0.4755244755244755
8,NH1002,78,0.02980512036683225,0,1,2.7739209507579163,L,344,0.4755244755244755
9,NH1002,78,0.02980512036683225,0,1,2.7739209507579163,O,344,0.4755244755244755
10,NH1003,83,0.03171570500573175,0,2,3.1972194621212506,N,344,0.4755244755244755
11,NH1003,83,0.03171570500573175,0,2,3.1972194621212506,O,344,0.4755244755244755
12,NH1004,79,0.030187237294612153,0,2,3.112323340909583,N,344,0.4755244755244755
13,NH1004,79,0.030187237294612153,0,2,3.112323340909583,O,344,0.4755244755244755
14,NH1005,74,0.028276652655712647,0,2,2.756221803030417,L,300,0.4
15,NH1006,72,0.027512418800152847,0,1,3.122650814393333,M,312,0.16400911161731208
16,NH1007,73,0.027894535727932747,0,2,2.9521636515150003,L,300,0.2
17,NH1008,73,0.027894535727932747,0,2,3.0680799873733338,M,300,0.2
18,NH1009,72,0.027512418800152847,0,1,2.652616911615555,L,312,0.16400911161731208
19,NH1010,73,0.027894535727932747,0,2,2.954648253787917,M,312,0.16400911161731208
20,NH1011,73,0.027894535727932747,0,2,2.739788863636666,L,312,0.16400911161731208
21,NH1012,72,0.027512418800152847,0,1,2.908289215909583,M,312,0.16400911161731208
22,NH1013,73,0.027894535727932747,0,2,2.911308340909167,M,312,0.16400911161731208
23,NH1014,2,0.0007642338555598013,0,2,2.777979219696667,O,300,0.2
24,NH1015,2,0.0007642338555598013,0,1,2.5617208522729173,O,311,0.015267175572519083
25,NH1016,1,0.00038211692777990065,0,1,2.7517345643929176,O,311,0.007633587786259542
26,NH1017,1,0.00038211692777990065,0,1,3.0183430984837494,O,311,0.007633587786259542
27,NH1018,2,0.0007642338555598013,0,2,2.6919653901504166,O,300,0.2
28,NH1019,1,0.00038211692777990065,0,1,2.7220047992416667,O,311,0.007633587786259542
29,NH1020,0,0.0,0,0,2.7690984053041667,O,210,0.0
30,NH1021,3,0.0011463507833397019,0,2,2.6494786287883336,M,300,0.4
31,NH1022,2,0.0007642338555598013,0,2,2.9623063106049994,L,300,0.2
