stage,elapsed_sec,rows,columns,note
数据读取与结构审计,7.0722615999984555,800,2703,删除全空227、常量717、重复2305；识别时间列72
CV Fold 1,10.074514400002954,640,769,Fold内填充、稳定筛选、工序特征、时间特征与候选模型
CV Fold 2,10.630023699995945,640,784,Fold内填充、稳定筛选、工序特征、时间特征与候选模型
CV Fold 3,9.445803400005389,640,777,Fold内填充、稳定筛选、工序特征、时间特征与候选模型
CV Fold 4,10.034043799998472,640,684,Fold内填充、稳定筛选、工序特征、时间特征与候选模型
CV Fold 5,12.314302300001145,640,725,Fold内填充、稳定筛选、工序特征、时间特征与候选模型
开发集五折交叉验证,52.499230300003546,640,725,6类模型
滚动时间CV Fold 1,8.750894900003914,400,730,仅用过去批次预测未来批次
滚动时间CV Fold 2,10.559823700001289,480,744,仅用过去批次预测未来批次
滚动时间CV Fold 3,10.442498900003557,560,772,仅用过去批次预测未来批次
滚动时间CV Fold 4,11.403720700000122,640,777,仅用过去批次预测未来批次
滚动时间交叉验证,41.15813519999938,320,777,用于融合权重、时间泛化选择与预测区间校准
锁定时间外推集评估,12.627138199997717,160,766,RobustBlend MSE=0.032885
全量重训与测试集推理,15.797451000005822,1512,802,生成A/B提交文件与90%预测区间
完整新方案,130.45559140000114,800,802,从原始Excel到CV、外推验证、解释、漂移与提交
