feature,operation,sample_value,development_median,development_q01,development_q99,percentile_rank
311X223,311,109.0,109.0,50.0,198.0,0.697560975609756
311X32,311,301.0,301.0,300.0,301.0,1.0
311X25,311,9242.0,4705.0,2768.24,13441.06,0.7414634146341463
311X26,311,9242.0,4732.0,2768.24,13441.06,0.7414634146341463
311X154,311,-0.1,0.0,-0.1,0.0,0.4813008130081301
311X129,311,0.0,0.1,0.0,0.2,0.23252032520325203
311X1,311,6.0,5.0,0.0,11.0,0.7203252032520325
311X87,311,7.3,8.2,6.128,9.8,0.08617886178861789
311X189,311,51.0,52.4,49.5,58.0,0.13333333333333333
311X205,311,54.7,54.9,54.2,58.8,0.42601626016260163
311X203,311,54.7,54.9,54.1,58.7,0.44227642276422763
311X188,311,44.7,46.3,43.514,48.9,0.191869918699187
311X207,311,54.7,54.9,54.1,58.7,0.44715447154471544
311X192,311,14.12,14.08,13.96,14.13,0.9626016260162602
311X187,311,44.6,46.2,43.6,48.7,0.25203252032520324
311X190,311,44.6,46.2,43.5,48.7,0.25365853658536586
311X191,311,44.6,46.2,43.6,48.7,0.24715447154471545
311X204,311,54.6,54.7,53.6,58.6,0.4943089430894309
311X184,311,37.9,37.9,37.0,39.5,0.7138211382113822
311X90,311,8.3,8.5,6.7,10.2,0.4292682926829268
311X62,311,365.1,366.1,365.0,369.1,0.25365853658536586
311X86,311,8.0,8.5,6.5,10.3,0.2731707317073171
311X63,311,365.2,366.2,365.1,369.2,0.25365853658536586
311X9,311,38.7,38.5,38.0,39.7,0.775609756097561
311X30,311,301.0,301.0,300.0,301.0,1.0
311X65,311,365.1,366.2,365.1,369.2,0.1821138211382114
311X152,311,0.0,0.0,-0.1,0.0,1.0
311X135,311,12.9,12.9,12.9,13.1,0.6601626016260163
311X88,311,8.0,8.5,6.514,10.3,0.22439024390243903
311X66,311,365.0,366.0,365.0,369.0,0.25365853658536586
