fold,model,selected_parameters,pooled_inner_mse
1,Ridge,"{""alpha"": 1000}",0.022110186706395207
1,RandomForest,"{""min_samples_leaf"": 2}",0.023380448157396757
1,GBR,"{""max_depth"": 3}",0.020483185113604314
1,SVR,"{""C"": 1}",0.02516853307564866
1,LightGBM,"{""num_leaves"": 7}",0.0216356246754283
1,CatBoost,"{""depth"": 4}",0.020643860508939058
1,XGBoost,"{""max_depth"": 2}",0.018576500694888417
1,TemporalStacking,"{""meta_weights"": [0.2130551904546678, 0.9778685696261178, -0.6455935586507148, 0.6916841143336194], ""intercept"": -0.7253712647427086}",
2,Ridge,"{""alpha"": 1000}",0.021783403810263453
2,RandomForest,"{""min_samples_leaf"": 5}",0.021226755283001095
2,GBR,"{""max_depth"": 3}",0.021237252876255285
2,SVR,"{""C"": 1}",0.01926724085320501
2,LightGBM,"{""num_leaves"": 15}",0.0198315982711252
2,CatBoost,"{""depth"": 6}",0.018426283794686336
2,XGBoost,"{""max_depth"": 2}",0.020722554924724888
2,TemporalStacking,"{""meta_weights"": [0.11621188993817777, 0.16739711449900768, 0.16688081010498634, 0.33451675137740833], ""intercept"": 0.584246051614886}",
3,Ridge,"{""alpha"": 1000}",0.04276634437555312
3,RandomForest,"{""min_samples_leaf"": 2}",0.03424111687315628
3,GBR,"{""max_depth"": 3}",0.03455084005447265
3,SVR,"{""C"": 10}",0.03430386203287238
3,LightGBM,"{""num_leaves"": 7}",0.03525775354253792
3,CatBoost,"{""depth"": 6}",0.02996709828871024
3,XGBoost,"{""max_depth"": 2}",0.03199399565749111
3,TemporalStacking,"{""meta_weights"": [-0.21454454194145825, 0.34909597658577163, 0.671221081109982, 0.29623289809221437], ""intercept"": -0.2272370710770324}",
