outer_fold,inner_fold,family,parameters,mse,n
1,1,Ridge,"{""alpha"": 10}",0.05238404245846842,60
1,2,Ridge,"{""alpha"": 10}",0.03510438800565048,60
1,1,Ridge,"{""alpha"": 100}",0.0308138544353174,60
1,2,Ridge,"{""alpha"": 100}",0.022117691490958345,60
1,1,Ridge,"{""alpha"": 1000}",0.02441031466274268,60
1,2,Ridge,"{""alpha"": 1000}",0.019810058750047734,60
1,1,RandomForest,"{""min_samples_leaf"": 2}",0.025141695379399396,60
1,2,RandomForest,"{""min_samples_leaf"": 2}",0.02161920093539412,60
1,1,RandomForest,"{""min_samples_leaf"": 5}",0.024997130363183576,60
1,2,RandomForest,"{""min_samples_leaf"": 5}",0.021788518298056166,60
1,1,GBR,"{""max_depth"": 2}",0.021469657035946863,60
1,2,GBR,"{""max_depth"": 2}",0.02102926596785315,60
1,1,GBR,"{""max_depth"": 3}",0.02106790923681747,60
1,2,GBR,"{""max_depth"": 3}",0.01989846099039116,60
1,1,SVR,"{""C"": 1}",0.027437682103736913,60
1,2,SVR,"{""C"": 1}",0.022899384047560412,60
1,1,SVR,"{""C"": 10}",0.027437682103736913,60
1,2,SVR,"{""C"": 10}",0.022899384047560412,60
1,1,LightGBM,"{""num_leaves"": 7}",0.02401303691996183,60
1,2,LightGBM,"{""num_leaves"": 7}",0.019258212430894782,60
1,1,LightGBM,"{""num_leaves"": 15}",0.027648171573341793,60
1,2,LightGBM,"{""num_leaves"": 15}",0.018360753249393288,60
1,1,CatBoost,"{""depth"": 4}",0.020549633187736116,60
1,2,CatBoost,"{""depth"": 4}",0.020738087830142003,60
1,1,CatBoost,"{""depth"": 6}",0.022142193946581953,60
1,2,CatBoost,"{""depth"": 6}",0.02030983232859407,60
1,1,XGBoost,"{""max_depth"": 2}",0.0182447957494017,60
1,2,XGBoost,"{""max_depth"": 2}",0.018908205640375132,60
1,1,XGBoost,"{""max_depth"": 3}",0.02021667098498044,60
1,2,XGBoost,"{""max_depth"": 3}",0.018188263371674996,60
2,1,Ridge,"{""alpha"": 10}",0.03307823123311718,60
2,2,Ridge,"{""alpha"": 10}",0.04323436721409676,60
2,1,Ridge,"{""alpha"": 100}",0.022490738468980497,60
2,2,Ridge,"{""alpha"": 100}",0.027902853303224295,60
2,1,Ridge,"{""alpha"": 1000}",0.02205171239286792,60
2,2,Ridge,"{""alpha"": 1000}",0.02151509522765899,60
2,1,RandomForest,"{""min_samples_leaf"": 2}",0.02164966584551098,60
2,2,RandomForest,"{""min_samples_leaf"": 2}",0.02113669200633894,60
2,1,RandomForest,"{""min_samples_leaf"": 5}",0.021572773593275477,60
2,2,RandomForest,"{""min_samples_leaf"": 5}",0.02088073697272672,60
2,1,GBR,"{""max_depth"": 2}",0.023248479223736154,60
2,2,GBR,"{""max_depth"": 2}",0.022596701694125684,60
2,1,GBR,"{""max_depth"": 3}",0.02115018741898943,60
2,2,GBR,"{""max_depth"": 3}",0.021324318333521143,60
2,1,SVR,"{""C"": 1}",0.02175976841934723,60
2,2,SVR,"{""C"": 1}",0.016774713287062794,60
2,1,SVR,"{""C"": 10}",0.02175976841934723,60
2,2,SVR,"{""C"": 10}",0.016774713287062794,60
2,1,LightGBM,"{""num_leaves"": 7}",0.02064009245609247,60
2,2,LightGBM,"{""num_leaves"": 7}",0.020221180040415947,60
2,1,LightGBM,"{""num_leaves"": 15}",0.020474889626638106,60
2,2,LightGBM,"{""num_leaves"": 15}",0.019188306915612297,60
2,1,CatBoost,"{""depth"": 4}",0.021138353240617646,60
2,2,CatBoost,"{""depth"": 4}",0.02164794988031805,60
2,1,CatBoost,"{""depth"": 6}",0.019575601373819793,60
2,2,CatBoost,"{""depth"": 6}",0.017276966215552875,60
2,1,XGBoost,"{""max_depth"": 2}",0.02208541035900279,60
2,2,XGBoost,"{""max_depth"": 2}",0.019359699490446986,60
2,1,XGBoost,"{""max_depth"": 3}",0.021591021346092625,60
2,2,XGBoost,"{""max_depth"": 3}",0.02031054184816465,60
3,1,Ridge,"{""alpha"": 10}",0.0761337421978858,60
3,2,Ridge,"{""alpha"": 10}",0.05018898391352258,60
3,1,Ridge,"{""alpha"": 100}",0.0766667578838966,60
3,2,Ridge,"{""alpha"": 100}",0.03237212071362298,60
3,1,Ridge,"{""alpha"": 1000}",0.05812081604360028,60
3,2,Ridge,"{""alpha"": 1000}",0.027411872707505964,60
3,1,RandomForest,"{""min_samples_leaf"": 2}",0.04133632434485124,60
3,2,RandomForest,"{""min_samples_leaf"": 2}",0.02714590940146131,60
3,1,RandomForest,"{""min_samples_leaf"": 5}",0.0408849019078262,60
3,2,RandomForest,"{""min_samples_leaf"": 5}",0.02772355869572227,60
3,1,GBR,"{""max_depth"": 2}",0.04552976972743469,60
3,2,GBR,"{""max_depth"": 2}",0.024177830213075232,60
3,1,GBR,"{""max_depth"": 3}",0.04492823358592599,60
3,2,GBR,"{""max_depth"": 3}",0.024173446523019306,60
3,1,SVR,"{""C"": 1}",0.04135620614872919,60
3,2,SVR,"{""C"": 1}",0.027252367391959756,60
3,1,SVR,"{""C"": 10}",0.04135620614872919,60
3,2,SVR,"{""C"": 10}",0.027251517917015577,60
3,1,LightGBM,"{""num_leaves"": 7}",0.04525529876274622,60
3,2,LightGBM,"{""num_leaves"": 7}",0.025260208322329607,60
3,1,LightGBM,"{""num_leaves"": 15}",0.046532986777734424,60
3,2,LightGBM,"{""num_leaves"": 15}",0.02464396604886102,60
3,1,CatBoost,"{""depth"": 4}",0.03813836076225483,60
3,2,CatBoost,"{""depth"": 4}",0.023619779103646654,60
3,1,CatBoost,"{""depth"": 6}",0.03595012062778959,60
3,2,CatBoost,"{""depth"": 6}",0.023984075949630868,60
3,1,XGBoost,"{""max_depth"": 2}",0.03828859532703206,60
3,2,XGBoost,"{""max_depth"": 2}",0.02569939598795016,60
3,1,XGBoost,"{""max_depth"": 3}",0.04185714075383682,60
3,2,XGBoost,"{""max_depth"": 3}",0.024968247857341155,60
