fold,stage,model,seconds
1,inner,Ridge,0.014532300003338605
1,inner,Ridge,0.0104810000048019
1,inner,Ridge,0.00872230000095442
1,inner,Ridge,0.009194600002956577
1,inner,Ridge,0.009200400003464893
1,inner,Ridge,0.009744800001499243
1,inner,RandomForest,1.2583307000022614
1,inner,RandomForest,1.4314436999993632
1,inner,RandomForest,0.8887140000006184
1,inner,RandomForest,1.1109018999995897
1,inner,GBR,4.238296299998183
1,inner,GBR,5.401807399997779
1,inner,GBR,6.120099499996286
1,inner,GBR,7.939538599996013
1,inner,SVR,0.01428440000017872
1,inner,SVR,0.014591099999961443
1,inner,SVR,0.01285170000483049
1,inner,SVR,0.014844599994830787
1,inner,LightGBM,0.41483449999941513
1,inner,LightGBM,0.44591639999998733
1,inner,LightGBM,0.6608018000042648
1,inner,LightGBM,0.8442503999976907
1,inner,CatBoost,5.052630999998655
1,inner,CatBoost,5.208970799998497
1,inner,CatBoost,13.923288400001184
1,inner,CatBoost,16.025308700001915
1,inner,XGBoost,1.712095800001407
1,inner,XGBoost,1.606719499999599
1,inner,XGBoost,1.6747443999993266
1,inner,XGBoost,1.8661056000055396
1,outer,Ridge,0.011965199999394827
1,outer,RandomForest,1.896510099999432
1,outer,GBR,9.016388600000937
1,outer,SVR,0.023304800000914838
1,outer,LightGBM,0.4686661000014283
1,outer,CatBoost,5.218627000002016
1,outer,XGBoost,1.9308663999981945
1,outer,Ridge,0.012808999999833759
1,outer,RandomForest,2.1805750999992597
1,outer,GBR,9.182631700001366
1,outer,SVR,0.02331449999473989
1,outer,LightGBM,0.4742624999998952
1,outer,CatBoost,5.152367199996661
1,outer,XGBoost,1.7791731000033906
1,outer,Ridge,0.013941299999714829
1,outer,RandomForest,2.021862900000997
1,outer,GBR,9.46009839999897
1,outer,SVR,0.022305899998173118
1,outer,LightGBM,0.44611799999984214
1,outer,CatBoost,5.310940100003791
1,outer,XGBoost,1.9230375999977696
2,inner,Ridge,0.011372100001608487
2,inner,Ridge,0.012400799998431467
2,inner,Ridge,0.009821300001931377
2,inner,Ridge,0.01169849999860162
2,inner,Ridge,0.009892800000670832
2,inner,Ridge,0.012047199998050928
2,inner,RandomForest,1.8179399000000558
2,inner,RandomForest,2.0012562999982038
2,inner,RandomForest,1.2318125999954646
2,inner,RandomForest,1.627927000001364
2,inner,GBR,5.869854200005648
2,inner,GBR,6.958184000002802
2,inner,GBR,8.925617499997315
2,inner,GBR,10.204258400000981
2,inner,SVR,0.019293800003651995
2,inner,SVR,0.02350089999526972
2,inner,SVR,0.0188408999965759
2,inner,SVR,0.024017799994908273
2,inner,LightGBM,0.4046883000046364
2,inner,LightGBM,0.4579719999965164
2,inner,LightGBM,0.8972493999972357
2,inner,LightGBM,1.0225840999992215
2,inner,CatBoost,5.175621399997908
2,inner,CatBoost,5.102298800004064
2,inner,CatBoost,16.180502900002466
2,inner,CatBoost,16.383250599996245
2,inner,XGBoost,1.7190276000037557
2,inner,XGBoost,1.9094649999969988
2,inner,XGBoost,1.9654797000039252
2,inner,XGBoost,2.339052100003755
2,outer,Ridge,0.016872499996679835
2,outer,RandomForest,2.0932385000051
2,outer,GBR,12.08312609999848
2,outer,SVR,0.03286210000078427
2,outer,LightGBM,1.0173047999996925
2,outer,CatBoost,17.393530000001192
2,outer,XGBoost,2.153580600002897
2,outer,Ridge,0.015176500004599802
2,outer,RandomForest,1.9514707999987877
2,outer,GBR,11.864049100004195
2,outer,SVR,0.03563649999705376
