fold,seed,tool,n_groups,n_group_field_cells,singleton_cells,below_5_cells,minimum_positive_count
1,42,TOOL,5,1040,0,0,9
1,42,Tool,2,174,0,0,132
1,42,TOOL_ID,2,22,0,0,43
1,42,Tool (#1),3,720,238,240,1
1,42,Chamber ID,3,1341,0,0,44
1,42,TOOL (#2),4,1644,0,0,14
1,42,Tool (#2),2,206,0,0,19
1,42,Tool (#3),2,306,0,0,31
1,42,Tool (#4),5,2035,407,1221,1
1,42,OPERATION_ID,2,392,0,1,14
1,42,Tool (#5),2,478,239,239,1
1,42,TOOL (#3),4,564,0,141,3
1,143,TOOL,5,1040,0,0,9
1,143,Tool,2,174,0,0,132
1,143,TOOL_ID,2,22,0,0,43
1,143,Tool (#1),3,720,238,240,1
1,143,Chamber ID,3,1341,0,0,44
1,143,TOOL (#2),4,1644,0,0,14
1,143,Tool (#2),2,206,0,0,19
1,143,Tool (#3),2,306,0,0,31
1,143,Tool (#4),5,2035,407,1221,1
1,143,OPERATION_ID,2,392,0,1,14
1,143,Tool (#5),2,478,239,239,1
1,143,TOOL (#3),4,564,0,141,3
1,244,TOOL,5,1040,0,0,9
1,244,Tool,2,174,0,0,132
1,244,TOOL_ID,2,22,0,0,43
1,244,Tool (#1),3,720,238,240,1
1,244,Chamber ID,3,1341,0,0,44
1,244,TOOL (#2),4,1644,0,0,14
1,244,Tool (#2),2,206,0,0,19
1,244,Tool (#3),2,306,0,0,31
1,244,Tool (#4),5,2035,407,1221,1
1,244,OPERATION_ID,2,392,0,1,14
1,244,Tool (#5),2,478,239,239,1
1,244,TOOL (#3),4,564,0,141,3
2,42,TOOL,5,1045,0,0,13
2,42,Tool,2,176,0,0,144
2,42,TOOL_ID,2,22,0,0,90
2,42,Tool (#1),3,723,0,0,5
2,42,Chamber ID,3,1344,0,0,58
2,42,TOOL (#2),4,1660,0,0,17
2,42,Tool (#2),2,210,0,0,30
2,42,Tool (#3),2,306,0,0,44
2,42,Tool (#4),5,2040,0,816,2
2,42,OPERATION_ID,2,394,0,1,20
2,42,Tool (#5),2,482,241,241,1
2,42,TOOL (#3),5,705,0,141,3
2,143,TOOL,5,1045,0,0,13
2,143,Tool,2,176,0,0,144
2,143,TOOL_ID,2,22,0,0,90
2,143,Tool (#1),3,723,0,0,5
2,143,Chamber ID,3,1344,0,0,58
2,143,TOOL (#2),4,1660,0,0,17
2,143,Tool (#2),2,210,0,0,30
2,143,Tool (#3),2,306,0,0,44
2,143,Tool (#4),5,2040,0,816,2
2,143,OPERATION_ID,2,394,0,1,20
2,143,Tool (#5),2,482,241,241,1
2,143,TOOL (#3),5,705,0,141,3
2,244,TOOL,5,1045,0,0,13
2,244,Tool,2,176,0,0,144
2,244,TOOL_ID,2,22,0,0,90
2,244,Tool (#1),3,723,0,0,5
2,244,Chamber ID,3,1344,0,0,58
2,244,TOOL (#2),4,1660,0,0,17
2,244,Tool (#2),2,210,0,0,30
2,244,Tool (#3),2,306,0,0,44
2,244,Tool (#4),5,2040,0,816,2
2,244,OPERATION_ID,2,394,0,1,20
2,244,Tool (#5),2,482,241,241,1
2,244,TOOL (#3),5,705,0,141,3
3,42,TOOL,5,1050,0,0,39
3,42,Tool,2,176,0,0,149
3,42,TOOL_ID,2,22,0,0,184
3,42,Tool (#1),3,723,0,0,5
3,42,Chamber ID,3,1437,0,0,84
3,42,TOOL (#2),4,1660,0,0,17
3,42,Tool (#2),2,210,0,0,30
3,42,Tool (#3),2,306,0,0,66
3,42,Tool (#4),5,2045,0,818,3
3,42,OPERATION_ID,2,398,0,1,46
3,42,Tool (#5),2,482,241,241,1
3,42,TOOL (#3),5,705,0,141,3
3,143,TOOL,5,1050,0,0,39
3,143,Tool,2,176,0,0,149
3,143,TOOL_ID,2,22,0,0,184
3,143,Tool (#1),3,723,0,0,5
3,143,Chamber ID,3,1437,0,0,84
3,143,TOOL (#2),4,1660,0,0,17
3,143,Tool (#2),2,210,0,0,30
3,143,Tool (#3),2,306,0,0,66
3,143,Tool (#4),5,2045,0,818,3
3,143,OPERATION_ID,2,398,0,1,46
3,143,Tool (#5),2,482,241,241,1
3,143,TOOL (#3),5,705,0,141,3
3,244,TOOL,5,1050,0,0,39
3,244,Tool,2,176,0,0,149
3,244,TOOL_ID,2,22,0,0,184
3,244,Tool (#1),3,723,0,0,5
3,244,Chamber ID,3,1437,0,0,84
3,244,TOOL (#2),4,1660,0,0,17
3,244,Tool (#2),2,210,0,0,30
3,244,Tool (#3),2,306,0,0,66
3,244,Tool (#4),5,2045,0,818,3
3,244,OPERATION_ID,2,398,0,1,46
3,244,Tool (#5),2,482,241,241,1
3,244,TOOL (#3),5,705,0,141,3
