scope,model,n,mse,rmse,mae,r2
ablation,basic,300,0.024532548667364762,0.1566286968194678,0.1289705718142775,0.3389955206242615
ablation,full,300,0.023679397438315757,0.15388111462527088,0.12576886298445375,0.3619828095371539
ablation,group_min5,300,0.02367940051762492,0.15388112463075163,0.12576891941018414,0.3619827265683121
ablation,group_min5_shrink10,300,0.02330874251693433,0.15267200960534424,0.12422250954570871,0.3719697280044435
ablation,measurements,300,0.024149279845936605,0.1554003856042082,0.1275365034155952,0.34932230775119744
ablation,median_only,300,0.02369704384005994,0.15393844172285212,0.12592982583202952,0.36150734525678396
ablation,no_mask,300,0.023172599128675784,0.15222548777611383,0.12375648282821598,0.3756379726167941
ablation,process_only,300,0.024290668368274926,0.15585463858440315,0.12698881392394304,0.3455127383556509
ablation,time_only,300,0.022162226918352537,0.1488698321297923,0.12108609740965032,0.40286142036842854
reverse_time,basic,300,0.028099793630821754,0.1676299305936197,0.13146770260927035,0.2428797467661471
reverse_time,full,300,0.02770411717086746,0.16644553815247634,0.12975342301011733,0.25354084504662266
sensitivity,drift_0,300,0.024720755449021907,0.15722835446897582,0.12805855621669635,0.33392448102657957
sensitivity,drift_0.5,300,0.02386046111849503,0.1544683175233518,0.12588326193940536,0.35710423351663756
sensitivity,importance_0.5,300,0.02351651931328715,0.1533509677611692,0.12490909322642722,0.36637139433916643
sensitivity,importance_0.9,300,0.02333570624704211,0.15276029015107986,0.12319128606647138,0.37124321782306835
sensitivity,lr0.025,300,0.025506837453850306,0.15970860169023554,0.12985463372606024,0.3127443038915617
sensitivity,mask0,300,0.023728637294482678,0.15404102471251832,0.12364606274154617,0.3606560918800745
sensitivity,mask0.02,300,0.02490562199966119,0.15781515136279275,0.1280654229547711,0.3289434405437428
sensitivity,reference_seed42,300,0.024816306294416217,0.15753192150931258,0.1279027961714535,0.3313499610421232
sensitivity,reg0.1_10,300,0.025050184328173367,0.15827250022721373,0.12743505224586862,0.32504835618087535
sensitivity,reg0_1,300,0.02315386917480795,0.1521639549131395,0.12312480790581434,0.3761426321029733
sensitivity,rounds600,300,0.02518522553552888,0.15869853665213451,0.1291267774667817,0.321409808707777
sensitivity,top160,300,0.024086669340933373,0.15519880586181511,0.12670382595331342,0.35100928389151853
sensitivity,top640,300,0.024146065470901923,0.1553900430236826,0.12544995503995365,0.34940891580505795
