fold,seed,variant,numeric_kept,raw_selected,time_fields,engineered
1,42,measurements,2664,320,70,365
1,42,basic,2664,320,70,485
1,42,process_only,2664,320,70,650
1,42,time_only,2664,320,70,560
1,42,full,2664,320,70,725
1,42,no_mask,2664,320,70,579
1,143,measurements,2664,320,70,365
1,143,basic,2664,320,70,495
1,143,process_only,2664,320,70,660
1,143,time_only,2664,320,70,570
1,143,full,2664,320,70,735
1,143,no_mask,2664,320,70,579
1,244,measurements,2664,320,70,365
1,244,basic,2664,320,70,486
1,244,process_only,2664,320,70,651
1,244,time_only,2664,320,70,561
1,244,full,2664,320,70,726
1,244,no_mask,2664,320,70,579
2,42,measurements,2678,320,72,366
2,42,basic,2678,320,72,552
2,42,process_only,2678,320,72,717
2,42,time_only,2678,320,72,627
2,42,full,2678,320,72,792
2,42,no_mask,2678,320,72,580
2,143,measurements,2678,320,72,366
2,143,basic,2678,320,72,547
2,143,process_only,2678,320,72,712
2,143,time_only,2678,320,72,622
2,143,full,2678,320,72,787
2,143,no_mask,2678,320,72,580
2,244,measurements,2678,320,72,366
2,244,basic,2678,320,72,546
2,244,process_only,2678,320,72,711
2,244,time_only,2678,320,72,621
2,244,full,2678,320,72,786
2,244,no_mask,2678,320,72,580
3,42,measurements,2713,320,73,366
3,42,basic,2713,320,73,526
3,42,process_only,2713,320,73,691
3,42,time_only,2713,320,73,601
3,42,full,2713,320,73,766
3,42,no_mask,2713,320,73,580
3,143,measurements,2713,320,73,366
3,143,basic,2713,320,73,526
3,143,process_only,2713,320,73,691
3,143,time_only,2713,320,73,601
3,143,full,2713,320,73,766
3,143,no_mask,2713,320,73,580
3,244,measurements,2713,320,73,366
3,244,basic,2713,320,73,531
3,244,process_only,2713,320,73,696
3,244,time_only,2713,320,73,606
3,244,full,2713,320,73,771
3,244,no_mask,2713,320,73,580
