fold,seed,feature
1,42,311X32
1,42,311X129
1,42,311X192
1,42,311X196
1,42,311X29
1,42,311X33
1,42,311X194
1,42,311X183
1,42,344X48
1,42,344X114
1,42,344X103
1,42,344X87
1,42,344X110
1,42,344X85
1,42,344X158
1,42,344X83
1,42,344X154
1,42,344X119
1,42,344X5
1,42,344X105
1,42,311X189
1,42,311X131
1,42,311X137
1,42,344X92
1,42,311X193
1,42,344X13
1,42,344X10
1,42,344X159
1,42,311X184
1,42,344X19
1,42,311X152
1,42,311X223
1,42,344X190
1,42,311X147
1,42,344X172
1,42,ERROR:#N/A_9
1,42,520X33
1,42,ERROR:#N/A_16
1,42,344X221
1,42,344X6
1,42,344X225
1,42,520X32
1,42,ERROR:#N/A_8
1,42,344X212
1,42,344X1
1,42,344X78
1,42,311X89
1,42,311X90
1,42,344X15
1,42,344X53
1,42,311X9
1,42,311X135
1,42,311X146
1,42,311X211
1,42,311X11
1,42,311X117
1,42,344X208
1,42,344X64
1,42,344X73
1,42,311X133
1,42,311X88
1,42,311X68
1,42,344X186
1,42,344X55
1,42,750X1116
1,42,750X25
1,42,311X87
1,42,311X86
1,42,ERROR:#N/A_14
1,42,344X71
1,42,311X73
1,42,340X59
1,42,750X541
1,42,420X94
1,42,344X62
1,42,344X77
1,42,420X97
1,42,311X142
1,42,750X1383
1,42,210X120
1,42,311X197
1,42,311X10
1,42,311X155
1,42,750X91
1,42,360X185
1,42,311X75
1,42,311X74
1,42,311X71
1,42,420X159
1,42,340X11
1,42,210X144
1,42,311X70
1,42,344X194
1,42,344X20
1,42,210X83
1,42,311X151
1,42,311X92
1,42,520X326
1,42,210X132
1,42,311X127
1,42,311X95
1,42,210X156
1,42,311X63
1,42,210X81
1,42,520X295
1,42,420X92
1,42,340X15
1,42,420X202
1,42,ERROR:#N/A_11
1,42,311X1
1,42,420X36
1,42,311X65
1,42,210X150
1,42,520X47
1,42,210X168
1,42,311X66
1,42,311X61
1,42,311X134
1,42,420X188
1,42,311X200
1,42,311X67
1,42,210X166
1,42,210X157
1,42,210X134
1,42,311X103
1,42,311X62
1,42,311X83
1,42,210X148
1,42,750X741
1,42,311X84
1,42,311X26
1,42,311X25
1,42,750X1212
1,42,520X43
1,42,420X189
1,42,420X93
1,42,520X88
1,42,311X104
1,42,311X12
1,42,210X53
1,42,311X190
1,42,311X81
1,42,311X187
1,42,311X93
1,42,311X107
1,42,210X119
1,42,311X191
1,42,311X210
1,42,420X197
1,42,210X200
1,42,330X806
1,42,520X327
1,42,311X80
1,42,210X118
1,42,210X162
1,42,210X142
1,42,311X188
1,42,420X31
1,42,210X149
1,42,210X3
1,42,420X66
1,42,420X140
1,42,311X69
1,42,520X68
1,42,311X82
1,42,311X8
1,42,210X44
1,42,420X1
1,42,311X205
1,42,420X201
1,42,311X204
1,42,344X150
1,42,520X113
1,42,311X207
1,42,210X189
1,42,340X8
1,42,420X99
1,42,420X141
1,42,420X37
1,42,520X177
1,42,210X121
1,42,420X199
1,42,311X182
1,42,311X94
1,42,311X203
1,42,360X34
1,42,340X5
1,42,210X218
1,42,420X135
1,42,420X198
1,42,340X138
1,42,210X122
1,42,520X77
1,42,520X108
1,42,311X91
1,42,210X143
1,42,311X85
1,42,750X554
1,42,210X84
1,42,400X34
1,42,210X42
1,42,311X72
1,42,340X13
1,42,210X185
1,42,420X156
1,42,520X124
1,42,311X209
1,42,311X154
1,42,210X25
1,42,520X178
1,42,210X202
1,42,311X128
1,42,210X117
1,42,750X635
1,42,520X13
1,42,520X134
1,42,330X395
1,42,520X329
1,42,340X134
1,42,210X221
1,42,520X140
1,42,420X34
1,42,312X153
1,42,311X27
1,42,520X143
1,42,420X38
1,42,312X155
1,42,420X160
1,42,210X54
1,42,330X415
1,42,344X149
1,42,520X76
1,42,311X130
1,42,311X4
1,42,210X224
1,42,210X7
1,42,420X187
1,42,340X85
1,42,750X704
1,42,520X44
1,42,210X82
1,42,330X355
1,42,520X117
1,42,344X112
1,42,210X219
1,42,420X115
1,42,340X9
1,42,520X129
1,42,520X321
1,42,210X183
1,42,210X163
1,42,520X111
1,42,520X34
1,42,520X48
1,42,520X325
1,42,210X136
1,42,330X803
1,42,520X39
1,42,210X61
1,42,344X185
1,42,520X69
1,42,520X96
1,42,520X106
1,42,520X24
1,42,520X62
1,42,520X135
1,42,750X543
1,42,520X112
1,42,750X185
1,42,344X195
1,42,340X140
