fold_a,seed_a,fold_b,seed_b,jaccard,intersection
1,42,1,143,0.6326530612244898,248
1,42,1,244,0.6368286445012787,249
1,42,2,42,0.5609756097560976,230
1,42,2,143,0.5571776155717761,229
1,42,2,244,0.5421686746987951,225
1,42,3,42,0.44469525959367945,197
1,42,3,143,0.45454545454545453,200
1,42,3,244,0.4780600461893764,207
1,143,1,244,0.6452442159383034,251
1,143,2,42,0.5724815724815725,233
1,143,2,143,0.5609756097560976,230
1,143,2,244,0.5458937198067633,226
1,143,3,42,0.43820224719101125,195
1,143,3,143,0.4611872146118721,202
1,143,3,244,0.47465437788018433,206
1,244,2,42,0.5880893300248139,237
1,244,2,143,0.5647921760391198,231
1,244,2,244,0.5763546798029556,234
1,244,3,42,0.4611872146118721,202
1,244,3,143,0.4645308924485126,203
1,244,3,244,0.48148148148148145,208
2,42,2,143,0.6120906801007556,243
2,42,2,244,0.6243654822335025,246
2,42,3,42,0.4780600461893764,207
2,42,3,143,0.47465437788018433,206
2,42,3,244,0.47126436781609193,205
2,143,2,244,0.6120906801007556,243
2,143,3,42,0.5238095238095238,220
2,143,3,143,0.5130023640661938,217
2,143,3,244,0.5094339622641509,216
2,244,3,42,0.4611872146118721,202
2,244,3,143,0.49184149184149184,211
2,244,3,244,0.48148148148148145,208
3,42,3,143,0.6368286445012787,249
3,42,3,244,0.6623376623376623,255
3,143,3,244,0.6886543535620053,261
