feature,selection_count_of_9
ERROR:#N/A_9,9
311X193,9
311X196,9
311X197,9
311X203,9
311X204,9
311X205,9
311X207,9
311X209,9
311X211,9
311X223,9
311X25,9
311X26,9
311X27,9
311X28,9
311X29,9
420X94,9
311X32,9
311X33,9
420X92,9
311X61,9
311X62,9
311X63,9
311X65,9
311X66,9
311X68,9
311X69,9
311X70,9
311X71,9
311X194,9
311X192,9
311X104,9
311X191,9
311X11,9
520X1,9
420X99,9
311X117,9
420X98,9
311X12,9
311X127,9
311X129,9
311X130,9
311X131,9
311X133,9
311X135,9
311X137,9
311X142,9
311X146,9
311X147,9
420X97,9
311X151,9
311X152,9
311X154,9
311X155,9
311X182,9
311X183,9
311X184,9
311X187,9
311X188,9
311X190,9
311X73,9
311X74,9
311X75,9
311X8,9
344X5,9
344X48,9
344X225,9
344X221,9
344X212,9
344X208,9
344X20,9
344X194,9
344X190,9
344X186,9
344X185,9
344X159,9
344X158,9
344X154,9
344X150,9
344X15,9
344X149,9
344X13,9
344X119,9
344X114,9
344X112,9
344X110,9
344X105,9
344X103,9
344X10,9
344X1,9
340X59,9
344X71,9
344X73,9
344X77,9
311X92,9
311X80,9
311X81,9
311X82,9
311X83,9
311X84,9
311X85,9
311X86,9
311X87,9
311X88,9
311X89,9
311X9,9
311X90,9
311X93,9
344X78,9
311X94,9
420X38,9
420X36,9
420X31,9
420X189,9
420X188,9
420X187,9
420X141,9
344X92,9
344X87,9
344X85,9
344X83,9
311X107,9
311X189,9
ERROR:#N/A_16,9
ERROR:#N/A_8,9
210X218,9
311X10,9
311X103,9
210X221,9
210X222,9
311X1,9
750X91,9
210X224,9
ERROR:#N/A_11,9
ERROR:#N/A_14,9
210X169,9
520X178,8
520X144,8
311X91,8
420X156,8
344X19,8
311X200,8
520X68,8
420X202,8
420X1,8
210X184,8
520X67,8
750X1116,8
210X163,8
311X30,8
311X4,8
210X220,8
311X95,8
311X72,8
344X172,8
420X69,8
344X53,8
344X55,8
420X34,8
311X134,8
420X67,8
420X68,8
311X128,8
420X70,8
311X109,8
210X149,8
420X96,8
420X135,7
311X67,7
520X47,7
210X219,7
420X159,7
420X93,7
420X35,7
311X113,7
340X140,7
311X208,7
311X210,7
750X185,7
210X185,7
420X66,7
344X6,7
311X195,7
330X345,7
420X71,7
520X134,7
420X140,7
210X206,7
520X89,7
311X76,6
420X157,6
312X153,6
420X37,6
210X168,6
520X44,6
420X160,6
312X154,6
520X59,6
210X166,6
210X134,6
312X155,6
520X69,6
520X34,6
520X98,6
210X118,6
311X136,6
210X151,6
210X83,6
220X3,6
210X81,6
210X150,6
520X113,6
210X157,6
220X70,6
520X36,6
210X119,6
520X129,6
750X25,6
210X120,6
520X143,6
210X121,6
520X246,6
210X148,6
344X176,6
210X41,6
311X212,6
420X115,6
210X25,6
420X139,6
520X353,6
520X111,6
750X1212,5
420X199,5
420X200,5
210X162,5
420X197,5
210X142,5
210X156,5
520X99,5
210X167,5
750X541,5
420X134,5
330X365,5
340X11,5
520X39,5
210X137,5
210X44,5
420X212,5
520X135,5
520X13,5
520X124,5
