field,parse_count,contains_quality_keyword,physical_role,availability_at_mid_process
210X24,793,False,unknown,unverified
210X204,800,False,unknown,unverified
210X205,799,False,unknown,unverified
210X213,796,False,unknown,unverified
210X215,796,False,unknown,unverified
220X67,800,False,unknown,unverified
220X71,799,False,unknown,unverified
220X75,800,False,unknown,unverified
220X79,800,False,unknown,unverified
220X83,800,False,unknown,unverified
220X87,800,False,unknown,unverified
220X91,800,False,unknown,unverified
220X95,800,False,unknown,unverified
300X2,773,False,unknown,unverified
300X3,748,False,unknown,unverified
300X4,681,False,unknown,unverified
300X6,768,False,unknown,unverified
300X7,758,False,unknown,unverified
300X9,782,False,unknown,unverified
300X10,780,False,unknown,unverified
300X13,774,False,unknown,unverified
300X14,776,False,unknown,unverified
300X20,787,False,unknown,unverified
310X56,800,False,unknown,unverified
310X60,800,False,unknown,unverified
310X64,800,False,unknown,unverified
310X68,800,False,unknown,unverified
310X72,800,False,unknown,unverified
310X76,800,False,unknown,unverified
310X80,800,False,unknown,unverified
310X84,800,False,unknown,unverified
311X6,755,False,unknown,unverified
311X7,651,False,unknown,unverified
311X20,620,False,unknown,unverified
311X22,759,False,unknown,unverified
311X55,761,False,unknown,unverified
311X56,755,False,unknown,unverified
311X59,772,False,unknown,unverified
311X60,701,False,unknown,unverified
311X163,773,False,unknown,unverified
311X164,776,False,unknown,unverified
311X170,743,False,unknown,unverified
311X171,749,False,unknown,unverified
330X640,800,False,unknown,unverified
330X1168,800,False,unknown,unverified
360X710,800,False,unknown,unverified
400X7,797,False,unknown,unverified
400X9,797,False,unknown,unverified
400X25,792,False,unknown,unverified
400X27,795,False,unknown,unverified
400X60,795,False,unknown,unverified
400X61,795,False,unknown,unverified
400X64,795,False,unknown,unverified
400X65,797,False,unknown,unverified
400X84,796,False,unknown,unverified
400X168,796,False,unknown,unverified
400X169,795,False,unknown,unverified
400X219,797,False,unknown,unverified
420X7,800,False,unknown,unverified
420X9,800,False,unknown,unverified
420X25,800,False,unknown,unverified
420X27,800,False,unknown,unverified
520X148,800,False,unknown,unverified
520X152,799,False,unknown,unverified
520X171,799,False,unknown,unverified
520X173,800,False,unknown,unverified
520X248,800,False,unknown,unverified
520X250,800,False,unknown,unverified
520X346,800,False,unknown,unverified
520X348,800,False,unknown,unverified
750X710,800,False,unknown,unverified
750X1291,800,False,unknown,unverified
