feature,operation,distribution,aic,ks_statistic,ks_pvalue,parameters,best_by_aic,distribution_consistent_at_5pct
311X32,311,normal,950.557669720419,0.46314257112099483,1.1767749155565492e-156,"(300.7396226415094, 0.4388405059654832)",False,False
311X32,311,laplace,556.5629360818623,0.5,2.6171901492537596e-184,"(301.0, 0.26037735849056604)",True,False
311X32,311,logistic,966.7430494311841,0.40445296025229466,5.530676667350121e-118,"(300.8330058543198, 0.2438244722085723)",False,False
311X32,311,student_t,952.6027308808866,0.4625236693083658,3.251890966777389e-156,"(9188.260761102205, 300.7397859998844, 0.4399199417592694)",False,False
311X33,311,normal,885.5127291301906,0.47181008886713444,6.461128463365219e-163,"(300.8125786163522, 0.4212503309241975)",False,False
311X33,311,laplace,234.07901151761212,0.48742138364779874,1.4494835460648262e-174,"(301.0, 0.21257861635220127)",True,False
311X33,311,logistic,804.9004938639462,0.4158546919382025,5.276688973146106e-125,"(300.9021286423501, 0.20735889482381462)",False,False
311X33,311,student_t,887.4612695438364,0.47175965995802777,7.033253742814408e-163,"(4591.29985712735, 300.81267802373225, 0.42113153468537706)",False,False
311X223,311,normal,8583.769606204845,0.2669478177084896,1.65235088422576e-50,"(115.15220125786163, 53.364353207620454)",False,False
311X223,311,laplace,8550.535160198468,0.2094339622641509,4.545075573736876e-31,"(109.0, 39.727044025157234)",True,False
311X223,311,logistic,8632.936974657898,0.22727824651805562,1.4248591555397531e-36,"(109.97988682226091, 31.32236884383512)",False,False
311X223,311,student_t,8585.769615053046,0.2669513371204663,1.6472536110500396e-50,"(47009505.34678456, 115.15270278207467, 53.36485952785405)",False,False
311X190,311,normal,2924.1878391871915,0.16628879076215608,1.107480137501708e-19,"(46.455345911949685, 1.5184006729501156)",True,False
311X190,311,laplace,2993.643534683519,0.18221878041191852,1.4253934865170434e-23,"(46.2, 1.2057861635220124)",False,False
311X190,311,logistic,2982.046923810666,0.16202060039582888,1.0587640406612387e-18,"(46.44351852459608, 0.904467779431368)",False,False
311X190,311,student_t,2926.1919623627055,0.16628832197156695,1.1077584381303322e-19,"(101257.3081807177, 46.455345731873365, 1.518393540783355)",False,False
311X129,311,normal,-1963.6270058805403,0.25466105733919053,6.133596760318006e-46,"(0.10176100628930816, 0.07019769559545322)",False,False
311X129,311,laplace,-2089.2639178037716,0.2622641509433962,9.706616985505892e-49,"(0.1, 0.049308176100628924)",True,False
311X129,311,logistic,-1914.6223184346477,0.25591621777579576,2.144882837099716e-46,"(0.10185914187382995, 0.041262786646695436)",False,False
311X129,311,student_t,-1961.6270042035608,0.2546591013226816,6.143621744258387e-46,"(236808337.98520118, 0.10176066955304637, 0.07019799661110854)",False,False
311X183,311,normal,1822.4575997906327,0.41196111831619325,1.3989198534866178e-122,"(37.48729559748428, 0.7593788305053103)",False,False
311X183,311,laplace,1568.1916727906623,0.3790969696732562,3.448527646492491e-103,"(37.1, 0.49194968553459195)",True,False
311X183,311,logistic,1854.2873742774195,0.3616769362532088,1.1573042270644365e-93,"(37.35793699948085, 0.43292237339730266)",False,False
311X183,311,student_t,1824.4576049160764,0.41196383502587824,1.3935140433654166e-122,"(71947897.62894735, 37.487304599252454, 0.7593849294400576)",False,False
311X193,311,normal,-2738.7652387892063,0.3029312205778157,3.1745805369687804e-65,"(14.077974842767297, 0.04311224923128353)",False,False
311X193,311,laplace,-2781.7146691953276,0.2285640663645224,5.48287879161579e-37,"(14.09, 0.03189937106918233)",True,False
311X193,311,logistic,-2707.9147605331214,0.25410730511620566,9.733608468743237e-46,"(14.08389661920088, 0.024878734299843056)",False,False
311X193,311,student_t,-2736.7611631182644,0.30271432083769106,3.948489633954558e-65,"(52748.44367523947, 14.07799554817387, 0.04312518459918327)",False,False
311X187,311,normal,2917.165752767402,0.16563629733705032,1.570046991691809e-19,"(46.48213836477988, 1.5117095844267314)",True,False
311X187,311,laplace,2987.8275695846246,0.21069182389937108,1.9272245684222721e-31,"(46.2, 1.2013836477987414)",False,False
311X187,311,logistic,2975.0827530694996,0.16163843295649838,1.29215982373679e-18,"(46.46979473367804, 0.9005279045516514)",False,False
311X187,311,student_t,2919.1698790104224,0.16563583770892076,1.570432264929368e-19,"(101315.75033167875, 46.48213814222247, 1.5117025548263334)",False,False
311X90,311,normal,1983.8442586201218,0.08396234041334971,2.5256975254623844e-05,"(8.602389937106917, 0.8405040858849552)",True,False
311X90,311,laplace,2088.7721711474073,0.10586402759822777,3.267227104270067e-08,"(8.5, 0.6825157232704402)",False,False
311X90,311,logistic,2021.3961103730667,0.08995965315515408,4.765755128015169e-06,"(8.57244568725396, 0.49157538981741306)",False,False
311X90,311,student_t,1985.8442590952652,0.083965147897339,2.523794760053803e-05,"(477212434.13960016, 8.602395739921933, 0.8405053952182819)",False,False
311X196,311,normal,-2693.235318995923,0.25736349939334086,6.34290101969473e-47,"(14.068238993710692, 0.044364621170094404)",False,False
311X196,311,laplace,-2751.286089692524,0.21487701529370984,1.067707550708499e-32,"(14.08, 0.03251572327044014)",True,False
311X196,311,logistic,-2657.2846208679784,0.22506793671610786,7.26134475227286e-36,"(14.072492263450503, 0.025800935172810596)",False,False
311X196,311,student_t,-2691.2349755700507,0.25733110764499995,6.518757328094498e-47,"(745102.6601749964, 14.06824077538997, 0.04437196048264622)",False,False
311X184,311,normal,1822.4575997906325,0.41196111831619,1.3989198534931473e-122,"(38.28729559748427, 0.7593788305053103)",False,False
311X184,311,laplace,1568.1916727906626,0.3790969696732562,3.448527646492491e-103,"(37.9, 0.49194968553459195)",True,False
311X184,311,logistic,1854.2873742774195,0.3616769362532088,1.1573042270644365e-93,"(38.157936999480846, 0.43292237339730266)",False,False
311X184,311,student_t,1824.4594963593909,0.4119598072638969,1.4015361159758055e-122,"(186292.2639914872, 38.28729225081774, 0.7593765572010951)",False,False
311X86,311,normal,1989.1567472984289,0.09840165531450729,3.745998451271465e-07,"(8.593962264150944, 0.8433170646512381)",True,False
311X86,311,laplace,2076.121535441315,0.10720817894582801,2.0656988966141334e-08,"(8.5, 0.6771069182389936)",False,False
311X86,311,logistic,2020.4528065297052,0.09291846771257362,2.0059914446968123e-06,"(8.561942346187559, 0.48995020976425735)",False,False
