experiment,transform,reducer,fold,mse,rmse,mae,r2,input_features,output_features,explained_variance,elapsed_sec
raw_none,none,none,1,0.06648934955073553,0.25785528800227375,0.20558648390017345,-0.3235050220019784,723,723,1.0,0.04668610000226181
raw_none,none,none,2,0.049153735132738095,0.22170641653488085,0.18614934649560738,-0.2781782094877876,758,758,1.0,0.058098900000914
raw_none,none,none,3,0.0499455910151391,0.22348510244564201,0.18294596944227726,-1.5139625839220612,759,759,1.0,0.07016219999786699
standard,standard,none,1,0.08764676182116198,0.2960519579755587,0.24139640803787793,-0.7446542975127646,723,723,1.0,0.012493500005803071
standard,standard,none,2,0.041874053357542795,0.20463150626807886,0.15892504713185382,-0.08887966295957606,758,758,1.0,0.014339499997731764
standard,standard,none,3,0.02370308185690148,0.15395805226392506,0.1286395456964719,-0.19307149441539595,759,759,1.0,0.019030800001928583
robust,robust,none,1,0.07803015934840749,0.2793387895520554,0.22469990267490916,-0.5532308326527986,723,723,1.0,0.04426439999951981
robust,robust,none,2,0.03444532380290509,0.1855945144741759,0.14763443952182803,0.10429467496762801,758,758,1.0,0.051453799998853356
robust,robust,none,3,0.015360425974314968,0.12393718559945989,0.10393364345502776,0.22684794818370313,759,759,1.0,0.05829520000406774
yeo_johnson,yeo_johnson,none,1,1523569.20002587,1234.3294536005653,163.8028827519883,-30327434.91608002,723,723,1.0,0.8392883999986225
yeo_johnson,yeo_johnson,none,2,0.028107202604167048,0.16765202833299409,0.13419444325367724,0.2691091775368105,758,758,1.0,0.8819533999994746
yeo_johnson,yeo_johnson,none,3,0.01900592306049425,0.1378619710452968,0.11085914667650072,0.04335540983985409,759,759,1.0,0.9689547999951174
quantile_normal,quantile_normal,none,1,0.09341144315273898,0.305632856795108,0.2428298018296074,-0.8594032722603873,723,723,1.0,0.2767167999991216
quantile_normal,quantile_normal,none,2,0.039423688895785555,0.19855399491268252,0.1614994141255609,-0.025161159129429622,758,758,1.0,0.2754665999964345
quantile_normal,quantile_normal,none,3,0.013977145662704669,0.11822497901333993,0.09481938481406445,0.296474012782884,759,759,1.0,0.28706910000619246
pca50,standard,pca50,1,0.06583504952152139,0.25658341630261566,0.2141280276836171,-0.3104808402283219,723,50,0.8984949125568561,0.09197330000461079
pca50,standard,pca50,2,0.03671976552232228,0.1916240212560061,0.1476753070488197,0.04515081058665382,758,50,0.8871708929427062,0.10390680000273278
pca50,standard,pca50,3,0.01355270910267195,0.11641610327902215,0.09185335472101093,0.31783761284214473,759,50,0.894321786288585,0.1296619999993709
pca95,standard,pca95,1,0.07790892755420312,0.2791217074220547,0.23115157619977253,-0.5508176508493976,723,81,0.9507320387897251,0.08805510000092909
pca95,standard,pca95,2,0.050268791167277296,0.22420702747076707,0.15956469546732682,-0.3071737745624874,758,90,0.9506654406473332,0.10477270000410499
pca95,standard,pca95,3,0.02033269339172309,0.1425927536438058,0.1146673243767736,-0.02342628004256575,759,86,0.9500343124074901,0.12207630000193603
svd50,standard,svd50,1,0.0659223819209884,0.2567535431517711,0.21456521046752827,-0.31221923697996834,723,50,0.8983876980262032,0.025775399997655768
svd50,standard,svd50,2,0.04091817078046016,0.20228240353639304,0.1511504869903864,-0.06402319421805203,758,50,0.8869583891993159,0.027184799997485243
svd50,standard,svd50,3,0.013810336846123993,0.11751738954777712,0.09257648170445595,0.3048701717836859,759,50,0.8942027755042281,0.028115100001741666
pls20,standard,pls20,1,0.0967543234544494,0.3110535700718598,0.24505475753425246,-0.925945040185026,723,20,,0.0561398999998346
pls20,standard,pls20,2,0.0650567743924669,0.25506229512114664,0.180404602732725,-0.6917158214621768,758,20,,0.06879250000201864
pls20,standard,pls20,3,0.0322592833039151,0.1796086949563275,0.15237767447727105,-0.6237395446096985,759,20,,0.08025989999441663
